20:16:001:1	Saad bee hódzą́ éí iiná áádóó ájoonííł bídéét'i'
20:16:001:0	Diné t'áá bí bijéí tł'ááhdę́ę́' hodii'aah , nidi saad bee háádziidziihígíí éí Bóhólníihii bits'ą́ą́dę́ę́' át'é .
20:16:002:0	Diné ájít'éii t'áá ałtso yá'ádaat'ééh jinízin , nidi Bóhólníihii éí diné biniyé ájít'íinii bił bééhózin .
20:16:003:0	Ninaanish danilíinii Bóhólníihii baa hidí'aah , áko binahó'áii daniłdzilgo ná ádoolnííł .
20:16:004:0	Bóhólníihii éí t'áá ałtsoní t'áá bí bíniik'eh áyiilaa ; t'áá aaníí diné doo yá'ájíshóonii atího'dil'į́į doo biniyé áho'diilyaa .
20:16:005:0	T'ááłá'í jinítínígo hajéí bee ádaa dahoji'niihígíí Bóhólníihii doo hółdin da ; t'áádóo nídí da'ahijiiltsoodgo ts'ídá atídahodi'doolnííł doo baa dáázhdidookah da .
20:16:006:0	Aa a'ááh hasin índa t'áá aaníinii binahjį' doo ákwii át'éii nahjį' kólyaa , áádóó diné éí Bóhólníihii yidósinígíí bee doo yá'áshóonii yits'áhákááh .
20:16:007:0	Diné ájít'éii bee Bóhólníihii bił hojíshǫ́ǫgo hoda'ana'í nidi , k'é dahó'níigo áyoolííł .
20:16:008:0	Na'adlo' bee t'óó ahayóí a'iideeł éí biláahgo ach'į' nahalyéii t'įįhdígo áádóó t'áá ákogi át'éii bił hwee hólǫ́ǫ́jígo agháago yá'át'ééh .
20:16:009:0	Diné ájooníłígíí binahoji'á , nidi Bóhólníihii hoyoołááł .
20:16:010:0	Aláahgo naat'áanii éí Diyin God bibee óhólnííh yee hahadziih , áko ánihwii'aahgo t'áá áhoodzaa góne' á'doolíiłgo doo bee bá haz'ą́ą da .
20:16:011:0	Bee dah nídiidlohí áádóó dah na'alo'í doo biyooch'íidii éí Bóhólníihii bits'ą́ą́dóó át'é ; béésh nídaazbąsii bik'ehgo dah adiyiidleehígíí t'áá ałtso Bóhólníihii yee has'áanii bik'ehgo át'é .
20:16:012:0	Aláahgo naat'áanii danilíinii doo yá'áshǫ́ǫ́góó ádaat'įįhgo doo yildinii ádaat'é , háálá t'áá ákogi át'éii bee bikáá'dóó nahat'áii bikáá'dóó hoot'áłígíí bohoníłdzilgo ályaa .
20:16:013:0	T'áá ákogi át'éego yáti' éí aláahgo naat'áanii danilíinii yaa bił dahózhǫ́ , áádóó t'áá ákogi át'éego yáłti'ii ayóó'ádayó'ní .
20:16:014:0	Aláahgo naat'áanii báháchįįhgo éí anoonééł yaa dahalne' nidahalin , nidi diné hóyáanii éí áháchį' hasht'eididoołt'eeł .
20:16:015:0	Aláahgo naat'áanii bił hózhǫ́ǫgo jiníł'į́įgo iiná át'é , áádóó bibee ach'oha'né éí k'adę́ę ida'niit'ą́ągo nahałtinígíí nahalin .
20:16:016:0	Dooládó' óola ílínígíí biláahgo hódzą́ shójoołt'eehígíí yá'át'ééh , áádóó béésh łigaii biláahgo bee ak'i'diitįįhii shójoost'e'go yá'át'ééh .
20:16:017:0	Doo yá'áshóonii nahjį' nidizhní'ą́ągo éí t'áá ákogi ádaat'éii be'atiin azdoolkǫ'góó joogáał dooleeł ; diné ádaa áhályą́ągo yigáałii éí bii' sizíinii as'ah naagháago áyósin .
20:16:018:0	Ádaa ha'niih haleehgo bighą́ąhjį' atí'oolnííł hólǫ́ , áádóó hwee ádaa hodzódli' bik'ee jididoogoh .
20:16:019:0	Ádaa ha'niihii náánáła' diné binaalye'é neest'į́į'ii yił ałts'á'doo'nilgo éí biláahgo ádaa dahojoolbá'ígíí bitahdi ádaa hojijoolbá'íjí agháago yá'át'ééh .
20:16:020:0	Áádóó t'áá háiida hóyą́ągo hazhó'ó saad yiyíists'ą́ą'ii yá'át'éehii yik'ídoogááł , áádóó t'áá háiida Bóhólníihii yaa dzólíii éí diné bił hózhǫ́ .
20:16:021:0	Diné bijéí hóyáanii éí hóyą́ągo hiná bidi'níi doo , áádóó nizhónígo yáti' yee náásgóó óhooł'aah doo .
20:16:022:0	Ak'i'diitįįh bee hólóonii biyi'dę́ę́' iiná háálį́ , nidi diné doo ádahalyáanii yínda'niłtinii éí doo áháyą' ádaat'é .
20:16:023:0	Diné hóyáanii yá'át'éehgo yáłti' dooleełgo bijéí nabinitin , áádóó yáłti'go náásgóó óhooł'aah .
20:16:024:0	Nizhónígo yáti'ígíí tsés'ná bitł'izh nahalingo ayi' sizíinii t'áá íiyisí bił łikan , áádóó doo ąąh téeh da ó'ósin .
20:16:025:0	T'áá ákǫ́ǫ́ honít'i'góó hinishná diné nízin , nidi hool'áágóó aniné biyi'jį' bá dah dahodiit'i' .
20:16:026:0	Naalnishí t'áá bí yiyííłkiin dooleełígíí yídin nilį́įgo yiniyé naalnish áhósin .
20:16:027:0	Diyin God doo yidósinii doo yá'áshóonii haidilts'i' , áádóó yee yáłti'ígíí kǫ' nahalingo hidiiltłáád .
20:16:028:0	Diné nahagizii da'níłts'ą́ą́'góó diné ahinéidiiłjah , áádóó aseezį́ nidzinii ałk'is danilíinii ałch'į' deidiiłk'ąąh .
20:16:029:0	Diné doo yits'íidii yił kééhat'íinii bąąhági át'éego nitsíkeesgo áyiił'įįh áádóó doo yá'át'ééh honít'i'góó yoolóos łeh .
20:16:030:0	Áko éí diné nahagizgo inaha'á yiniyé néeshch'il , áádóó éí bidaa' náyiitsxahgo doo yá'áshóonii bee bohoolnííł .
20:16:031:0	Diné bitsii' yiigaii éí naat'á ch'ah bee aa ha'niihii át'é ; éí t'áá ákogi át'éego honít'i'góó hináago bééhózin .
20:16:032:0	Diné tąądee báháchįįhii éí diné ayóó át'éii biláahgo yá'át'ééh , áádóó kin t'áá yíl'áá nít'éé' yisnáanii éí biláahgo diné níłch'i bii' sizíinii yinant'áájí yá'át'ééh .
20:16:033:0	Yáá'iilt'e' atsék'eejį' eelt'e' , nidi nidiit'aahígíí Bóhólníihii bee bóhólnííh .
