20:30:001:1	Éíger yee hahaasdzí'ígíí
20:30:001:0	Jéíkeh biye' Éíger saad bee hódzáanii : Éí Íthiyel áádóó Yúkal yee yich'į' haadzíi'ii :
20:30:002:0	T'áá aaníí diné biláahgo doo ak'idi'yiitįįhígi ánísht'é , áádóó diné ak'i'dadi'yiitįįhígi át'éego doo ak'i'diishtįįh da .
20:30:003:0	Hódzą́ t'áadoo bóhooł'ą́ą' da ; t'ááłá'í Diyin God nilíinii át'éegi doo bééhasin da .
20:30:004:0	Háísh yá'ąąsh góde naayá áádóó áádę́ę́' hadanáádzá ? Háísh níyol áłah áyiilaago yiyiiłtsood ? Háísh éé' biyi' góne' tó áłah áyiilaa ? Háísh nidahonees'ą́ąjį' nahasdzáán niłdzilgo áyiilaa ? Nił bééhózingoshą' haa wolyé ? Áádóó biye'shą' haa wolyé ?
20:30:005:0	Diyin God bizaad t'ááłá'í ní'ánígo danéél'į́į'go yá'ádaat'éehgo bééhoozin ; baa dadzólíii éí yá naagé nilį́ .
20:30:006:0	Doo nididooteh da áádóó doo niyooch'ííd dííleełígíí biniyé bizaad t'áadoo bíhiiníłí .
20:30:007:0	Bóhólníihii nílíinii , t'ah doo daastsaahgóó naakigo haz'ą́ nííníshkeed ; éí shaa díínił :
20:30:008:0	T'áá ádzaagóó hane' áádóó wooch'ííd nízaadgóó shits'ádiní'aah ; té'é'į́ áádóó jit'íinii shaa dóó'ááł lágo ; t'áá ákónéehee ch'iyáán danilíinii shiyísą́ .
20:30:009:0	Éí doodaléi' hwiih nishłį́įgo doo shídíínít'i'góó ándeeshłíiłgo ádideeshniił , Háísh éí Bóhólníihii nilį́ ? Éí doodaii' shahojoobá'ígo adínéesh'į́įłgo shiDiyin God bízhi' doo ílį́į́góó ádeeshłííł .
20:30:010:0	Doo nidí'dóodzihígíí biniyé áádóó doo ádihodinilt'i'góó nééhodoozįįłígíí biniyé naal'a'í binanit'a'í doo t'áá ádzaagóó bił hólne' da dooleeł .
20:30:011:0	Ła' ahijoolchííł éí hazhé'é dadzódziih áádóó dahamá doo bik'ideijidlíi da .
20:30:012:0	Ła' ahijoolchííł t'áá hó ádaa nitsídadzikeesgo yá'ádaniit'ééh daznízin , áko t'óó baa'ihii hwii' dahólóonii t'áadoo hąąh táádaasgiz da .
20:30:013:0	Ła' ahijoolchííł dooládó' hwee áshodahódli'go dah dazhnéet'aahgo háhgóó shį́į́ nidajighal .
20:30:014:0	Ła' ahijoolchííł éí bide ádahólzinii nahasdzáán bikáá'góó kéédahat'íinii áádóó diné bitahgóó t'áadoo le'é bee ádaadingo kéédahat'íinii deildeeł dooleeł biniyé dabiwoo' diltłish nidahalin , áádóó dabiwoo'ígíí éí béésh deeníinii nidahalin .
20:30:015:0	Ch'osh éí dił hadayiits'ǫǫsii biyázhí naaki , Ła' nááná , ła' nááná , níigo yicha łeh . Táa'go , t'áá aaníí , díí dį́į'go haz'ą́ : T'ah doo hwiih yishłeeh da , ní .
20:30:016:0	Jishcháá' lá , áádóó doo achíii , áádóó kédaayah tó bąąh áńdaadįįhii , índa kǫ' éí ání , Ts'ídá t'ah doo hwiih yishłeeh da .
20:30:017:0	Diné bizhé'é t'óó yánahałt'i'ii , áádóó bimá doo yik'eh hół'į́į́góó t'óó yi'íinii , éí gáagii hanáá' hadeidiyoonił , áádóó atsáyáázh hanáá' deidooldił .
20:30:018:0	Táa'go , t'áá aaníí , díí dį́į'go haz'ą́ , éí shił ayóó ádanóolnin , nidi ádaat'éegi doo bik'ida'diishtįįh da :
20:30:019:0	Wót'áahdi atsá naat'a'ígíí , áádóó tsé'éłkáá'góó tł'iish naa'na'ígíí , áádóó tónteel bikáá'góó na'a'eełígíí , áádóó diné éí ch'ikę́ę́h yił ahiniidzįįhígíí .
20:30:020:0	Asdzání adiléii éí ayį́į́h áádóó bizábąąh yé'éł jołgo ániih , Doo ádił asésiih da .
20:30:021:0	Táa'go , t'áá aaníí , díí dį́į'go haz'ánígíí bik'ee nihokáá' dine'é bił daayée'go doo yídaníłdzil da :
20:30:022:0	Naalte' naat'áanii yileehii , áádóó diné doo áhályáanii ch'iyáán ádił haidilbį́įhii ,
20:30:023:0	áádóó asdzání doo nidzinii bahastiin haleehii , índa asdzání naal'a'í asdzání yá naalnishii yitsásk'ehjį' iigháahii .
20:30:024:0	Dį́į'go haz'ánígíí éí nahasdzáán bikáa'gi ádaałts'íísí yee' , nidi ts'ídá doo chohoo'į́į́góó dahóyą́ :
20:30:025:0	Wóláchíí' éí doo dabidziil da , nidi shį́įgo ch'iyáán áłah áńdayiil'įįh .
20:30:026:0	Dlǫ́'ii nahalinígíí éí doo dahayói da , nidi tsék'izgóó bighan ádahale' .
20:30:027:0	Nahachagiitsoh éí aláahgo naat'áanii bee ádin , nidi t'áá át'é t'áá ła' yinéeł łeh .
20:30:028:0	Na'ashjé'ii éí hála' bee bił jididił , nidi aláahgo naat'áanii bighan yiih yighááh .
20:30:029:0	Táa'go , t'áá aaníí , díí dį́į'go haz'ą́ éí ayóó ádanoolningo ahikááh :
20:30:030:0	Náshdóítsoh bitsiijį' ditł'ooígíí , éí naaldlooshii bitahdóó aláahgo ábóodziilii áádóó ha'át'íhída doo yik'ee dah diilyeedii ,
20:30:031:0	łééchąą'í łigaii lá , tł'ízíchǫǫh lá , índa aláahgo naat'áanii éí diné ił nilį́įgo yigáałii .
20:30:032:0	Doo honíyą́ą́góó alą́ąjį' ni'ádííníltį́įgo áádóó doo yá'áshǫ́ǫ́góó tsídííníkéezgo nizéé' dáádidíílnih .
20:30:033:0	Háálá abe' bikáá' nilk'įhígíí tózis bii' naaldzidgo mandagíiya yileeh , áádóó ła' háchį́į́h néígisgo hané'ádił yiiltał ; t'áá ákót'éego diné hashké diniidzįįhgo diné yił ahinídiiltłi' .
