20:25:001:1	Aheełt'éii índa ał'ąą át'éii áádóó t'áá ákogi át'éego bee na'nitinii
20:25:001:0	Júdah dine'é aláahgo binanit'a'í Heziikáíyah éí diné bá nidaashnishii díí ałdó' saad bee dahodoodząąłii Sálaman yee ak'e'ashchínígíí yééda'iidlaa .
20:25:002:0	Diyin God t'áadoo le'é neinił'inii bee baa ha'niih , nidi aláahgo naat'áanii danilíinii t'áadoo le'é nideiiłkaahii bee baa daha'niih .
20:25:003:0	Yádiłhił ánízádígi át'éego áádóó nahasdzáán íídéetą́'ígi át'éego t'áá ákót'éego ałdó' aláahgo naat'áanii danilíinii dabijéí doo bééjółkááh ádaat'ée da .
20:25:004:0	Béésh łigaii bąąh hahidiłhį́hígíí nahjį' kónílééh , áko atsidii éí beedí ayóó ánóolninii íidoolííł .
20:25:005:0	Aláahgo naat'áanii bá diné doo yá'ádaashóonii nahjį' kónílééh , áko t'áá ákogi át'éego nant'áa doo .
20:25:006:0	Aláahgo naat'áanii binááł náás í'dóólt'e' lágo , áádóó diné aghádahideezíinii bitsásk'ehgi t'áadoo na'ádiyíltéhí .
20:25:007:0	Naat'áanii yiniłtsánígíí binááł t'ą́ą́' anáni'doolt'e'jí doo yá'át'éeh da . Hágo kodi hasínááh , ni'doo'niidgo éí agháago yá'át'ééh .
20:25:008:0	T'áadoo le'é deiłtse'ígíí t'áadoo tsxį́įłgo aa dahwiinít'į́įjį' bił náhidiilyeedí , doodaii' bił kééhót'íinii t'óó baa yáhásinígi ániilaago t'áadoo baa nináánáodza'í da dooleeł .
20:25:009:0	Nidi biniinaanii éí bił kééhót'íinii t'áá bí bił nabik'íyádííłtih , áádóó diné náánáła' neinił'inii t'áadoo bits'ą́ą́' baa nahólne'í .
20:25:010:0	Éí doodaii' yidiizts'ą́ą'ii biniinaa naatįįh nádáahgo naa yáhodoosįįł , áádóó t'óó nichǫ́'ógo bee naa hóóne'ígíí ts'ídá doo ná baa hodiyoo'nah da .
20:25:011:0	Saad beełt'éego bee ha'oodzíi'ii éí béésh łigaii nidaneez'áago óola bee bilasáana bida'alyaii bídadiilyį́į'ii nidahalin .
20:25:012:0	Diné hóyáanii éí diné ak'eh hół'íinii yich'ahashkéii éí óola jaatł'óół nahalin , áádóó óola nídoolyį́į'ii bee ił dah nátį́hí ályaaígíí nahalin .
20:25:013:0	Da'agizhgo yas taah yijaa'go dayoodlą́ą'go yee hwiih daazlį́į́' ; t'áá éigi át'éego ba'ahódlíigo hane' nei'áii binanit'a'í danilíinii bííł'aadii yik'éé dahwiiłtaad .
20:25:014:0	Diné díí aa deeshłééł níigo yee ádaa ha'niihii , nidi doo aa yíléégóó éí k'os níłtsą́ bąąh ádingo t'óó bił nídiiyołígíí nahojílin .
20:25:015:0	Naat'áanii bich'į' ha'jólníigo bíni' bá áhozhdoolííł , áádóó hazhó'ó bich'į' hadziidziihgo dooda yee yistee' yę́ę lą́ adoohłeeł .
20:25:016:0	Da' tsés'ná bitł'izh bik'ííníyá ? Doo bénínánílkoh da dooleełígíí biniyé t'áadoo áde nánídį́hí ; t'áá bee hwiih nánídleehíjį' niyą́ .
20:25:017:0	Bił kééhót'íinii doo ádandidoohłaał da , áko doo nádoolnih da doo biniyé łáhída bił yah anánídááh .
20:25:018:0	Diné yił kééhat'íinii t'áá ádzaagóó yaa táhodilníihii éí na'abaahjí tsihał áádóó diltłish índa k'aa' deeníinii nahojílin .
20:25:019:0	Hach'į' hodiiznáa'go diné doo bazhdí'nóodlíí' át'éii beijólíigo éí hawoo' k'é'éltǫ'ígíí bił aheełt'é áádóó hakee' hááwodígíí nahalin .
20:25:020:0	Diné t'áá íiyisí yínííł nilíinii sin bee bá hojitaałgo éí ayóó íídéesk'aazgo ha'éé' hazdiiltsoozígíí nahalin , áádóó ch'il na'atł'o'ii bitoo' dík'ǫ́zhígíí bił é'él'íní iiłtsxóohii bił tanjizhgizhígíí nahalin .
20:25:021:0	Ni'ana'í dichin nilį́įgo bááh yidooyį́łígíí baa díí'ááł , áádóó dibáá' nilį́įgo tó yidoodlį́łígíí baa dííkááł .
20:25:022:0	Háálá ákwíindzaago bitsiit'áagi tsííd yéinitsih nahalingo ádíílííł , áádóó Bóhólníihii nich'į' ni'doolééł .
20:25:023:0	Náhookǫsdę́ę́' diyołígíí níłtsą́ hayé'ésoł , áádóó nák'ee'ąądę́ę́' na'íyáłti'ii éí diné báhóóchįįd noolningo áyiił'įįh .
20:25:024:0	Asdzání saad biiłhéii hótsaa góne' bił haghanjí doo yá'át'éeh da ; kin bighą́ą'di bee nástł'ahdi t'áá sáhí haghanjí agháago yá'át'ééh .
20:25:025:0	Kéyah nízaadę́ę́' hane' yá'át'éehii haa yít'ánígíí éí t'áá íiyisí dibáá' dzizlį́į'go tó sik'azii joodlą́'ígíí nahalin .
20:25:026:0	Diné t'áá ákogi ááníiłii diné doo yá'áshóonii t'óó yich'į' lą́ oohłeełii éí tó háálį́įgo tááchxąą'ígíí áádóó tóhahadleeh góyaa tó yíchǫ'ii nahalin .
20:25:027:0	Tsés'ná bitł'izh t'óó ahayóí jiyą́ągo doo yá'át'éeh da ; t'áá ákót'éego ałdó' diné t'áá bí bee baa dahodoo'nihii hadeintáhígíí éí doo aa ha'niihii át'ée da .
20:25:028:0	Diné doo ádaa áhályáanii éí kin haal'áago atílyaadóó doo binaa ahééda'astł'in da nít'é'ígíí nahalin .
