20:2:001:1	Hódzą́ hájít'į́įgo shóizhdoołt'eeł
20:2:001:0	Shiye' , shizaad nídiniláago , áádóó shibik'eh ó'oo'níiłii hasht'e'nihidí'níiłgo ,
20:2:002:0	áko lá índa bee hódzáanii bíká na'ííníłts'ą'go áádóó nijéí ak'idi'yiitįįh baa dííní'ą́ągo ,
20:2:003:0	ákót'éego lą́ą ił ééhózin baa ná'iinikąąhgo ak'idi'yiitįįh yéego yíníkeedgo
20:2:004:0	áádóó béésh łigaii hazhnitáhígi át'éego áádóó yódí nées'į́į'ii házdéez'į́'ígi át'éego hánít'į́įgo ,
20:2:005:0	áko índa Bóhólníihii dólzingi bik'idi'díítį́į́ł áádóó Diyin God át'éegi bééhodíísįįł .
20:2:006:0	Háálá Bóhólníihii bee hódzáanii eidiyii'aah ; ił ééhózin áádóó ak'idi'yiitįįh yee hahadziih .
20:2:007:0	T'áá ákogi ádaaníiłii yá hódzą́ yá'át'éehii hasht'e'niyiinííł . T'áá ákóne' át'éego deíkáahii yá naagé nilį́ .
20:2:008:0	T'áá ákogi ádaat'íinii bá dahonít'i'ii yik'iiní'į́į́' áádóó bidiyį́į́' danilíinii bá dahonít'i'góó yá hasht'eyósin .
20:2:009:0	Áko índa t'áá ákogi át'éii , áádóó doo haada yit'éii índa aheełt'éego iiná , t'áá aaníí , éí t'áá ákǫ́ǫ́ dahonít'i'ígíí t'áá ałtso nił bééhodoozįįł .
20:2:010:0	Jó , nijéí hodooyąął , áádóó ił ééhózin éí nii' sizíinii yił hodooshǫǫł ;
20:2:011:0	yá'át'éehii áádóó doo yá'át'éehii nił bééhózingo éí bee nihídzíih doo ; ak'idi'yiitįįh naa áhályą́ą doo .
20:2:012:0	Áko doo yá'áshǫ́ǫ́góó áhoot'éii áádóó nahagizgo yádaałti'ii yits'ą́ąjį' nélnáa doo ,
20:2:013:0	áádóó diné chahałheeł nideinishin doo biniyé t'áá ákogi át'éego dahonít'i' yits'ádahaaskaii yits'ą́ąjį' yisdándoołtééł .
20:2:014:0	Éí doo yá'át'éehii yaa nidaakaigo bił nidahoozhǫǫh áádóó diné doo yá'ádaashóonii bidoo yá'áshǫ' doo nahjį' nideidó'ááł át'éégóó deíkáahii t'áá íiyisí bił nidahooshǫǫh .
20:2:015:0	Éí binda'adlo'go dahiná áádóó nidahagizgo deíkááh .
20:2:016:0	Áádóó ayóní , éí asdzání ałjiłnii nilíinii łikango yáłti'ígíí yits'ąą naa áhályą́ą doo .
20:2:017:0	Éí t'áá ániid naagháádą́ą́' bahastiin nilį́įgo hoolzhiizh yę́ę yóó'iidíí'ą́ , áádóó Diyin God binááł aha'deet'áanii yaa yooznah .
20:2:018:0	Jó , bikin si'ánídóó anoonééł góyaa ahóót'i' áádóó ch'į́įdiitah bił haz'ą́ą́ góyaa ahalóós .
20:2:019:0	Baa hakáahii doo t'ą́ą́' hááhákáah da índa yá'át'éehgo iiná doo yik'éhékáah da .
20:2:020:0	Áko diné yá'ádaat'éehii dayíkááhgóó yínáał doo , áádóó diné t'áá ákogi ádaaníiłii ádaat'ínígi ánít'į́į doo .
20:2:021:0	Háálá t'áá ákogi ádaat'éii kéyah yikáá' kéédahat'į́į doo áádóó t'áá ákogi ádaaníiłii ákwii kéédahat'į́į doo .
20:2:022:0	Nidi diné doo yá'ádajíshóonii éí kéyah bits'ą́ąjį' áhodi'dooldįįł , índa nináda'dii'aahii kéyah bits'áhodi'doo'nił .
