20:5:001:1	Ajił ts'ídá doo ál'į́į da
20:5:001:0	Shiye' nílíinii , díí bee honisáanii áádóó bik'i'diitáanii bee naninishtinígíí hazhó'ó yísíníłts'ą́ą́' .
20:5:002:0	Áko yá'át'éehii áádóó doo yá'át'éehii nił bééhózin doo índa ił ééhózin bee yáníłti' doo .
20:5:003:0	Háálá asdzání ałjiłnii yáłti'go éí tsés'ná bitł'izh bits'a' bits'ą́ą́dóó tsés'ná bitł'izh nahidilch'ą́łígíí nahalin ; ak'ah yizhólígíí nahalingo yáłti' łeh .
20:5:004:0	Nidi áhooł'įįhdi éí t'áá íiyisí dích'íi'go béé'joo'nih ; diltłish ałts'ą́ąjį' deenínígi át'éego deení .
20:5:005:0	Anoonéełjį' índa hool'áágóó ti'hoo'níihjį' dah bidiikéé' .
20:5:006:0	Iiná bá atiinii ts'ídá doo yaa nitsíkees da ; bá honít'i'ii doo bił bééhózingóó ałtah ánáá'nííł .
20:5:007:0	Éí bąągo , shiyázhí danohłíinii , k'ad dashíínółts'ą́ą́' , áádóó saad bee nihich'į' yáshti'ígíí doo bits'ádoohkah da .
20:5:008:0	Éí asdzání ákót'éii nízaadi bits'ąą nidaahkai , índa bich'é'étiin bit'áahjį' dohkááh lágo .
20:5:009:0	Éí doodaléi' bee anílínígíí náánáła' yee náá'ídlį́į doo áádóó ni'ííníłdįįd bijį́įjį' doo daats'íidii bá nanilnish doo ,
20:5:010:0	áádóó dé'éyóní nilíinii niyódí ádił haididoolbį́į́ł , áádóó bik'é nishínílnishii dé'éyóní bighan góne' yanáa'áa doo ;
20:5:011:0	áadi índa doo yá'át'éehii nits'íís bidoolna'go nich'į' nahwii'náago bik'ee diní'níigo
20:5:012:0	ádíníi doo , Dooládó' na'nitin jooshłxáa da nít'éé' índa shich'aho'dishkéhígíí t'óó yiishkóóh nít'éé' ,
20:5:013:0	áádóó nidashinitinígíí doo bik'eh honish'į́į da nít'éé' , índa nidashinitinii doo yínísts'ą́ą' da nít'éé' !
20:5:014:0	Áłah nída'oodleełii binááł doo yá'ádaat'éehii k'asdą́ą́' t'áá ałtso baa niséyá .
20:5:015:0	T'áá ni nitóshjeeh bee tó síníł'ánídóó tó nidlą́ ; t'áá ni nito' háálį́į́dóó tó nidlą́ .
20:5:016:0	Da' nito' hadaazlį́į́dóósh da'nítiingóó tó t'áá bíni'dii t'áá ádzaagóó taozlį́į dooleeł ?
20:5:017:0	Éí bąą t'áá ni t'éí bee nóhólnííh , náánáła' éí doo bił ałts'ą́ą́' aníłk'iiz da doo .
20:5:018:0	Háni'dii nito' háálínígíí bik'ihojidlíi le' , áádóó ániid nanináádą́ą́' ne'asdzą́ą́ silį́į'ii t'áá éí baa nił hózhǫ́ǫgo bił hiníná .
20:5:019:0	Háni'dii bįįhtsa'ii ayóó'óó'níinii nahalin doo , áádóó jádí nizhóníii nahalin doo , áádóó háni'dii bibe' t'áá áłahjį' bee hwiih nílį́į le' , ayóó'ánó'nínígíí t'áá áłahíjį' bee ná'íldįįh .
20:5:020:0	Áko shiye' , ha'át'íísh biniyé asdzání ałjiłnii bee ná'áshdįįh doo nínízin , áádóó ayóní binísínínii' ?
20:5:021:0	Háálá diné ájít'éegi t'áá áłahíjį' Bóhólníihii biníł'į́ , áádóó tázhdíghááhgóó t'áá ałtsogóó hak'ítsééłkos .
20:5:022:0	Diné doo yá'áshóonii doo ákwii át'íinii t'áá bí atínábidoodlííł , índa tł'óół bee dah ho'diistł'ǫ́ nahalingo ádi ł ni'iilzíihii dah nábidiyootł'óół .
20:5:023:0	T'áadoo nahodi'neestą́'í dazdootsaał , áádóó ayóó át'éego yíní ádin baa nijigháhígíí yóó'azhdoogááł .
