20:3:001:1	Ak'eh hól'į́ bee ayahoniidlįįh
20:3:001:0	Shiye' , bee hosíł'áanii baa yóónééh lágo , nidi shibik'eh ó'oo'níiłii éí nijéí bee bik'eh honíł'į́į le' .
20:3:002:0	Háálá lą'í niidoołkááł áádóó as'ahgóó hinínáa doo índa nich'į' hózhǫ́ǫ doo .
20:3:003:0	Aa a'ááh hwiindzin índa t'áá aaníinii yóó'andó'ááł lágo ; ázéénílt'ih , áádóó nijéí bííníłtą' .
20:3:004:0	Áko Diyin God binááł áádóó diné dabinááł nich'oha'née doo áádóó yá'át'éehgo ak'idi'yiitįįh doo .
20:3:005:0	Nijéí t'áá át'é bee Bóhólníihii baa dzíínílí ; t'áá ni nił bééhózinii éí t'áadoo ba'íínílíhí .
20:3:006:0	Hidínááhgóó t'áá ałtsojį' t'áá bí t'éí baa ákonínízingo yá'át'éehgo dahonít'i' góó niyoołáał doo .
20:3:007:0	Shí lá honisą́ , t'áadoo níníziní , nidi Bóhólníihii díínísin áádóó doo yá'ádaat'éehii bits'ąą ádaa áhólyą́ .
20:3:008:0	Éí bee nits'íís nádziih doo áádóó nits'in hadaałt'ée doo .
20:3:009:0	Nit'íinii bee Bóhólníihii nił nilį́įgo baa hidí'aah ; nínáníłt'į́hígíí t'áá át'é áłtsé neest'áanii Bóhólníihii baa hidí'aah .
20:3:010:0	Áko nikin bii' nooh nída'achíihii góne' ch'iyáán hééł ánéinil'įhígíí t'ah yówehgo hadeezbin doo , áádóó ch'il na'atł'o'ii náníłjishígi wáin ániidíii ba'aan nída'adleeh doo .
20:3:011:0	Shiye' nílíinii , Bóhólníihii t'áá hashkée yína'niłtinii t'áadoo doo níníziní índa k'éhézdon ninániidlóosgo t'áadoo yiiłkóhí .
20:3:012:0	T'áá azhé'é biye' yaa bił hózhóonii nínéiniłtsxisígi át'éego Bóhólníihii éí ba'áłchíní ayóó'áyó'níinii néiniłtsxisgo hasht'e'nináyiidlóós .
20:3:013:0	Diné bee hódzáanii yik'íníyáii áádóó diné ak'idi'yiitįįh shóyoost'e'ii bił hózhǫ́ .
20:3:014:0	Háálá béésh łigaii bee naalyéhé shóot'eehii bilááh át'éego hódzą́ shóozt'e'jí aláahgo ílį́ , áádóó óola díkwíidida nídoolyį́į'ii bilááh át'éego a'nídéél .
20:3:015:0	Nitł'iz ałtaas'éí bilááh át'éego hódzą́ ayóo ílį́ , áádóó ha'át'íhída bídin nílíinii t'áá ałtso t'áá nida'íí'oh .
20:3:016:0	Nízaadgóó iiná nish'náájí yee dah yoolééł , yódí índa ił ílį́ nishtł'ahjí yee dah yoolééł .
20:3:017:0	Hódzą́ yaa naagháhígíí bee dahózhóní índa dabinítiingóó t'áá ałtso bee hasht'edahodít'é .
20:3:018:0	Hódzą́ dayiiłtsoodii éí iiná tsin sikaadii yá nilį́ ; t'áá bizááká dabótą'ii bił dahózhǫ́ .
20:3:019:0	Bóhólníihii éí hódzą́ yee nahasdzáán niiní'ą́ ; ak'i'diitįįhii yee yót'ááh hiníláii bidahoníłdzilgo áyiilaa .
20:3:020:0	Bił bééhózinígíí bee tooh danílį́įgo áyiilaa , índa k'os bits'ą́ą́dę́ę́' dahtoo' hólǫ́ǫgo áyiilaa .
20:3:021:0	Shiye' nílíinii , éí yóó'adóó'ááł lágo ; t'áá ákogi át'éego hódzą́ índa yá'át'éehii áádóó doo yá'át'éehii nił bééhózingo bee ádaa áhólyą́ ,
20:3:022:0	áko nii' sizíinii yee hináa doo áádóó yoo' nizhóníii ázéézhdééljéé' nahonílin doo .
20:3:023:0	Áko índa hasihgo atiingóó yínáałgo doo díníítł'ah da .
20:3:024:0	Nítéehgo doo náníldzid da doo ; t'áá aaníí , nítéehgo ayóó át'éego łikango íłhosh doo .
20:3:025:0	T'áadoo kót'é ílíní yéé' haleehgo áádóó diné doo yá'ádaashóonii ádabidi'dooldįįł baa halzhishgo t'áadoo náníldzidí .
20:3:026:0	Háálá Bóhólníihii baa dzíínílíi doo , áko nikee' doo niitł'ááhgóó áyósin doo .
20:3:027:0	Yá'át'éehii diné bee baa jiidííbaałígíí bee nóhólníihgo t'áadoo bich'į' baa níchį'í .
20:3:028:0	Bił kééhót'íinii bá t'áadoo le'é nee hólǫ́ǫgo t'áadoo kóbidiníní , Nílááh yínááł ; yiską́ągo náádíídááł , áko índa naa deeshłééł .
20:3:029:0	Bił kééhót'íinii níighahgóó kééhat'į́įgo hasih hodiil'aahígíí t'áadoo bik'ijį' nílį́įgo nahó'áhí .
20:3:030:0	Diné doo haa daniilaagóó t'áadoo biniinaanígóó t'áadoo bináádiiltłi'í .
20:3:031:0	Diné doo yits'íidii t'áadoo yiníłch'į́dí , áádóó át'éii bi'óólééh lágo .
20:3:032:0	Háálá diné nidahagizii éí Bóhólníihii doo bíłdin da , nidi Bóhólníihii éí kót'é ha'níinii diné t'áá ákogi ádaat'éii bił béédahózingo áyósin .
20:3:033:0	Diné doo yá'ádajíshónígíí dahaghan hóyée'go Bóhólníihii yá hadoodzih , nidi t'áá ákogi ádaat'éii kéédahat'ínígi yik'izhdoodliił .
20:3:034:0	Ąąh nidayiiłhaałii t'áá aaníí yąąh nayiiłhaał , nidi diné a'ohgo ádaat'éii yaa jooba' .
20:3:035:0	Diné dahóyáanii ił ídlíinii daabí doo , nidi doo ádahojilyánígíí éí t'óó haa yádahodoosįįł .
