58:8:001:1	Jesus Diineenjit Ndak Khii Giinkhih Choh Nilii
58:8:001:0	Jii jidii eegirinkhii t'ee jyaa digwinyąą t'igwinyąą, łyaa ndak khii giinkhih choo tr'ii'įį ąįįt'ee Vit'eegwijyąhchy'aa jiintsii ch'andaa hil'ee nilii zheekat k'eedeegwaadhat ts'ą' yakat doodii ąįį vishriits'ąįį dhidii. 
58:8:002:0	Dzaa nankat gwidinji' nąįį daganli' haa zheh gwadhah gwinigiintthaii kwaa, gaa K'eegwaadhat kharigidiinjii zheh gwadhah gwiiniintthaii vizhit ch'andaa shroodiinyąą dehk'it goo'aii ndak khii ginkhih choo nilii geenjit gwizhit tr'agwah'in. 
58:8:003:0	Ndak khii giinkhih choo nąįį datthak Vit'eegwijyąhchy'aa gwitee tr'agoovinlii t'oonchy'aa, Vit'eegwijyąhchy'aa ts'ą' nin akwat gwanzhįh kwaii ataiinjii gahahtsyaa geenjit, ts'ą' diidak khii giinkhih choo chan k'aiich'ii ataiinjii hahtsyaa hee'yaa goo'aii. 
58:8:004:0	Jewish law zhit ginkhih nąįį, ch'ijuk gwinlęįį ataiinjii Vit'eegwijyąhchy'aa ts'ą' gahahtsyaa goo'aii, ąįį geh'an dzaa naa dhidii ji' duuyeh giinkhih nilii t'inchy'aa. 
58:8:005:0	Dzaa nankat ndak khii giinkhih ginlii haa gwitr'it t'agwagwah'in t'ee zheekat deegwee'ya' ąįį gwik'it teegahdaii t'igii'in. Ąįį geh'an nijin Moses Kharigidiinjii Zheegwadhah gwinintthaii dąį' łyaa gwik'it t'ihee'yaa gwizhrįh, “Ddhah kat nats'ąą gwahahtsyaa nats'ą' gwigweełkįį ąįį gwik'it gwahahtsyaa gwizhrįh.” 
58:8:006:0	Gaa juk Jesus, ndak khii giinkhih gwigwitr'it vantł'eegwirin'ąįį t'ee ndak khii giinkhih nąįį andaa hil'ee, ąįį Vit'eegwijyąhchy'aa digii nąįį eenjit deehee'yaa nyąą t'ee Vit'eegwijyąhchy'aa, Moses k'iighai' deehee'yaa nyąą andaa gwihil'ee, digii nąįį eenjit deehee'yaa nyąą ąįį gwandaa gwinzii t'ihee'yaa geh'an t'inyąą. 
58:8:007:0	Ąįį tr'ookit dąį' deeshi'yaa jiinyą' chy'aa gwit'igwin'ee kwaa ji' ch'izhii deeshi'yaa nyąą gwik'it t'ihee'yaa, nyąą gwat'aahchy'aa kwaa. 
58:8:008:0	Gaa jii jyaa diinyą' dąį' Vit'eegwijyąhchy'aa vigii nąįį veenjit t'igwin'ee,“Nijin Israel ts'ą' Judah gwich'in nąįį haa,deeshi'yaa dihnyąą chy'ah gooveenjit k'eejit neegwahałtsyaa ąįį drin gwats'ą' gweedhaa,K'eegwaadhat nyąą. 
58:8:009:0	Yeenii gooti' neezheeneedijii nąįį deeshi'yaa dinyąą goovantł'eegwii'ąįį chy'aa k'it t'ishi'yaa kwaa,nijin drin goovanli' oodhiijik ts'ą' Egypt gihłeegoohoiilii dąį'.Deeshi'yaa dihnyąą goovantł'eegwii'ąįį ąįį gwik'eegwagwahthat kwaa,geh'an zhyaa gaval'in ts'ą' gavininjich'ałthat kwaa goodlit. 
58:8:010:0	Nijin drin zhat nagwaanąįį, ji' deeshi'yaa jihnyąą chy'ah Israel gii nąįį ts'an hałtsyaa,K'eegwaadhat nyąą.Jii Sha-law ąįį goodrii zhit dihihtł'oots'ą' gooyiinji' zhit chan nihih'aa.Ąįįts'ą' Goovit'eegwijyąhchy'aa hihłyaats'ą' geedan chan shigii giheelyaa, gavahnyąą. 
58:8:011:0	Gootee ch'ihłee gaa dijyaa geehahchyaa kwaaakwat goonee'ok dinjii nąįį chan haa gwahoondak kwaa,‘Datthak ts'ą' K'eegwaadhat haakhwandaii gwat'oohchy'aa t'oonchy'aa.’Juu gwintsal veegoo'aii ts'ą' juu gwintsii veegoo'aiihaa datthak shaagiheendaii geh'an. 
58:8:012:0	Gootr'agwaanduu datthak gooveenjit oo'an gwihihłyaa,ts'ą' gwiizųų t'igee'ya' ąįį chan giineehaldaii kwaa.”K'eegwaadhat jyaa nyąą. 
58:8:013:0	Jii deeshi'yaa nyąą chy'ah ąįį k'eejit neehahtsyaa eegariinkhii, ąįįt'ee eh'an Moses va-law, k'eejit nilii kwaa ts'ą' duuyeh vit'ineegwaachy'aa t'inchy'aa ąįįts'ą' jidii datthak k'eejit nilii kwaa dąį', khai' ts'ą' an ilii ts'ą' niighit kwaa chan vakwaa gweheelyaa t'inchy'aa.
