58:2:001:1	Neereheezhii ąįįt'ee Jiintsii
58:2:001:0	Jyąhts'ą' geh'an jidii tr'iitth'ak ąįį łi'deegwidlii, ąįį łahchy'aa gwint'aii tr'ooheentą' gwizhrįh goo'aii t'oonchy'aa. Diigwik'injigwiighit akharooheenjyaa kwaa geenjit. 
58:2:002:0	Zheekat gwich'in Moses va-law yeenii diilak nąįį antł'eegwiin'ąįį t'ee łi'deegwidlii gwigweech'in, ts'ą' dinjii nąįį deegihee'yaa goo'aii gwik'it t'igii'in kwaa ts'ą' yik'eegwahthat kwaa nąįį t'ee nats'ąą khaiinjich'igiheeghit gwik'it khaiinjich'agooriłthat t'igiinchy'aa. 
58:2:003:0	Nats'ąą gwik'iighai' khaiinjich'iriighit gwats'an tr'ineereheedaa ąįį neereheezhii gwadrąįį gwatsal gaa ninjich'aradhat kwaa ji'? Ąįį K'eegwaadhat Jesus adan tr'ookit it'ee neereheezhii jiintsii geegiinkhe', ąįįts'ą' juu zhat dąį' yiitth'ak nąįį datthak diits'ą' łi'deegwidlii gwigwigweełkįį. 
58:2:002:1	Juu Neereheezhii gwats'ą' Diinehee'aa
58:2:004:0	Ąįį jyaa digwii'in gwiizhik Vit'eegwijyąhchy'aa chan gwigwii'in ts'ą' nindal gwaahchy'aa nihłehjuk t'iichy'aa kwaii datthak haa gwigweech'in gwahtsii, ąįįts'ą' Ch'anky'aa Shroodiinyąą k'iighai' vit'eegwahahchy'aa eenjit nats'ąą nihłehjuk gwitr'it t'agwagwahah'yaa goovantł'eiinlii. 
58:2:005:0	Ąįį nankat k'eejit neegweheelyaa gwinyąą ts'ą' geegarinkhii, ąįįt'ee Vit'eegwijyąhchy'aa dizheekat gwich'in ąįį k'eegwagwahahthat geenjit zhat nagoovinlii kwaa. 
58:2:006:0	Gaa, Dęhtły'aa Choh zhit gwa'an jyaa digwinyąą,“Vit'eegwijyąhchy'aa jiintsii jaghaii jii nankat gwidinjii nąįį gooninjich'ahthat?Jaghaii gook'ąąhtii? 
58:2:007:0	Ch'ihłee gwatsal zheekat gwich'in nąįį andaa gwintsal gihil'ee kwaa goovołtsąįį,ts'ą' ch'eegwąhndit ts'ą' gwihil'ee haa ch'ihłee goots'an dhąhtsąįį, 
58:2:008:0	ts'ą' jidii datthak ts'ą' k'eedeegwahaadhat gooviłtsąįį.”Vit'eegwijyąhchy'aa datthak gwats'ą' k'eedeegwagwahaadhat gooviłtsąįį gwinyąą, ąįįt'ee jidii datthak t'arahnyąą. Gaa, juk gweendaa dzaa nankat gwidinjii jidii datthak gwats'ą' k'eedeegwaadhat gwaraah'in kwaa. 
58:2:009:0	Gaa Jesus, ąįį zheekat gwich'in nąįį andaa gwintsal hil'ee tr'iłtsąįį, ąįį gwigweech'in gwaraah'in, jyąhts'ą' gwik'iighai' Vit'eegwijyąhchy'aa vich'eegoonzhrii zhit juu nąįį datthak eenjit niindhat, ts'ą' khaiinjich'ahohthat ts'ą' niindhat geh'an juk gwihil'ee ts'ą' ch'eegwąhndit vantł'eeriin'ąįį, gwaraah'in. 
