58:12:001:1	Vit'eegwijyąhchy'aa Diiti' Nilii
58:12:001:0	Diikhwan ąįį dinjii lęįį gwik'injiighit nąįį diineelin nigeelzhii, ts'ą' diik'eegahtii k'it t'igiinchy'aa. Ąįį geh'an Jesus k'injireheeghit deegwii'in kwaii akhagwaroonyąą ts'ą' tr'agwaanduu t'igwehee'yaa geenjit gwint'aii diinoontą' k'it t'inchy'aa ts'ą' nihłeegalrahaajyaa tee gwa'an gwint'aii ts'ą' khai'gwidlii haa gęhdaa tr'ireheendal gwik'eegwarandaii k'it Vit'eegwijyąhchy'aa deegoo'ya' diinoonyąą gwik'it t'agǫǫ'ya'. 
58:12:002:0	Jesus, diinindee haa gweedhaa datthak aakin tr'oo'i', gwik'injiriighit geh'an diineenjit tr'ookit nilii ts'ą' ndaagwąąn'ąį' gwats'ą' datthak chan nilii. Cross eh'an akhagoonyąą kwaa! Cross kat giriłtsak ąįį gwa'oozhii ahłįį kwaa, veenjit shroonchy'aa goo'aii ąįį geh'an, juk t'ee Vit'eegwijyąhchy'aa gwihił'ee gwachoh kat doodii, ąįį vishriits'ąįį juk dhidii t'inchy'aa. 
58:12:003:0	Zhit juu tr'agwaanduu vigwitr'it gwanlii ts'ą' juu yitr'ii'ee nąįį khaiinjich'igiiyahthat nąįį gooninjich'ohthat. Jyąhts'ą' gwik'iighai' nakhwant'ee, nakhwat'aii gweheelyaa ts'ą' akhagahohjyaa kwaa geenjit. 
58:12:004:0	Tr'agwaanduu t'akhwa'yaa gwits'į' gwint'aii nich'itsohthat gwizhit tth'aii hee gaa nakhwęhdaa tr'agwagwa'aii kwaa. 
58:12:005:0	Nakhwat'aii gweheelyaa geenjit Vit'eegwijyąhchy'aa nakhwats'ą' ginkhii nik'ee ganoondaii?“Shigii, nijin K'eegwaadhat jyaa ni'in kwaa nahnyąą dąį' ch'oodǫǫhk'įįts'ą' geenjit natthąį' oozųų shrǫ', gwint'aii nats'ą' ginkhii dąį'. 
58:12:006:0	Ąįį geh'an K'eegwaadhat juu eet'indhan nąįį gwiizųų t'igii'in ąįį jyaa dakhwa'in kwaa ahnyąąts'ą' juu shigii oonyąą nąįį chan gwiizųų t'akhwazhit ahnyąą ts'ą' googwahshii.” 
58:12:007:0	Khaiinjich'akhwaghit ąįį nakhwati' nakhwagwahąąhshii k'it t'oonchy'aa ts'ą' zhyaa gooh'in. Khaiinjich'akhwaghit t'ee Vit'eegwijyąhchy'aa digii k'it nakhwaneehahdak t'igwii'in. Tsyaa ch'ihłee gaa viti' yagwahshii kwaa gwanlii kwaa. 
58:12:008:0	Vit'eegwijyąhchy'aa digii nąįį datthak agwahshii ąįįts'ą' nakhwagwahshii kwaa ji' t'ee vigii ǫhłįį kwaa ts'ą' vats'an ǫhłįį kwaa. 
58:12:009:0	Dzaa nankat diiti' nąįį diigwąąhshii dąį' googaa nihk'it gaveenjirihil'ee, ąįį gwik'it deegwahtsii Diizheekat Diiti' ąįį vik'eegwarahahthat ts'ą' gwandaii ndaanąą'ąį' kwaa tr'ihee'yaa geenjit! 
58:12:010:0	Dzaa nankat diiti' nąįį, ch'ihłee gwizhrįh diigwagwahshii t'igii'in nats'ahts'ą' gwinzii giindhan gwik'it. Gaa Vit'eegwijyąhchy'aa ąįį diidiveegweheezyaa geenjit t'ii'in, shroodiinyąą nilii ąįį gwik'it vaa shroodiinyąą tr'iheelyaa geenjit. 
