50:2:001:1	Pen . ij .
50:2:002:1	Mae ef yn eu cygcori yn uch pen dim i vvylltot , wrth yr hyn yn bennaf y cynhelir y ddysc bur . Gan addaw y byð iddo ef a’ Thimotheus ddyvot ar vrys atynt wy . Ac escuso y mae ef hirdrigiat Epaphroditus .
50:2:001:0	A D oes neb diddanwch in‐Christ , a’s oes confort cariat , a’s oes neb cymddeithas a’r Yspryt , a’s oes neb tosturi na’ thrugaredd ,
50:2:002:0	cyflawnwch veu llawenydd , ar y chwi vot yn vn vryd , a’ chenych yr vn ryvv gariat , ac yn vneneidiae , ac yn vn varn ,
50:2:003:0	val na vvneler dim trwy gynnen neu ’wag ’ogoniant , eithyr yn‐gostyngeidrwydd‐calon tybied pop vn vot arall yn well nac ef yhun .
50:2:004:0	Nac edrychwch bop vn ar yr yddoch y chunain , eithr pop vn hefyt ar y petheu ’sydd y eraill . Yr Epistol y Sul o vlaen y Pasc .
50:2:005:0	Bid yr vn veddwl ynoch ac oedd in‐Christ Iesu ,
50:2:006:0	yr hwn ac ef yn ffurf Dduw , ny thybiawdd drais vot yn ’ogyfiuwch a Duw :
50:2:007:0	eithr ef y diðymiawð ehun , ac a gymerth arnaw agwedd gwas , ac ei gwnaethpwyt yn gyffelyp i ddynion ,
50:2:008:0	ac a gaffad yr vn ffynyt a dyn . Ef a ymostyngawð can vod yn uvydd i angeu , ys angeu croc .
50:2:009:0	Erwyd paam hefyt Duw y tra derchafawdd ef , ac a roddes yðo Enw , uch pen pop enw ,
50:2:010:0	pan yw yn Enw ’r Iesu i bop glin estwng yn gystal ir nefolion , a’ daiarolion , ac y danddaiaroliom bethæ ,
50:2:011:0	ac y bop tauot coffessu mae Iesu Christ yw’r Arglwyð , er gogoniant Duw Tat .
50:2:012:0	Erwydd pa bleit veu‐caredigion , megis bop amser yr uvyddhaesoch , nyd megis yn veu‐gwydd yn vnic , eithr yr awrhon yn vwy o lawer yn veu absent , velly gorphenwch eich iechydwrieth ychunain drwy ofn ac echryn .
50:2:013:0	Can ys Duw yw’r hwn ’sy yn gweithio ynoch , ’sef yr ewyllys a’r weithred , nid amgen oi vvir wyllys da .
50:2:014:0	Gwnewch bop dim yn ddivurmur ac eb ymddadle ,
50:2:015:0	val y byddoch yn ddiargywedd , ac yn bur , ac yn veibion i Dduw yn ddigwliedic ym‐pervedd cenedleth ddrigionus ddygam , ym‐plith yr ei yð ych yn dysclaerio megis lleuvereu yn y byt ,
50:2:016:0	yn rrac estend gair y bywyt , er gorfoledd ym yn‐dyð Christ , can na redais yn over , ac na lavuriais yn over .
50:2:017:0	Ie , a’ phe im offrymit ar ucha yr aberth a’ gwasanaeth eich ffydd , llawen yw genyf , a’ chydlawen a’ chwi oll .
50:2:018:0	O bleit hyn hefyt byddwch‐witheu lawen , a chydlawenhewch a’ minheu .
50:2:019:0	A’ gobeithaf yn yr Arglwydd Iesu , y ddanvonaf Timotheus ar vyrder atoch , vegis im conforter i hefyt , wrth wybot ywrthych .
50:2:020:0	Can nad oes i mi neb o gyffelyp veddwl , yr hwn a ’ofala yn ffyddlawn dros eich negesae .
50:2:021:0	Can ys pawp ’sy yn ceisiaw yr yddyn y hunain , ac nyd yr hyn ’sy yddaw Christ Iesu .
50:2:022:0	Eithyr chvvi adwaenoch y brofiadigeth am dano ef , can ys val map y gyd a thad , y gwasanaethoedd ef gyd a mivi yn yr Euangel .
50:2:023:0	Hwn gan hyny ’r wy’n gobeitho y ddanvon cyn gynted ac y gwypwyf pa ddelw vydd y‐my ,
50:2:024:0	a ’gobeithaf yn yr Arglwydd , y bydd i mi vyhun hefyt ddyvot ar vyrder .
50:2:025:0	Eithr ys tybiais vot yn angenraidiol ddanvon veu‐brawd Epaphroditus atoch , veu‐cydweithwr , a’m cydvilwr , ’sef eich cennad chwi , a’r hwn a vu yn vy‐gwasanaethu inheu o gyfryw betheu ac oeð arnaf i eisieu .
50:2:026:0	Can ys yð oeð arno hiriaeth am dano chwi oll , ac athrist iawn ytoedd , can y chwi glybot , y vod ef yn glaf .
50:2:027:0	A’ diau y vot ef yn glaf , ac yn gyfagos y angeu : anyd bot y Dduw drugarhau wrthaw , ac nyd wrtho ef yn vnic , amyn wrthy vi hefyt , rac y‐my gahel tristit ar dristit .
50:2:028:0	Mi y danvoneis ef gan hyny yn ddiescaelusach , val pan welech ef drachefn , y llawenhaech , ac y byddwn inheu yn ddidristach .
50:2:029:0	Erbyniwch ef gan hyny yn yr Arglwydd y gyd a chwbl llawenydd , a’ mawrhewch y cyfryw ’rei :
50:2:030:0	can ys er mwyn y gwaith Christ y bu ef yn agos i amgeu , ac ny ðarbodawdd am ei einioes , y gwplau deffic eich gwasanaeth i mi .
