50:4:001:1	Pen . iiij .
50:4:002:1	Y mae yn ei hannoc y vod o ymwreddiat syberw , Ac yn diolwch yddyn am yr ymgeledd a wnaethoeddynt yddaw ac ef yn‐carchar , Ac velly y mae yn dibennu gan
50:4:003:1	*
50:4:004:1	ganu yn iach .
50:4:005:1	ymiachau .
50:4:001:0	GAn hyny veu‐broder , caredigion a’ damunedigion , veu llawenydd a’m coron , velly y safoch yn yr Arglwyð , garedigion .
50:4:002:0	Atolygaf y Euodias , ac ervyniaf y Syntyche , synnyet yn gytun yn yr Arglwydd .
50:4:003:0	Ac ys archaf arna‐tithe , ffyddlawn gydweddawc cymporth y gvvragedd hyny , yr ei a lavuriesont y gyd a mi yn yr Euangel , y gyd a Chlement hefyt , a’ chyd ac erail o’m cyd weithwyr , yr ei ’sy ei henwae yn scrivenedic yn y llyfer y bywyt . Yr Epistol y iiij . Sul yn Aduent .
50:4:004:0	Llawenhewch yn yr Arglwydd yn ’oystadawl , a’ thrachefn y dywedaf , llawenewch .
50:4:005:0	Bit eich gestyngeiddrwydd yn gydnabyddus y gan bop dyn . Y mae yr Arglwydd yn agos .
50:4:006:0	Na ’ofelwch am ddim , eithr ym pop dim dangoser eich gofynion y Dduw yn‐gweddi , a’ deisyfiad gyd a diolwch .
50:4:007:0	A’ thangneddyf Duw yr hwn ’sy uwchlaw pop dyall , a gaidw eich calonae , a’ch meðyliae in‐Christ Iesu .
50:4:008:0	Eb law hyn , vroder , pa bethæ pynac ’sy gywir , pa bethe bynac sy sybervv , pa pethæ pynac ’sy gyfiawn , pa pethe pynac , ’sy pur , pa bethe pynac ’sy garuaidd , pa petheu pynac sydd o enw da , ad oes vn rhinweð , ac a’d oes dim moliant , meðyliwch am y petheu hyn ,
50:4:009:0	yr ei’n a ðyscesoch ac a ðerbyniesoch , ac a glywsoch , ac a welsoch yn y vi : y petheu hyny gwnewch , a’ Duw benavvdur tāgneðyf a vyð y gyd a chwi .
50:4:010:0	A’llawē wyf hefyt yn yr Arglwyð yn ddirvawr , gan y chwi yr awrhon or dyweð ymadnewyðu i synnied arnaf , am yr hyn cyd baech yn synniet , nyd oeddech yn cahel enhyd .
50:4:011:0	Nyd wy yn dywedyt erwyð eisieu : can ys dyscais ym‐pa gyflwr bynac ydd wyf , vot yn voddlawn yddaw .
50:4:012:0	Sef y metraf ymostwng , a’ metraf amlhau : ym‐pop lle , ac ym pop dim im addyscir y vot yn llawn , a’ bod yn newynoc , a’bot yn helaeth , a’ bod mewn eisiae .
50:4:013:0	Ys pop dim a allaf trwy borth Christ , rhwn’sy im nerthu .
50:4:014:0	Eithyr ys da y gwanaethoch , ar yvvch gyfrannu i’m gorthrymder i .
50:4:015:0	A’ chwi Philippieit , a wyddoch can ys yn dechreuad yr Euāgel , pan aethym i ymaith o Vacedonia , ny chyfrannawdd vn Eccles a mi o bleit devnydd rhoddy a’ derbyn , amyn chwichvvi yn vnic .
50:4:016:0	Can ys‐a myvi yn Thessalonica , chwi a hebrynesshch , vnwaith , ac eilwaith er mwyn veu angenraid i ,
50:4:017:0	nyd erwydd yr archaf rodd : anyd ys archaf y ffrwyth rhwn all amlhau yn borth i chwi :
50:4:018:0	Pellach ys derbyniais oll , ac mae genyf helaethrwydd : ’sef im cyflavvnwyt , gwedy ym’ dderbyn y gan Epaphroditus y petheu a ddaeth y wrthych , arogl per‐ar wynt , aberth gymradwy a’ thirion gan Dduw .
50:4:019:0	A’r Duw meuvi a gyflanwa eich oll angenraid chvvi erwydd y ’olud ef , gan ’ogoniant yn‐Christ Iesu .
50:4:020:0	I Dduw ’sef ein Tad , y bo gogoniant yn oesoedd oesoedd , Amen .
50:4:021:0	Anerchwch yr oll Sainctæ in‐Christ Iesu . Y mae’r broder ’sy gyd a mi , yn eich anerch .
50:4:022:0	Yr oll Sainctæ ach anerchant , ac yn bennaf yr ei ynt o tuylu Caisar .
50:4:023:0	Rat ein Arglwydd Iesu Christ y gyd a chwi oll , Amen . O Ruuein yr escriuenwyt at y Philippieit , ac yd anvonvvyt y gan Epaphroditus .
