50:3:001:1	Pen . iij .
50:3:002:1	Y mae ef yn y rhubyddiaw hwy y ymogelyt rae gau ddyscodron , yn erbyn pa’r ei y mae ef yn gosot Christ , Ar vn modd y hunan , Ai ddysc ef . Ac yn gwrthbrovi cyfiawnhat dyn y hun .
50:3:001:0	WEithion , veu‐broder , byddwch lawen yn yr Arglwyð . Nyd blin gen y vi scrivennu yr vn petheu atoch , ac y chwitheu y mae yn beth dilys .
50:3:002:0	Goachelwch y cwn : gogelwch ddrwc weithwyr : gochelwch rae y cydtoriat .
50:3:003:0	Can ys Cylchtoriat y dym ni , yr ei a addolwn Dduw yn yr yspryt , ac a ymhoffwn yn‐Christ Iesu , ac nyd ym yn ymddiried yn y cnawd :
50:3:004:0	cyd bei i mi hefyt allu ymddiried yn y cnawt . A thybia nep arall y gallei ymddiried yn y cnawt , ys mwy y galla vi :
50:3:005:0	wedy vy enwaedy yr wythuet dydd , o genedl Israel , o lwyth Ben‐iamin , yn Ebraiwr or Ebraieit , wrth y Ddeddyf yn Pharisaiad :
50:3:006:0	erwydd zel yn ymlit yr Eccles : erwydd y cyfiawnder’syð yn y Ddeðyf , yn ddigwliadvvy .
50:3:007:0	Eithr y petheu oedd yn elw i mi , yr ei hyny a gyfrifwn yn gol’et er mwyn Christ .
50:3:008:0	Eithr yn ddilys cyfrif rwyf bop dim yn gollet er mwyn rhagorawl wybodaeth am Christ Iesu veu Arglwyð , er mwyn yr hwn y cyfrifais bop dim yn gollet , ac yddwyf yn ei cfrif yn dom , val y gallwn ennill Christ ,
50:3:009:0	a’m caffael ynddo ef , sef yvv , nyd a’m cyfiawnder vyhun genyf : ys yð o’r Ddeddyf , anyd yr vn y sydd trwy ffydd Christ , sef y cyfiawnder ys ydd o y gan Dduw trwy ffyð ,
50:3:010:0	val yr adwaenwyf ef , a’ rhinwedd ei gyfodiadigeth , a’ chymdeithas ei gystuddion , val im cyffurfer ai angeu ef ,
50:3:011:0	gan brovi mewn neb ryw voð a gyrayðwn y gyfodiadigeth y meirw :
50:3:012:0	nyd val pe bawn wedy ei gyrayddyt eisius , neu vot eisius yn berfeith : eithr dilyn ydd wyf , y geisiavv emavlyt yn yr hyn er ei vwyn yr ymavaelir ynof y gan Christ Iesu .
50:3:013:0	Y broder , nyd wyf yn barnu i mi ymavael ynddo , eithr vn peth ydd vvyf arno : gellwng dros gof hyn ’sy y tu cefn , a’ a cheisio tynnu at yr hyn ’sy y tu geyr bron ,
50:3:014:0	a’ chyrchu at y nod , am y gamp yr vchel ’alwedigeth Duw in‐Christ Iesu .
50:3:015:0	Cynnyuer gan hyny o hanom ac ym yn berffeith , synniwn val hyn : ac ad ych yn synniaw yn amgenach , ’sef yr vn peth a ddatgudd Duw ychwy .
50:3:016:0	Er hyny yn y peth y daetham ataw , cerddwn wrth yr vn rheol , val y synniom yr vn peth . Yr Epistol y xxiij . Sul gwedy Trintot .
50:3:017:0	Ha‐vroder , byddwch ddilynwyr o hano vi , ac edrychwch ar yr ei , ’sy yn rhodiaw velly , megys ydd ym ni yn esempl y‐chwy .
50:3:018:0	Can ys llawer a rodiant , am ba ’rei y dywedeis ywch yn vynech , ac yr awrhon y dywedaf ywch’ dan wylaw , eu bot yn ’elynion Croc Christ ,
50:3:019:0	yr ei sydd ei dywedd yn gyfergoll , a’i bola yn Dduw yddvvynt , a’i gogoniant yn wradwydd yddynt , yr ei a synniant am betheu daiarawl .
50:3:020:0	Can ys ein gwladwriaeth ni ’sy yn y nefoedd , o’r lle ydd ym yn edrych am yr Iachawdr , ’sef yr Arglwydd Iesu Christ ,
50:3:021:0	yr hwn a ysymut ein corph gwael ni , val y gwneler yn unffurf a y gorph gogoneddus ef , erwydd y nerthovvgrvvydd , gan yr hyn y dychon ef ðarestwng pop dim yddaw yhun .
