50:1:001:1	Pen . j .
50:1:002:1	S . Paul yn dynoethi ei galon tu ac atynt , Wrth roi diolwch , Gweddiae , A’ damuniadae dros ei ffydd a’i hiechydwrieth . Dangos y mae ffrwyth ei
50:1:003:1	‡
50:1:004:1	groes
50:1:005:1	groc , Ac yn ei hanoc i gyntundep , A’ dyoddefgarwch .
50:1:001:0	PAul a’ Thimotheus gweisiō Iesu Christ , at yr oll Sainctæ yn‐christ Iesu’r ei’sy yn Philippi , y gyd ar episcopiō , a diaconieit :
50:1:002:0	Rat vo gyd a chwi , a’ thangneddyf y gan Dduw ein Tat , a’ chan yr Arglwyð Iesu Christ . Yr Epistol y xxij . Sul gwedy Trintot .
50:1:003:0	Im Duw y dyolchaf gan i mi eich cwbl gofio ,
50:1:004:0	( bop amser yn veu oll weddiae y drosoch oll , gan weddiaw gyd a llawenydd )
50:1:005:0	o bleit y gymddeithas y sydd y chwi yn yr Euangel , o’r dydd cyntaf yd yr awrhon .
50:1:006:0	Ac y mae yn gredadwy genyf hyn yma , pan yw hwn a ðechreoð y gwaith da hyn ynoch , ei gorphen yd yn‐dydd Iesu Christ ,
50:1:007:0	megis y mae yn iawn i mi synnied hyn am danoch oll , can ys eich bot yn vy‐calon yn gystal yn veu rhwymae ac yn veu amndeffen , a’ chadarnhad yr Euangel , nyd amgen eich bot chvvi oll yn gyfranogiō a mi o’m rhat .
50:1:008:0	Can ys Duw yn test ymy , mor orhoff genyf chwychvvi oll o eigiawn ve‐calon in Iesu Christ .
50:1:009:0	A’ hyn a weddiaf , ’sef ar amplhau och cariat etwo vwyvwy yn‐gwybyddiaeth , a’ chwbl ddyall ,
50:1:010:0	mal y metroch ddosparthu y petheu y bo gohanieth rhyngthynt i gilydd , a’ bot yn puredigion , ac yn ddidramgwyð , yd yn‐dydd Christ ,
50:1:011:0	wedy eich cyflawny o ffrwytheu cyfiawnder , yr ein ’sy ynoch trwy Iesu Christ er gogoniant a’ moliant y Dduw .
50:1:012:0	Mi a wyllysiwn i chwi wybot , vroder , am y petheu a ddigvvyddavvdd i mi , a daethont yn hytrach yn rhwyddiant ir Euangel ,
50:1:013:0	val y mae veu rhwymeu i yn Christ yn eglaer yn‐cwbl o’r Orsedd , ac yn oll lleodd eraill ,
50:1:014:0	yd y n ydyw llawer o’r broder yn yr Arglwydd yn hyderusach o blait veu rhwymeu i , ac yn llyfasu yn ddiofnusach draythu’r gair .
50:1:015:0	Rei a precethant Christ ’sef drwy genvigen , ac ymryson , a’r ei hefyt o wyllys da .
50:1:016:0	Y’n aillplaid yn precethu Christ o gynnen ac nyd yn burol , gan dybied dwyn mwy o vlinder im rhwymeu .
50:1:017:0	A’r blait arall o gariat , gan wybot vy‐dodi i yn carchar er amddeffend yr Euangel .
50:1:018:0	Beth er hyny ? eto Christ a bregethir ym‐pop modd , pa vn bynac vo ai o ryw liw , nai yn gywir : ac y mae hyny yn llawen genyf , ac a vydd llawen genyf hefyt .
50:1:019:0	Can ys‐gwn y treigla hynn yn iechedvvrieth i mi , trwy eich golochwyt chvvi , a thrwy ganhorthwy Yspryt Iesu Christ ,
50:1:020:0	erwydd veu llwyr ddysgwiliad , a’m gobaith , yn‐dim na’m gwradwydder , eithyr o gwbl hyder , val bop amser , velly yr awrhon y mawrygir Christ yn veu‐corph , i pa vn bynac vo ai gan vywyt ai gan angeu .
50:1:021:0	Can ys Christ ys ydd i mi pop vn ym‐bywyt , ac yn angeu yn enilliat .
50:1:022:0	Ac ai byw yn y cnawt vyddei lesad i mi , a’ pha beth a ddetholaf ny’s gwn .
50:1:023:0	Can ys mae yn gyfing arnaf o’r ddautu , gan ddeisyfu vy‐datdod a’ bot y gyd a Christ , yr hyn ’sy oreu dim .
50:1:024:0	Eithr aros yn y cnawt , ’sy yn vwy angenraidiol och pleit chwi .
50:1:025:0	A’ hynn a wn yn ddilys , yr arosaf , ac y cydtrigaf y gyd a chwi oll , er buddiant y’wch a’ llawenydd ich ffydd ,
50:1:026:0	val y bo yn lliosawc eich gorvoledd in Iesu Christ dros‐y‐vi , gan vy‐dyvodiat atoch drachefn .
50:1:027:0	Yn vnic ymddugwch , val y mae addas er Euangel Christ , pan yw ai delwyf a’ch gwelet , ai bwyf absent , bot i mi glywet ywrth eich negesae a’bod y’wch sefyll yn vn yspryt ac yn vn eneid gan ychvvy gydymdrech trwy ffydd yr Euangel .
50:1:028:0	Ac yn‐dim nac ofnwch gan eich gwrthnepwyr , yr hyn ’sy yddynt wy yn argoel cyfercolledigeth , ac y chwitheu o iechedwrieth , a’ hyny gan Dduw .
50:1:029:0	Can ys y chwy y rhoespwyt er Christ , nyd yn vnic vod ywch gredu ynddo ef , anyd hefyt dyoðef erddo ,
50:1:030:0	gan vod ychwy yr vn ymdrino , a’r a welsoch yn‐y‐vi , ac yr awrhon a glywch vot ynof’ .
