60:4:001:1	Diyin God ainíláii bá choo'į́įgo bee na'nitin
60:4:001:0	Christ bits'íís yee ti'hooznii'go nihí ałdó' t'áá ákót'éego ti'hoo'niih bídanołdzilgo nitsídaahkees , háálá t'áá háiida hats'íís ti'bidi'yoolníhígíí bąąhági át'éii doo bił ahízhdéét'i' da silį́į́' .
60:4:002:0	Áko nizh'níłdįįd bijį́įjį' ts'ísee k'ehgo iiná bee adááháníinii doo bik'ehgo náájii'náa da doo , nidi Diyin God íinízinii bik'ehgo jiináa doo .
60:4:003:0	Háálá nihí łah doo Jew dine'é danilíinii ádaat'ínígi ádaaht'į́į́ nít'éé' , baa'ihgo tsi'nidaahkai nít'éé' , adádanoołníí nít'éé' , wáin daahdlą́ą́ nít'éé' , adlą́ nihił dahoneełni nít'éé' , t'áá na'níle'dii nida'soohdlą' , índa e'elyaii doo daaldinii bich'į' nidahohłáá nít'éé' .
60:4:004:0	Áko doo da'oodlání k'ad t'áá íiyisí tsi'naaldeehgi doo éédadoohjahgóó yik'ee t'óó bił adahayóí , áádóó danihi'į́įgo yádaałti' .
60:4:005:0	Ákódajiníigo ádajíít'įįdii éí diné dahinánígíí índa daneeznánígíí yá nihodiyoo'áałgo yiba' át'éii bich'į' ádaa nidahozhdoolnih .
60:4:006:0	Áko dazneeznáanii , nihokáá' dine'é t'áá ałtso baa nídahódóot'įįłígi át'éego haa dahwiiníst'įįd nidi , da'joosdląądgo t'áá Diyin God hinánígi át'éego dajiináa doo biniyé hane' yá'át'éehii bee hoł dahane' nít'éé' .
60:4:007:0	K'adę́ę nihodoogáałjį' ahalzhíísh . Éí bąą ádaa dahonohsą́ áádóó hada'ísídół'į́į'go sodadołzin .
60:4:008:0	Íiyisí agháagoígíí éí t'áá aaníí ayóó'áda'ahíínóh'ní , háálá ayóó'áhi'jó'níigo éí bee t'óó ahayóígóó ni'jiisíih nidi bik'i hwiizdooził .
60:4:009:0	Niha'ałk'ee nídaakahígíí t'áadoo doo sohdadooł'įįłí , nidi nihił danilį́ .
60:4:010:0	T'ááłá'í nootínígo t'áá da'níł'ąą Diyin God nihaa jooba'go nihaidiní'áanii nizhónígo bá chodaoł'į́įgo bee ahíłká anídaahjah le' .
60:4:002:1	Oodlání ídlį́įgo ti'hoo'nííh
60:4:011:0	T'áá ałtsojį' Jesus Christ biniit'aa Diyin God baa ha'niih doo biniyé t'áá háiida hadziidziihígíí t'áá Diyin God t'éí báhadziidziih doo ; t'áá háiida áká aníjílwo'ígíí t'áá Diyin God bee adziilii hainíláhígíí bíighahgo bee áká aníjílwo' doo . Jesus Christ éí hool'áágóó ahóyéel'áágóó baa ha'niih índa bóhólníih doo . T'áá ákót'ée doo .
60:4:012:0	Ayóó'ánihósh'níinii , kǫ' nahalingo na'íhonitaah bee nihéédahodoozįįł biniyé bee nihich'į' áhooníłígíí t'áadoo bik'ee t'óó nihił adahayóí . T'áadoo áho'dólne'gi la' át'éégóó nashóhonitaah t'áadoo danohsiní .
60:4:013:0	Nidi Christ yik'ee ti'hooznii'ii bił ałts'ą́ą́' da'nołk'iizígíí baa nihił dahózhǫ́ǫ le' . Áko Christ bee bi'oh adidilyéehii nihich'į' yit'íní silį́į'go t'áá íiyisí baa nihił dahózhǫ́ǫ dooleeł .
60:4:014:0	Christ bíí' danohłínígíí biniinaa nihił nida'í'įįh nidi baa nihił dahózhǫ́ , háálá Níłch'i Diyinii ayóó át'éii , Diyin God biNíłch'i Diyinii , nihik'i hoole' . Danihódziih nidi Diyin God éí íiyisí dayódziih , nihíjígo nihee Diyin God baa ha'niih .
60:4:015:0	Diné neiłtseedii , da'ni'įįhii , baa'ihii yaa nidaakaii áádóó diné binaanish yits'ą́ą́' deiníłtł'aii ti'dahooníhígi át'éego t'áadoo ákót'éego ti'dahoohníhí .
60:4:016:0	Nihí Christ deinohdlą́ągo biniinaa ti'dahooh'níihgo t'áadoo baa yádanohsiní , nidi Christ bízhi' bee danihi'dójíhígíí bee Diyin God baa dahohniih .
60:4:017:0	Diyin God éí t'áá bí ba'áłchíní danilíinii baa dahwiidínóot'įįłjį' ahoolzhiizh . Áko nihí áłtsé nihaa dahwiidínóot'įįłgo , ákodashą' Diyin God baa hane' yá'át'éehii doo yik'eh dahół'ínígíí t'ah aláhídi át'éego haadashą' yit'éhégo há nidahodiyoot'ááł !
60:4:018:0	Áádóó diné ts'ídá t'áá ákogi ádajít'éii t'áá íiyisí hojoobá'ígo yisdájookaigo , Diyin God doo dazdísingóó bąąhági ádajooníłígíí haadashą' hodi'doolnííł .
60:4:019:0	Éí bąą Diyin God íinízinii bik'ehgo ti'dahojooníhígíí éí yá'át'éehgo ádajooníiłgo Í'iilaii ba'ahódlíii baa ádahizhdidoot'ááł .
