32:4:001:1	Jónah doo bił hózhǫǫd daaígíí áádóó Diyin God yee a'ááh nízinii
32:4:001:0	Nidi Jónah éí t'áá íiyisí doo bił yá'át'éeh da, áádóó t'áá íiyisí báhóóchįįd. 
32:4:002:0	Áko Bóhólníihii yich'į' sodoolzingo ání, Nánooshkąąh, Bóhólníihii nílíinii, t'ah shikéyahdi naashá yę́ędą́ą́', Díí kin haal'áii doo atídíílíił da, da' doósh nidííniid da? Éí bąą Társhish kin haal'áajigo yóó'eeshwod, háálá díí shił bééhózin: ni éí Diyin God jooba'ii áádóó aa a'ááh nízinii nílį́, índa doo hah báháchįįhii áádóó ayóó át'éego bá áhwiinít'į́'íii nílį́. Índa í'dííłdįįłgo tsídíkos yę́ę łahgo ánáádlíiłii nílį́. 
32:4:003:0	Éí bąą k'ad, Bóhólníihii nílíinii, nánooshkąąh, she'iina' náádiidlé, háálá dasétsą́ą́jígo yá'át'ééh, hinishnáa dooígíí éí dooda. 
32:4:004:0	Áádóó Bóhólníihii ání, Da' náháchį'ígíísh éí yá'át'ééh? 
32:4:005:0	Ákohgo Jónah éí kin haal'áádóó ch'íníyáago kin haal'áádóó ha'a'aahjígo chaha'oh ádá áyiilaago yiyaagi neezdá, áko kin haal'áhígíí haa doonííł jinízingo biba' dzizdá. 
32:4:006:0	Áádóó Bóhólníihii Diyin God éí Jónah yik'ijį' adee' na'atł'o'ii hainíísą́; éí bee Jónah bik'ijį' chaha'oh doo, áko doo hach'į' nahwii'náa da doo. Áko Jónah éí ch'ilígíí t'áá íiyisí yaa bił hózhǫ́. 
32:4:007:0	Nidi náábiiskání abínígo Diyin God éí ch'osh yeiníł'a'go éí ch'il k'íinígháazhgo ch'il niiłna'. 
32:4:008:0	Ákódzaago nahgóó dah adii'ą́ągo Diyin God ha'a'aahdę́ę'go yéego níyolgo áyiilaa, áádóó Jónah bik'i diidláadgo bitsiits'iin biih yíłdoigo bitah doo hwiina' da, índa t'áá biyi'ídi dadzótsa' laanaa nízin. Ákohgo ání, Dasétsą́ą́jígo éí shá yá'át'éeh doo. Hinishnáa dooígíí éí dooda. 
32:4:009:0	Áádóó Diyin God éí Jónah ííłní, Da' ch'il biniinaa náháchį'ígíísh éí yá'át'ééh? Áádóó Jónah ání, Yá'át'ééh lą́ą sháháchį'ígíí, bik'ee dasétsą́ą nidi, t'áá áko. 
32:4:010:0	Bóhólníihii ání, Díí ch'il doo bik'é nishínílnishii áádóó habiníínísáanii baa a'ááh ninizį́į́'; t'áá ła' óotł'éé' haníísą́ áádóó t'áá ła' óotł'éé' niiłna'. 
32:4:011:0	Da' ákoósh Níneveh ayóó át'é kin haal'áii doo baa a'ááh dínéesįįł da? Jó, ákwe'é t'ááłáhídi neeznádiindóó ba'aan naadiindi mííl bilááh ánéelą́ą'go áłchíní t'ah doo ákodaniizįįhígíí nish'náajigo índa nishtł'ajigo nitsáhákees doo bił béédahózin da, áádóó naaldlooshii daałį́'ígíí lą'ída hólǫ́.
