4:28:001:1	Laws for Offerings
4:28:001:0	Then the Lord spoke to Moses , saying ,
4:28:002:0	“ Command the sons of Israel and say to them , ‘You shall be careful to present My offering , My food for My offerings by fire , of a soothing aroma to Me , at their appointed time . ’
4:28:003:0	You shall say to them , ‘This is the offering by fire which you shall offer to the Lord : two male lambs one year old without defect as a continual burnt offering every day .
4:28:004:0	You shall offer the one lamb in the morning and the other lamb you shall offer at twilight ;
4:28:005:0	also a tenth of an ephah of fine flour for a grain offering , mixed with a fourth of a hin of beaten oil .
4:28:006:0	It is a continual burnt offering which was ordained in Mount Sinai as a soothing aroma , an offering by fire to the Lord .
4:28:007:0	Then the drink offering with it shall be a fourth of a hin for each lamb , in the holy place you shall pour out a drink offering of strong drink to the Lord .
4:28:008:0	The other lamb you shall offer at twilight ; as the grain offering of the morning and as its drink offering , you shall offer it , an offering by fire , a soothing aroma to the Lord .
4:28:009:0	‘Then on the sabbath day two male lambs one year old without defect , and two-tenths of an ephah of fine flour mixed with oil as a grain offering , and its drink offering :
4:28:010:0	This is the burnt offering of every sabbath in addition to the continual burnt offering and its drink offering .
4:28:011:0	‘Then at the beginning of each of your months you shall present a burnt offering to the Lord : two bulls and one ram , seven male lambs one year old without defect ;
4:28:012:0	and three-tenths of an ephah of fine flour mixed with oil for a grain offering , for each bull ; and two-tenths of fine flour mixed with oil for a grain offering , for the one ram ;
4:28:013:0	and a tenth of an ephah of fine flour mixed with oil for a grain offering for each lamb , for a burnt offering of a soothing aroma , an offering by fire to the Lord .
4:28:014:0	Their drink offerings shall be half a hin of wine for a bull and a third of a hin for the ram and a fourth of a hin for a lamb ; this is the burnt offering of each month throughout the months of the year .
4:28:015:0	And one male goat for a sin offering to the Lord ; it shall be offered with its drink offering in addition to the continual burnt offering .
4:28:016:0	‘Then on the fourteenth day of the first month shall be the Lord’s Passover .
4:28:017:0	On the fifteenth day of this month shall be a feast , unleavened bread shall be eaten for seven days .
4:28:018:0	On the first day shall be a holy convocation ; you shall do no laborious work .
4:28:019:0	You shall present an offering by fire , a burnt offering to the Lord : two bulls and one ram and seven male lambs one year old , having them without defect .
4:28:020:0	For their grain offering , you shall offer fine flour mixed with oil : three-tenths of an ephah for a bull and two-tenths for the ram .
4:28:021:0	A tenth of an ephah you shall offer for each of the seven lambs ;
4:28:022:0	and one male goat for a sin offering to make atonement for you .
4:28:023:0	You shall present these besides the burnt offering of the morning , which is for a continual burnt offering .
4:28:024:0	After this manner you shall present daily , for seven days , the food of the offering by fire , of a soothing aroma to the Lord ; it shall be presented with its drink offering in addition to the continual burnt offering .
4:28:025:0	On the seventh day you shall have a holy convocation ; you shall do no laborious work .
4:28:026:0	‘Also on the day of the first fruits , when you present a new grain offering to the Lord in your Feast of Weeks , you shall have a holy convocation ; you shall do no laborious work .
4:28:027:0	You shall offer a burnt offering for a soothing aroma to the Lord : two young bulls , one ram , seven male lambs one year old ;
4:28:028:0	and their grain offering , fine flour mixed with oil : three-tenths of an ephah for each bull , two-tenths for the one ram ,
4:28:029:0	a tenth for each of the seven lambs ;
4:28:030:0	also one male goat to make atonement for you .
4:28:031:0	Besides the continual burnt offering and its grain offering , you shall present them with their drink offerings . They shall be without defect .
