4:33:001:1	Review of the Journey from Egypt to Jordan
4:33:001:0	These are the journeys of the sons of Israel , by which they came out from the land of Egypt by their armies , under the leadership of Moses and Aaron .
4:33:002:0	Moses recorded their starting places according to their journeys by the command of the Lord , and these are their journeys according to their starting places .
4:33:003:0	They journeyed from Rameses in the first month , on the fifteenth day of the first month ; on the next day after the Passover the sons of Israel started out boldly in the sight of all the Egyptians ,
4:33:004:0	while the Egyptians were burying all their firstborn whom the Lord had struck down among them . The Lord had also executed judgments on their gods .
4:33:005:0	Then the sons of Israel journeyed from Rameses and camped in Succoth .
4:33:006:0	They journeyed from Succoth and camped in Etham , which is on the edge of the wilderness .
4:33:007:0	They journeyed from Etham and turned back to Pi-hahiroth , which faces Baal-zephon , and they camped before Migdol .
4:33:008:0	They journeyed from before Hahiroth and passed through the midst of the sea into the wilderness ; and they went three days’ journey in the wilderness of Etham and camped at Marah .
4:33:009:0	They journeyed from Marah and came to Elim ; and in Elim there were twelve springs of water and seventy palm trees , and they camped there .
4:33:010:0	They journeyed from Elim and camped by the Red Sea .
4:33:011:0	They journeyed from the Red Sea and camped in the wilderness of Sin .
4:33:012:0	They journeyed from the wilderness of Sin and camped at Dophkah .
4:33:013:0	They journeyed from Dophkah and camped at Alush .
4:33:014:0	They journeyed from Alush and camped at Rephidim ; now it was there that the people had no water to drink .
4:33:015:0	They journeyed from Rephidim and camped in the wilderness of Sinai .
4:33:016:0	They journeyed from the wilderness of Sinai and camped at Kibroth-hattaavah .
4:33:017:0	They journeyed from Kibroth-hattaavah and camped at Hazeroth .
4:33:018:0	They journeyed from Hazeroth and camped at Rithmah .
4:33:019:0	They journeyed from Rithmah and camped at Rimmon-perez .
4:33:020:0	They journeyed from Rimmon-perez and camped at Libnah .
4:33:021:0	They journeyed from Libnah and camped at Rissah .
4:33:022:0	They journeyed from Rissah and camped in Kehelathah .
4:33:023:0	They journeyed from Kehelathah and camped at Mount Shepher .
4:33:024:0	They journeyed from Mount Shepher and camped at Haradah .
4:33:025:0	They journeyed from Haradah and camped at Makheloth .
4:33:026:0	They journeyed from Makheloth and camped at Tahath .
4:33:027:0	They journeyed from Tahath and camped at Terah .
4:33:028:0	They journeyed from Terah and camped at Mithkah .
4:33:029:0	They journeyed from Mithkah and camped at Hashmonah .
4:33:030:0	They journeyed from Hashmonah and camped at Moseroth .
4:33:031:0	They journeyed from Moseroth and camped at Bene-jaakan .
4:33:032:0	They journeyed from Bene-jaakan and camped at Hor-haggidgad .
4:33:033:0	They journeyed from Hor-haggidgad and camped at Jotbathah .
4:33:034:0	They journeyed from Jotbathah and camped at Abronah .
4:33:035:0	They journeyed from Abronah and camped at Ezion-geber .
4:33:036:0	They journeyed from Ezion-geber and camped in the wilderness of Zin , that is , Kadesh .
4:33:037:0	They journeyed from Kadesh and camped at Mount Hor , at the edge of the land of Edom .
4:33:038:0	Then Aaron the priest went up to Mount Hor at the command of the Lord , and died there in the fortieth year after the sons of Israel had come from the land of Egypt , on the first day in the fifth month .
4:33:039:0	Aaron was one hundred twenty-three years old when he died on Mount Hor .
4:33:040:0	Now the Canaanite , the king of Arad who lived in the Negev in the land of Canaan , heard of the coming of the sons of Israel .
4:33:041:0	Then they journeyed from Mount Hor and camped at Zalmonah .
4:33:042:0	They journeyed from Zalmonah and camped at Punon .
4:33:043:0	They journeyed from Punon and camped at Oboth .
4:33:044:0	They journeyed from Oboth and camped at Iye-abarim , at the border of Moab .
4:33:045:0	They journeyed from Iyim and camped at Dibon-gad .
4:33:046:0	They journeyed from Dibon-gad and camped at Almon-diblathaim .
4:33:047:0	They journeyed from Almon-diblathaim and camped in the mountains of Abarim , before Nebo .
4:33:048:0	They journeyed from the mountains of Abarim and camped in the plains of Moab by the Jordan opposite Jericho .
4:33:002:1	Law of Possessing the Land
4:33:049:0	They camped by the Jordan , from Beth-jeshimoth as far as Abel-shittim in the plains of Moab .
4:33:050:0	Then the Lord spoke to Moses in the plains of Moab by the Jordan opposite Jericho , saying ,
4:33:051:0	“ Speak to the sons of Israel and say to them , ‘When you cross over the Jordan into the land of Canaan ,
4:33:052:0	then you shall drive out all the inhabitants of the land from before you , and destroy all their figured stones , and destroy all their molten images and demolish all their high places ;
4:33:053:0	and you shall take possession of the land and live in it , for I have given the land to you to possess it .
4:33:054:0	You shall inherit the land by lot according to your families ; to the larger you shall give more inheritance , and to the smaller you shall give less inheritance . Wherever the lot falls to anyone , that shall be his . You shall inherit according to the tribes of your fathers .
4:33:055:0	But if you do not drive out the inhabitants of the land from before you , then it shall come about that those whom you let remain of them will become as pricks in your eyes and as thorns in your sides , and they will trouble you in the land in which you live .
4:33:056:0	And as I plan to do to them , so I will do to you . ’ ”
