4:16:001:1	Korah’s Rebellion
4:16:001:0	Now Korah the son of Izhar , the son of Kohath , the son of Levi , with Dathan and Abiram , the sons of Eliab , and On the son of Peleth , sons of Reuben , took action ,
4:16:002:0	and they rose up before Moses , together with some of the sons of Israel , two hundred and fifty leaders of the congregation , chosen in the assembly , men of renown .
4:16:003:0	They assembled together against Moses and Aaron , and said to them , “ You have gone far enough , for all the congregation are holy , every one of them , and the Lord is in their midst ; so why do you exalt yourselves above the assembly of the Lord ? ”
4:16:004:0	When Moses heard this , he fell on his face ;
4:16:005:0	and he spoke to Korah and all his company , saying , “ Tomorrow morning the Lord will show who is His , and who is holy , and will bring him near to Himself ; even the one whom He will choose , He will bring near to Himself .
4:16:006:0	Do this : take censers for yourselves , Korah and all your company ,
4:16:007:0	and put fire in them , and lay incense upon them in the presence of the Lord tomorrow ; and the man whom the Lord chooses shall be the one who is holy . You have gone far enough , you sons of Levi ! ”
4:16:008:0	Then Moses said to Korah , “ Hear now , you sons of Levi ,
4:16:009:0	is it not enough for you that the God of Israel has separated you from the rest of the congregation of Israel , to bring you near to Himself , to do the service of the tabernacle of the Lord , and to stand before the congregation to minister to them ;
4:16:010:0	and that He has brought you near , Korah , and all your brothers , sons of Levi , with you ? And are you seeking for the priesthood also ?
4:16:011:0	Therefore you and all your company are gathered together against the Lord ; but as for Aaron , who is he that you grumble against him ? ”
4:16:012:0	Then Moses sent a summons to Dathan and Abiram , the sons of Eliab ; but they said , “ We will not come up .
4:16:013:0	Is it not enough that you have brought us up out of a land flowing with milk and honey to have us die in the wilderness , but you would also lord it over us ?
4:16:014:0	Indeed , you have not brought us into a land flowing with milk and honey , nor have you given us an inheritance of fields and vineyards . Would you put out the eyes of these men ? We will not come up ! ”
4:16:015:0	Then Moses became very angry and said to the Lord , “ Do not regard their offering ! I have not taken a single donkey from them , nor have I done harm to any of them . ”
4:16:016:0	Moses said to Korah , “ You and all your company be present before the Lord tomorrow , both you and they along with Aaron .
4:16:017:0	Each of you take his firepan and put incense on it , and each of you bring his censer before the Lord , two hundred and fifty firepans ; also you and Aaron shall each bring his firepan . ”
4:16:018:0	So they each took his own censer and put fire on it , and laid incense on it ; and they stood at the doorway of the tent of meeting , with Moses and Aaron .
4:16:019:0	Thus Korah assembled all the congregation against them at the doorway of the tent of meeting . And the glory of the Lord appeared to all the congregation .
4:16:020:0	Then the Lord spoke to Moses and Aaron , saying ,
