4:29:001:1	Offerings of the Seventh Month
4:29:001:0	‘Now in the seventh month , on the first day of the month , you shall also have a holy convocation ; you shall do no laborious work . It will be to you a day for blowing trumpets .
4:29:002:0	You shall offer a burnt offering as a soothing aroma to the Lord : one bull , one ram , and seven male lambs one year old without defect ;
4:29:003:0	also their grain offering , fine flour mixed with oil : three-tenths of an ephah for the bull , two-tenths for the ram ,
4:29:004:0	and one-tenth for each of the seven lambs .
4:29:005:0	Offer one male goat for a sin offering , to make atonement for you ,
4:29:006:0	besides the burnt offering of the new moon and its grain offering , and the continual burnt offering and its grain offering , and their drink offerings , according to their ordinance , for a soothing aroma , an offering by fire to the Lord .
4:29:007:0	‘Then on the tenth day of this seventh month you shall have a holy convocation , and you shall humble yourselves ; you shall not do any work .
4:29:008:0	You shall present a burnt offering to the Lord as a soothing aroma : one bull , one ram , seven male lambs one year old , having them without defect ;
4:29:009:0	and their grain offering , fine flour mixed with oil : three-tenths of an ephah for the bull , two-tenths for the one ram ,
4:29:010:0	a tenth for each of the seven lambs ;
4:29:011:0	one male goat for a sin offering , besides the sin offering of atonement and the continual burnt offering and its grain offering , and their drink offerings .
4:29:012:0	‘Then on the fifteenth day of the seventh month you shall have a holy convocation ; you shall do no laborious work , and you shall observe a feast to the Lord for seven days .
4:29:013:0	You shall present a burnt offering , an offering by fire as a soothing aroma to the Lord : thirteen bulls , two rams , fourteen male lambs one year old , which are without defect ;
4:29:014:0	and their grain offering , fine flour mixed with oil : three-tenths of an ephah for each of the thirteen bulls , two-tenths for each of the two rams ,
4:29:015:0	and a tenth for each of the fourteen lambs ;
4:29:016:0	and one male goat for a sin offering , besides the continual burnt offering , its grain offering and its drink offering .
4:29:017:0	‘Then on the second day : twelve bulls , two rams , fourteen male lambs one year old without defect ;
4:29:018:0	and their grain offering and their drink offerings for the bulls , for the rams and for the lambs , by their number according to the ordinance ;
4:29:019:0	and one male goat for a sin offering , besides the continual burnt offering and its grain offering , and their drink offerings .
4:29:020:0	‘Then on the third day : eleven bulls , two rams , fourteen male lambs one year old without defect ;
4:29:021:0	and their grain offering and their drink offerings for the bulls , for the rams and for the lambs , by their number according to the ordinance ;
4:29:022:0	and one male goat for a sin offering , besides the continual burnt offering and its grain offering and its drink offering .
4:29:023:0	‘Then on the fourth day : ten bulls , two rams , fourteen male lambs one year old without defect ;
4:29:024:0	their grain offering and their drink offerings for the bulls , for the rams and for the lambs , by their number according to the ordinance ;
4:29:025:0	and one male goat for a sin offering , besides the continual burnt offering , its grain offering and its drink offering .
4:29:026:0	‘Then on the fifth day : nine bulls , two rams , fourteen male lambs one year old without defect ;
4:29:027:0	and their grain offering and their drink offerings for the bulls , for the rams and for the lambs , by their number according to the ordinance ;
4:29:028:0	and one male goat for a sin offering , besides the continual burnt offering and its grain offering and its drink offering .
4:29:029:0	‘Then on the sixth day : eight bulls , two rams , fourteen male lambs one year old without defect ;
4:29:030:0	and their grain offering and their drink offerings for the bulls , for the rams and for the lambs , by their number according to the ordinance ;
4:29:031:0	and one male goat for a sin offering , besides the continual burnt offering , its grain offering and its drink offerings .
4:29:032:0	‘Then on the seventh day : seven bulls , two rams , fourteen male lambs one year old without defect ;
4:29:033:0	and their grain offering and their drink offerings for the bulls , for the rams and for the lambs , by their number according to the ordinance ;
4:29:034:0	and one male goat for a sin offering , besides the continual burnt offering , its grain offering and its drink offering .
4:29:035:0	‘On the eighth day you shall have a solemn assembly ; you shall do no laborious work .
4:29:036:0	But you shall present a burnt offering , an offering by fire , as a soothing aroma to the Lord : one bull , one ram , seven male lambs one year old without defect ;
4:29:037:0	their grain offering and their drink offerings for the bull , for the ram and for the lambs , by their number according to the ordinance ;
4:29:038:0	and one male goat for a sin offering , besides the continual burnt offering and its grain offering and its drink offering .
4:29:039:0	‘You shall present these to the Lord at your appointed times , besides your votive offerings and your freewill offerings , for your burnt offerings and for your grain offerings and for your drink offerings and for your peace offerings . ’ ”
4:29:040:0	Moses spoke to the sons of Israel in accordance with all that the Lord had commanded Moses .
