40:24:001:1	Kin bii' sohodizin ádooldįįłígíí t'áá bítséedi baa hojoolne'
40:24:001:0	Áko sohodizin bił haz'ą́ą́dóó Jesus ch'ízhníyáago joogááł, nít'éé' hódahooł'aahii, Díí sohodizin bił haz'ą́ągi kin naaznilígíí níníł'į́, dahałníigo haa yíkai. 
40:24:002:1	Ach'į' nahwii'náa dooleełígíí baa hojoolne'
40:24:002:0	Nidi Jesus éí áhodííniid, Da' díísh t'áá ałtso doo daah'į́į da? T'áá aaníí ánihidishní, Kwe'é tsé doo ła' t'áá ałk'i dah si'ą́ą da dooleeł, nidi t'áá ałtso naa'ahidoolkał. 
40:24:003:0	Nít'éé' Dził Álivz binániidi jineezdáago, hódahooł'aahii kódaaníigo t'áá sáhí haa yíkai, Baa ch'íhwííní'ánígíishą' hahgo ádahodoonííł, bee nihił hólne', áádóó náádíídáłígíí, índa nihoolzhíshígíishą' ha'át'íí bee bééhózin doo? 
40:24:004:0	Áko Jesus hach'į' haadzíi'go áhodííniid, Ádaa ádahołyą́, áko diné doo ła' yóó'adanihidínóo'ah da. 
40:24:005:0	Háálá lą'í, Shí Christ ásht'į́, daaníigo shízhi' yee ádadójíigo nidahidookah, áko lą'í yóó'adeidínóo'ah. 
40:24:006:0	Áádóó anaa' dahazlį́į'go índa anaa' dahaleeh ha'níigo baa dahane'go dadoohts'a' doo; ííshją́ą́ éí t'áadoo bik'ee nitsidaahkaaí, háálá díidí ts'ídá ádahodoonííł, nidi t'ah doo nihoogháah da doo. 
40:24:007:0	Háálá ał'ąą dine'é ałch'į' nídahidiibáah doo, áádóó łahgo nihokáá' bee bóhólníihgo bił haz'áanii índa nááná ła' nihokáá' bee bínááhólníihgo bił nááhást'áanii yił ałch'į' nídahidiibáah dooleeł, índa łahgóó dahodichin doo, [áádóó ach'į' nidahwii'náa doo,] áádóó ni' nídahidi'náah doo. 
40:24:008:0	Díidíígíí t'áá ałtso ti'hoo'nííh bee dadeezt'i'ii ádaat'é. 
40:24:009:0	Ákohgo até'él'į́ yaa danihidii'aah dooleeł, áádóó nidanihidoołtsił, índa shízhi' biniinaa ał'ąą dine'é t'áá ałtso nihik'ee dadiniih doo. 
40:24:010:0	Áko índa lą'í shits'ánáhidoojah, índa nináda'ahidiit'aah, áádóó ałk'ee dadi'niih doo. 
40:24:011:0	Áko t'óó ádahodil'į́įgo dahalne'ii t'óó ahayóí dahodooleełgo lą'í yóó'adeidínóo'ah. 
40:24:012:0	Áko bąąhági át'éii k'ee'ąą deeshzhiizhígíí biniinaa diné lą'í bibee ayóó'ó'ó'ni' dadínóok'as. 
40:24:013:0	Nidi t'áá háiida t'áá nihoníyáajį' ha'ólnínígíí éí yisdádooltééł. 
40:24:003:1	Ayóó át'éego ach'į' nahwii'náa doo
