40:5:001:1	Jesus dziłghą́ą'di na'neeztą́ą́'
40:5:001:0	Áko Jesus éí diné t'óó ahayóí jii łtsą́ągo dził bíjiiyá, áadi dasneezdáago hódahooł'aahii haa yíkai. 
40:5:002:1	Ak'ihojidlí bee á ha'oodzíí'
40:5:002:0	Áko hadzoodzíi'go kójíníigo naz'neeztą́ą́': 
40:5:003:0	Diyin k'ehgo hojooba' ádaat'éego ádaa nitsídaakeesii bik'idahojidlí, háálá yá'ąąshii bee bóhólníihgo bił haz'áanii daabíí'. 
40:5:004:0	Yínííł nidaakaígíí bik'idahojidlí, háálá hada'íídóolniił. 
40:5:005:0	A'ohgo áda'dólzinii bik'idahojidlí, háálá éí nahasdzáán daabíí' dooleeł. 
40:5:006:0	Ts'ídá t'áá ákogi é'ét'éii yíká dichin áádóó dibáá' danilíinii bik'idahojidlí, háálá éí yee hwiih dadooleeł. 
40:5:007:0	Aa a'ááh danízinii bik'idahojidlí, háálá éí baa a'ááh dahwiidínóodzįįł. 
40:5:008:0	A'át'e' doo bijéí bii' dahólóonii bik'idahojidlí, háálá Diyin God dayoo'į́į doo. 
40:5:009:0	K'é nídahoołeełii bik'idahojidlí, háálá Diyin God ba'áłchíní dabidi'níi doo. 
40:5:010:0	Ts'ídá t'áá ákogi é'ét'éii biniinaa atídabi'dil'íinii bik'idahojidlí, háálá yá'ąąshii bee bóhólníihgo bił haz'áanii daabíí'. 
40:5:011:0	Shiniinaa diné danihódziihgo índa atídanihił'į́įgo índa wooch'ííd badaa'ihii t'áá ałtso yee nihaa nidahalne'go nihik'idahojidlí. 
40:5:003:1	Áshįįh áádóó adinídíín
40:5:012:0	T'áá íiyisí baa nihił dahózhǫ́ǫgo nihił dahózhǫ́, háálá yá'ąąshdi ayóó át'éii nihaa dahidoolyééł, háálá t'áá ákót'éego Diyin God yá dahalne'ii yę́ę t'áá nihítséedi atídayííł'įįd.  
40:5:013:0	Nihokáá' dine'é bá áshįįh danohłį́, nidi áshįįh doo halniih da yileehgoshą' haa yit'éego halniih áńdoolnííł? Jó, doo halniih da yileehgo t'óó yóó'iilka'go bik'i na'aldeeh yileeh.  
40:5:014:0	Nihí nihokáá' dine'é bá adinídíín danohłį́. Jó, wók'ą́ągi kin haal'áago nii'niłígíí doo nanóol'į́į́' át'ée da łeh. 
40:5:015:0	Jó, diné éí bee hool'iní yidiiłtłi'go doo tsits'aa' yił yaa niidoo'áał da, nidi bá ya'ii'áhígi dah yi'áahgo kin biyi' góne' nidzíiztánígíí t'áá ádzíłtso há bee ni'deezdíin łeh. 
40:5:004:1	Jesus éí bee haz'áanii Mózes baa deet'áanii yeinít'į́
40:5:016:0	T'áá ákót'éego diné binááł dadíí'nółdíín, áko yá'át'éehgo ádaahníłígíí nihá dayoo'į́įgo, nihiTaa' yá'ąąshdi hólóonii yaa dahaniih dooleeł.  
40:5:017:0	Bee haz'áanii Mózes baa deet'áanii áádóó Diyin God yá dahalne'ii bizaad ázhdoołdįįł biniyé jiníyá t'áadoo dashíínóh'níní; nahjį' kódeeshłííł doo biniyé níyáa da, nidi bi'deeshłííł biniyé níyá. 
40:5:018:0	Háálá t'áá aaníí ánihidishní, Yádiłhił índa nahasdzáán bił yóó'ahóóyáajį' t'ááłáhígo dah alzhin áádóó t'ááłáhígo adeesdzo nidi bee haz'áanii bits'ą́ą́dóó doo bił yóó'ahodoogáał da, nidi ałtso bohoolyaago índa. 
40:5:019:0	Éí bąągo t'áá háiida díí Diyin God yee has'áanii áłts'íísígíí ła' doo ílį́į́góó ájiilaago, t'áá éí bee diné nazhnitinígíí yá'ąąshii bee bóhólníihgo bił haz'ą́ądi ts'ídá a'ohgo ájít'é hodi'níi doo, nidi t'áá háiida ye'eł'į́įgo yee na'nitinígíí éí yá'ąąshii bee bóhólníihgo bił haz'ą́ądi ayóó ájít'é hodi'níi doo. 
40:5:005:1	Jesus áháchį' yeinít'į́
40:5:020:0	Háálá ánihidishní, Bee haz'áanii yínda'niłtinii áádóó Férisii danilíinii biláahgo ts'ídá t'áá ákogi ádanoht'éego t'éiyá yá'ąąshii bee bóhólníihgo bił haz'áanii biih hidoohkah. 
40:5:021:0	Ałk'idą́ą́' diné kódabidi'níí nít'ée'go dasidoots'ą́ą́', Diné ts'ídá doo diyííłhéeł da, áko t'áá háiida diné adziisxínígíí haa náhódóot'įįłii bą́ą́h jílį́į doo. 
40:5:022:0	Nidi shí ánihidishní, T'áá háiida ła' hak'is bich'į' háhóóchįįdígíí bee haa náhódóot'įįłii bą́ą́h jílį́į doo, áádóó t'áá háiida hak'is yáábí'jii'įįdígíí naat'áanii danilíinii yee aa nídaat'íinii bą́ą́h jílį́į doo, índa t'áá háiida hak'is nilíinii, Diigis nílį́, bizhdííniidígíí biniinaa hool'áágóó kǫ' bii' ti'hoo'nííh bą́ą́h jílį́į doo. 
40:5:023:0	Éí bąą bikáá' náá'iiniihí bikáá'dóó náá'ayíłniihgo, nít'éé' nik'is bíni' yinił'a' yę́ę béénílnii'go, 
40:5:024:0	t'áá ákwii nááhidííłnihígíí bikáá' náá'iiniihí bíighahgi nidíílééł, áádóó nik'is áłtsé bich'į' nídíídáałgo bił k'é ná'ahididíí' niił, áko índa nídíídáałgo náádi'yííłnih. 
40:5:025:0	Diné nik'íhá'áhígíí aa hwiinít'į́į́góó bił yí'ashgo tsxį́įłgo bił k'é ná'ahididíí'niił, doodaii' ánihwii'aahii yaa nididoo'ááł, áádóó ánihwii'aahii yah i'iiníiłii yaa nididoo'ááł, índa yah andi'doolt'eeł. 
40:5:006:1	Jesus adilyé yeinít'į́
40:5:026:0	T'áá aaníí ánihidishní, Ts'ídá doo ch'éenidi'doolt'eeł da, sindáo t'áá nidziihígi ák'éninéínídláago índa ch'éenidi'doolt'eeł. 
40:5:027:0	Ts'ídá doo azhdilée da, ha'níí nít'ée'go dasidoots'ą́ą́'. 
40:5:028:0	Nidi shí ánihidishní, T'ááłá'í jinítínígo asdzání bidázhnoolníigo jinééł'į́'ígíí t'áá íídą́ą́' hajéí bii' bił ahizhdoolyáago át'é. 
40:5:029:0	Áko nináá' nish'náájí bąąhági ánít'į́ ánóhsingo hani'aahgo yóó'ahíłhan, háálá nits'íís łahgo ádinjí doo ná yá'át'éeh da, nidi nits'íís hadaałt'éego hool'áágóó ti'hoo'nííh bił haz'ą́ąjį' andi'yoolghą́ą́łjí agháago doo ná yá'át'éeh da. 
40:5:007:1	Jesus ałts'á'iildééh yeinít'į́
40:5:030:0	Áádóó níla' nish'náájíígíí bąąhági ánít'į́ ánóhsingo éí k'ínígéeshgo yóó'ahíłhan, háálá nits'íís łahgo ádinjí doo ná yá'át'éeh da, nidi nits'íís hadaałt'éego hool'áágóó ti'hoo'nííh bił haz'ą́ąjį' andi'yoolghą́ą́łjí agháago doo ná yá'át'éeh da.  
40:5:031:0	T'áá háiida hwe'asdzą́ą́ yóó'azhdi'aahgo naaltsoos bik'ehgo ałts'á'doot'ashígíí hadilyaago baazdoołtsos ałdó' ha'níí nít'éé'. 
40:5:008:1	Jesus ádee ha'diidziih yeinít'į́
40:5:032:0	Nidi shí ánihidishní, T'áá háiida hwe'asdzą́ą́ doo adilée da nidi t'óó yóó'azhdíí'ánígíí éí asdzání adidooléełgo bee bá hojiił'a'go át'é, áádóó asdzání yóó'abi'doot'ánígíí ła'da bá náá'ásgehgo éí diné adíílá.  
40:5:033:0	Náá'áłdó' ałk'idą́ą́' diné kódabidi'níí nít'ée'go dasidoots'ą́ą́', T'áadoo t'óó ádíníigo ádee hahídziihí, nidi bee ádee hahídziihii éí Bóhólníihii binááł bi'díílííł. 
40:5:034:0	Nidi shí ánihidishní, Ts'ídá t'áadoo ha'át'íhída bee ádee hahídziihí, yá'ąąsh bee nidi dooda, háálá éí bikáá'dóó Diyin God naha'á, 
40:5:035:0	áádóó nahasdzáán bee nidi dooda, háálá éí bibik'i dah adées'eezí át'é, índa Jerúsalem bee nidi dooda, háálá éí Aláahgo Naat'áanii ayóó át'éii bikin yíl'áhígíí át'é. 
40:5:036:0	Áádóó ałdó' t'áadoo nitsiits'iin bee ádee hahídziihí, háálá nitsii' t'ááłá'í nidi łigaigo éí doodago łizhingo ádíílíłígíí doo bíninil'ą́ą da. 
40:5:009:1	Jesus k'éé'dí'néehgi yeinít'į́
40:5:037:0	T'áadoo át'éhígóó, Aoo', doodaii', Dooda, dadohní; díidí biláahjį' ha'iidziihígíí éí bąąhági át'éii bits'ą́ą́dóó át'é. 
40:5:038:0	Hanáá' atíyiilaago bidiníná bináá' atínízhdoodlííł, índa hawoo' atíyiilaago biwoo' atínízhdoodlííł, ha'níí nít'ée'go dasidoots'ą́ą́'. 
40:5:039:0	Nidi shí ánihidishní, Diné doo ákǫ́ǫ́ ánihił'ínígíí doo k'éédidoohdlíił da. Nidi ła'da niniitsį' nish'náájíígíí néidííłts'ingo, łahjígo bee bich'į' dah náádidíníít'ááł. 
40:5:040:0	Diné ła'da ni'éétsoh biniinaa naaltsoos nee niiníłtsoozgo, bíni'dii nibeeldléí ałdó' yoołtsos doo. 
40:5:041:0	Ła'da yíniniłchéehgo, T'ááłá'í tsin sitą́ąjį' shił niní'aash, niłníigo, ákondi naakidi tsin sitą́ąjį' bił nidíí'ash. 
40:5:010:1	Jesus e'ana'í ayóó'óó'ní yeinít'į́
40:5:042:0	T'áá háiida t'áadoo le'é níyókeedígíí baa díílééł, áádóó t'áá háiida, T'áadoo le'é sha'nílé, niłníigo t'ááká dooda bidóone' lágo. 
40:5:043:0	Bił kééhót'íinii ayóó'ííní'ní, nidi ni'ana'í éí jiiníłá, ha' níí nít'ée'go dasidoots'ą́ą́'. 
40:5:044:0	Nidi shí ánihidishní, Nihi'ana'í ayóó'ádeínóh'ní, [danihódziihígíí hózhǫ́ǫgo bá hadahohdziih, nihik'ee dadiniihígíí nizhónígi bich'į' ádanoht'é, áádóó t'áá bita'ígi ádanihił'íinii] áádóó atídanihił'íinii bá sodadołzin, 
40:5:045:0	áko nihiTaa' yá'ąąshdi hólóonii ba'áłchíní danohłį́į doo, háálá doo yá'át'ééh ádaaníiłii índa yá'át'ééh ádaaníiłii bá háá'át'áahgo áyósin, áádóó t'áá ákogi ádaaníiłii índa doo t'áá ákogi ádaaníiłii bá nááháltį́įhgo áyósin. 
40:5:046:0	Jó, ayóó'ádanihó'níinii t'éí ayóó'ádeínóh'níigo, ha'át'íísh bik'é nihaa doolyééł? Tax nahalyéhígíí yiniyé naazdáii nidi ákódaat'į́. T'áásh aaníí? 
40:5:047:0	Nihik'isóó danilíinii t'éiyá k'é dabidohníigo náádaała'ígíishą' ha'át'íí bee bilááh ádanoht'é? Tax nahalyéhígíí yiniyé naazdáii nidi ákódaat'į́. T'áásh aaníí? 
40:5:048:0	Éí bąągo nihiTaa' yá'ąąshdi hólóonii ts'ídá t'áá ákóne' át'éhígi át'éego, nihí ałdó' ts'ídá t'áá ákóne' ádanoht'ée le'. 
