40:26:001:1	Jesus diyoolyéełgo binahast'ą́
40:26:001:0	Jesus díí saad ałtso yee niyáníłti'go bídahooł'aahii áyidííniid, 
40:26:002:0	Nihił béédahózingo naakiiską́ągo atis'adeesdzá bee bééhániihii baa hoolzhíísh, ákohgo tsin ałnáoszid bikáa'jį' Diné Silį́į'ii bił i'doolkałgo ninádidoot'ááł. 
40:26:003:0	Ákohgo aláahgo nááda'iiłniihii [áádóó bee haz'áanii yínda'niłtinii] índa Jew dine'é yá aląąjį' naazíinii éí aláahgo náá'iiłniihii, Kéíyafas wolyéhígíí, bighangi áłah silį́į́', 
40:26:004:0	áádóó t'áá nahont'inee dahwiidoołtsołgo áádóó dahodiyoołhéełgo yaa nídaast'įįd. 
40:26:002:1	Jesus éí Béthaniigi ak'ah bee ats'áltį́
40:26:005:0	Nidi ádadííniid, Hodílzingo áłah ná'ádleeh góne' éí dooda, háálá ákódeiidzaago diné hadahodínóołchał. 
40:26:006:0	Áko Béthaniigi Sáíman éí łóód ats'íís yiyáanii naałdzidii bee bąąh dah haz'ą́ą́ nít'é'ígíí bikin góne' Jesus yah ajííyáago, 
40:26:007:0	ákwii ajiyą́ągo asdzání léi' tsé alabáster wolyéhígíí bee tózis ályaago ak'ah t'áá íiyisí ílínígíí yee yah ayíí'ą́ągo hatsiits'iin yik'i yayiiziid. 
40:26:008:0	Nidi hódahooł'aahii éí dayiiłtsą́ągo, Díí lá ha'át'íí biniyé t'óó bee na'as'ne'? daaníigo yik'ee doo bił dahóózhǫǫd da. 
40:26:009:0	Háálá díí ak'ahígíí lą'í bą́ą́h ílį́įgoda nahidoonih nít'éé', áko éí béeso diné badahojoobá'íígíí bitaa'niih doo nít'éé'. 
40:26:010:0	Nidi Jesus bił bééhózingo áhodííniid, Ha'át'íí biniyé asdzání baa nídaaht'į́? Jó, éí nizhónígi shá ádziidzaa. 
40:26:011:0	Háálá badahojoobá'íígíí t'áá áłahjį' nihitaa daakai, nidi shí éí doo t'áá áłahjį' nihitaasháa da. 
40:26:012:0	Díí ak'ah shits'íís bik'i yadziiziidígíí, yóó'áshidi'doolníłígíí biba' hasht'eshijiléehgo ájít'į́. 
40:26:003:1	Júdas éí Jesus ninéididoo'áałgi yee lą́ asłį́į́'
40:26:013:0	T'áá aaníígóó ánihidishní, Nahasdzáán t'áá si'ą́ą́ nít'éé' bikáá'góó díí hane' yá'át'éehii baa dahane'góó, díí asdzání ádzaaígíí bee bééhániih biniyé baa hane' dooleeł. 
40:26:014:0	Ákohgo naakits'áadahígíí ła', Júdas Iskáriyat wolyéii, aláahgo nááda'iiłniihii yaa níyá, 
40:26:015:0	áko áyidííniid, Nihaa hodiní'ą́ągoshą' ha'át'íí shaa dadoohłééł? Áko béésh łigaii tádiin haa deiznil. 
40:26:004:1	Jesus éí atis'adeesdzá bee bééhániihii hódahooł'aahii bił dazhdooyį́į́ł
40:26:016:0	Áko áádóó ha'át'éegoda ashja'iilaago nináhozhdidoo'áałgi baa nitsídzíkeesgo hodeeshzhiizh. 
40:26:017:0	Nít'éé' díík'ǫsh t'áágééd bááh ályaii hodílzingo áłah ná'ádleeh ła'a jį́ aleeh góne' ídahooł'aahii Jesus yaa yíkaigo ádaaní, Atis'adeesdzá bee bééhániihgo yidánígíí dííyį́į́ł biniyé háadishą' ná hasht'ediilnííł? 
40:26:018:0	Áko áhodííniid, Nílááh, kin haal'áajį' doh'aash, ákwe'é diné ła' ábididoohniił, Na'nitiní ání, Shá haz'ánígíí koshídę́ę́' hadziih; nighangi atis'adeesdzá bee bééhániihgo yidánígíí shídahooł'aahii bił dadeeshį́į́ł. 
40:26:019:0	Áko íhooł'aahii t'áá Jesus ádazhdooníiłii yee hoł hoolne'ígi ádadziidzaago atis'adeesdzá bee bééhániihgo dadoodį́łígíí t'áá áłdįįłt'éego áyiilaa. 
40:26:020:0	Áko i'íí'ą́ągo Jesus hódahooł'aahii naakits'áadahígíí bił dazh'dooyį́į́ł biniyé jidineezbin, 
40:26:021:0	nít'éé' da'jiyą́ągo Jesus ázhdííniid, T'áá aaníí ánihidishní, Nihí ła' nináshididooh'ááł. 
40:26:022:0	Áko t'ááłá'í jinítínígo t'áá íiyisí bąąh daháni'go t'áá ałkéé', Bóhólníihii, da' shíísh? dajiníigo baa nízhdiikai. 
40:26:023:0	Áko haadzíi'go ádííniid, T'áá shił éé'é'áhígíí éí nináshididoo'ááł. 
40:26:024:0	Diné Silį́į'ii t'áá bá bee ak'e'ashchínígíí bik'ehgo ábidi'doolnííł, nidi Diné Silį́į'ii ninázhdiní'ánígíí éí doo hojooba' ájíníi da! Éí dinéhígíí t'áadoo ho'dizhchį́į́jígo há yá'át'ééh nít'éé'. 
40:26:005:1	Bóhólníihii biDiyingo Adą́ áyiilaa
40:26:025:0	Áko Júdas, nináhodee'aahígíí áhodííniid, Na'nitiní, da' shíísh? Áko Jesus áháłní, Jó, bee háínídzíí'. 
40:26:026:0	Áko da'jiyą́ągo Jesus bááh néidii'ą́, áádóó yik'i sodoolzingo niyiizti', áádóó bídahooł'aahii yitaiznii'go áyidííniid, Nídahidooh'aahgo daahsą́; díí shits'íís át'é. 
40:26:027:0	Áádóó doodlį́įłii néidiiką́, áko sodoolzingo yaa ahééh niizį́į́' áádóó kóníigo hainíką́, T'áá ánółtso daahdlą́, 
40:26:028:0	háálá díí shidił bee aha'deet'áanii ániidíii, t'óó ahayóí bąąhági át'éii bá yóó'ahididoot'ááł biniyé bá deezna'ígíí át'é. 
40:26:029:0	Nidi ánihidishní, Kodóó ch'il na'atł'o'ii bitoo' doo ła' náádeeshdlį́įł da, shiTaa' bee bóhólníihgo bił haz'áanii biyi'di índa ch'il na'atł'o' ii bitoo' ániidíii nihił náádadeeshdlį́į́ł. 
40:26:006:1	Peter éí Jesus doo bééhasin da bizhdidooniiłígíí t'áá bítséedi baa hane'
40:26:030:0	Áádóó sin ła' bee dahojíítáalgo, Dził Álivzgóó dashdiikai. 
40:26:031:0	Áko Jesus áháłní, Díí tł'éé' t'áá ánółtso shí shiniinaa t'ą́ą́' anídínóohdah, háálá kót'éego bee ak'e'ashchį́,Na'niłkaadii atídeeshłííł,áádóó dibé nideiniłkaadii da'níłts'ą́ą́'góó taidoojah.  
40:26:032:0	Nidi dasétsą́ą́dę́ę́' nááshi'diilzáádóó bik'ijį' Gáliliigóó nihiba' yisháał doo. 
40:26:033:0	Nidi Peter haadzíi'go áhodííniid, Azhą́ t'áá ádzíłtso niniinaa t'ą́ą́' anázhníídee' nidi, shí t'éí ts'ídá doo t'ą́ą́' anídeeshtłish da. 
40:26:034:0	Jesus áhodííniid, T'áá aaníígóó ándishní, Díí tł'éé' naa'ahóóhai biką'í t'áadoo ániihí, táadi doo hwééhasin da náshididíí'niił. 
40:26:007:1	Gethsémaniidi Jesus sodilzin
40:26:035:0	Peter áháłní, Azhą́ t'áá níighah dasétsą́ą nidi, doo hwééhasin da doo nidideeshniił da. Áko hódahooł'aahii ałdó' t'áá ałtso t'áá ákót'éego hadaasdzíí'. 
40:26:036:0	Ákohgo Jesus Gethsémanii hoolyéhígi bídahooł'aahii yił yíkaigo ííłní, T'áá kwe'é nahísóotą́, shí éí t'ah wónásígóó deesháałgo áadi sodideeszįįł. 
40:26:037:0	Áko Peter índa Zébedii biye' nidilt'éego bił dashdiikai, nít'éé' t'áá íiyisí yíní biih jíítłizh áádóó nitsidzídzá. 
40:26:038:0	Ákohgo áhodííniid, Shii' sizíinii nitseeltłah, t'áá hoyółhéełgo, t'áá kǫ́ǫ́ nahísóotą́ągo shił hada'ísídół'į́į́'. 
40:26:039:0	Áádóó t'áá áháníjį' dashdiiyáago, ákwii tsé'yaa jineeshjoolgo kójíníigo sozdoolzin, ShiTaa', bohónéedzą́ą́ ládą́ą́', díí doodlį́įłii shits'ą́ąjį' kódíílííł, ákondi shí íinisinígíí éí dooda, nidi ni íinínízinígíí ádoonííł. 
40:26:040:0	Áko hódahooł'aahii baa nídzídzá, nít'éé' da'ałhosh lá, áko Peter ábijiní, Ha'át'íí lá! Da' t'ááłá'í ahéé'ílkidjį' nidiísh doo shił hada'ísídół'į́į́' ádanoht'ée da? 
40:26:041:0	Hada'ísídół'į́į́' áádóó sodadołzin, áko doo nihídahodínóotah da; níłch'i ii' sizíinii éí lą́ nízin, nidi ats'íís éí doo bidziil da. 
40:26:042:0	Áádóó naakidi aleeh góne' anáádzoodzáago, kójíníigo sonáázdoolzin, ShiTaa', díí t'áadoo yishdlání ts'ídá doo shits'ą́ąjį' kódoolnííłgóogo, íinínízinii bohodoolnííł. 
40:26:043:0	Áko haa nínáádzídzá, nít'éé' nááda'jiłhosh lá, háálá t'áá íiyisí bił ho'niighą́ą́'. 
40:26:044:0	Áko hats'ą́ą́' dah náázdiidzáago, táadi aleeh góne' saadígíí t'áá éí bee sonáázdoolzin. 
40:26:045:0	Ákohgo hódahooł'aahii baa nínáádzídzáago ábijiní, Da' t'ahdiísh da'ołhosh áádóó háádaałyį́į́h? Jó'akon, áajį' o'oolkid, índa Diné Silį́į'ii éí bąąhági ádaaníiłii bílák'eejį' ninádeet'ą́. 
40:26:008:1	Jesus ninádeet'ą́ áádóó bi'diiltsood
40:26:046:0	Nídoohjeeh, k'ad yiikah doo; jó'akon, nináshidee'aahígíí aadę́ę́' yigááł. 
40:26:047:0	T'ahdii yájíłti'go Júdas, naakits'áadahígíí ła' nilíinii níyá, áádóó aláahgo nááda'iiłniihii índa diné yá aląąjį' naazíinii bits'ą́ą́dóó diné t'óó ahayóí diltłish índa tsihał dayíjáahgo yił haa nánízą́. 
40:26:048:0	Áko nináhodiní'ánígíí éí yaa honíłtínígíí bee ééhózin dooleełii ła' yee yił hoolne' lá kóníigo, T'áá séts'ǫsígíí ííshją́ą́ éí bí át'į́į doo; éí deidoołtsoł. 
40:26:049:0	T'áá áko Jesus yich'į' niníyáago, Yá'át'éhéii, Na'nitiní! hałníigo hazts'ǫs. 
40:26:050:0	Áádóó Jesus áhodííniid, Kwá'ásiní, ha'át'íishą' biniyé kwe'é yíníyá? Áko Jesus yich'į' niikaigo deisiłgo dayiiłtsood. 
40:26:051:0	Nít'éé' jó'akon, Jesus yił naakaígíí ła' bidiltłish hayíítą́ągo aláahgo náá'iiłniihii binaalte' bijaa' na'iidiiłhaal. 
40:26:052:0	Nít'éé' Jesus ábíłní, Nidiltłish iih nánítįįh, háálá t'áá diltłish bił hadajiideełígíí éí t'áá ádzíłtso diltłish bee ádazhdoodįįł. 
40:26:053:0	Da' shiTaa' néideeshkąąłgo, t'áá áko diyingo nidaal'a'í tsosts'idiindóó ba'aan naakidi mííl yázhí bilááh ánéelą́ą'go shich'į' iidiyooł'aałígíísh doo baa nitsídaahkees da? 
40:26:054:0	Nidi kót'éego áhodooníiłgoshą' Diyin God bizaad bee ak'eda'ashchínígíí haa yit'éego bohodoolnííł? 
40:26:055:0	Áko ákwii hoolzhishgo Jesus éí diné yíl'áhígíí áyidííniid, Da' shił nidadoohdiłísh biniyé diltłish índa tsihał dayínóhjáahgo agha'ii'níiłii bich'į' oonééł nahalingo shich'į' ch'ínooná? Shą́ą́', t'áá ákwíí jį́ kin bii' sohodizin bił haz'ání góne' sédáago na'nishtin nít'éé', nidi t'áadoo dashoołtsood da. 
40:26:009:1	Jesus éí diné ándaha'áii bidááhdę́ę́' niho'deedlóóz
40:26:056:0	Nidi Diyin God yá dahalne'ii yee ak'eda'ashchínígíí bohodoolnííł biniyé díidí t'áá ałtso k'ad áánííł. Ákohgo hódahooł'aahii t'áá ałtso hats'ą́ą́' dah diijée'go yóó'aheeswod. 
40:26:057:0	Áádóó índa Jesus dahoołtsoodígíí Kéíyafas aláahgo náá'iiłniihii yaa dahazlóóz, áadi bee haz'áanii yínda'niłtinii índa diné yá aląąjį' naazíinii haa áłah silį́į́'. 
