40:10:001:1	Jesus éí naakits'áadahígíí náyiizláá'
40:10:001:0	Áádóó Jesus hódahooł'aahii naakits'áadahígíí hágo bizhdííniidgo níłch'i danchxǫ́'íii ayi'dę́ę́' hadeiniiłkaad doo biniyé bee óhólnííh bitaazdeez'ą́, áádóó nidaałniih t'áá ałtso índa ka nidaakaígíí t'áá ałtso hadaałt'é áńdazhdoodlííł ałdó' biniyé bee óhólnííh bitaazdeez'ą́. 
40:10:002:0	Áko naakits'áadahgo daal'aadii éí kódaolyé: áłtséhígíí Sáíman, éí Peter wolyéhígíí, áádóó yił háá'áázh Andrew; Zébedii biye'ké, James índa yił háá'áázh John; 
40:10:003:0	Philip áádóó Barthálemew; Thomas áádóó Matthew tax nahalyéhígíí yiniyé sidáii; James éí Alfíyas biye', índa Lebíyas, Thádiyas ałdó' wolyéhígíí; 
40:10:002:1	Jesus bídahooł'aahii naakits'áadahígíí dayííł'aad
40:10:004:0	Sáíman éí Kéínan dine'é jílínígíí, índa Júdas Iskáriyat éí nináhodidoo'áłígíí. 
40:10:005:0	Jesus kóníigo díí diné naakits'áadahgoígíí ayiis'a', Doo Jew dine'é danilíinii t'ááká bitahjį' dadohkááh yíila', áádóó Samériya dine'é ła' bikin haal'áajį' dadohkááh lágo, 
40:10:006:0	nidi Ízrel dine'é éí dibé nahalingo yóó'adahaaskaígíí bich'į'go dadohkááh. 
40:10:007:0	Áádóó dayínóhkááhgóó kódadohníigo dahołne', Yá'ąąshii bee bóhólníihgo bił haz'áanii koshídę́ę́' bich'į' hoolzhish. 
40:10:008:0	Áádóó diné bitah dahoneezgaígíí náádahidoołjeeh, łóód ats'íís yiyáanii naałdzidii bee bąąh dah nidahaz'áanii hadaałt'é áńdaahdle', diné daneeznáanii hinááh áńdaahdle', níłch'i bi'iiníziinii bii' dahólóonii biyi'dę́ę́' hadahinołkaad. Nihaa dadeest'ánígíí t'áá jíík' e nihaa dadeest'ą́, áko t'áá jíík'e bee ádaahnííł. 
40:10:009:0	Óola áádóó béésh łigaii índa béésh łitsoida ła' nihidah na'ayizii biih daoh'ááł lágo, 
40:10:010:0	áádóó dah sidoohkaigóó azis bee na'aljidí, índa nihi'éé' naakigo, áádóó nihikee', índa nihigishda t'áadoo dayínóhjáhí, háálá naalnishí ba'dooltsołgi yą́ą́h nilį́. 
40:10:011:0	Áko t'áá haa'ída kin hadaas'áagi índa kin naazhjaa'gi nidahohkáahgo, diné bił ílíinii hazhó'ó bínda'ídółkid, áko dah náádahidoohkáahjį' t'áá ákwii nahísóotą́ą doo. 
40:10:012:0	Índa hooghangi yah adahohkáahgo, Díí hooghangi hózhǫ́ǫ le', dadohníi doo. 
40:10:013:0	Áko hooghangi kéédahat'íinii bił da'ílį́įgo, bíni'dii k'é bee yínóh'níinii bił hólǫ́ǫ dooleeł, nidi doo yą́ą́h danilį́į́góó, éí k'é dadooniidii nihich'į' t'ą́ą́' nídoodleeł. 
40:10:014:0	Áádóó t'áá háiida doo danihinízingóó índa nihizaad doo deidiits'a'góó, éí hooghandóó, doodaii' kin haal'áádóó dah náádahidoohkáahgo nihikee' łeezh bąąh nidahołdéeh dooleeł. 
40:10:003:1	Atí'él'į́įjį' hoolzhish
40:10:015:0	T'áá aaníí ánihidishní, Ánihwiit'aah beiníłką́ądi éí kin haal'áhígíí Sádam índa Gomárah biláahgo atíbidi'doolnííł.  
40:10:016:0	Jó'akon, dibé éí mą'iitsoh yitahgóó dadeeskaígi át'éego danihidish'á; éí bąą tł'iish hóyánígi át'éego dahonohsą́, áádóó hasbídí ba'át'e' ádinígi át'éego niha'át'e' ádaadin. 
40:10:017:0	Diné bits'ąą ádaa ádahołyą́, háálá á nidahwii'aahii bidááhdę́ę́' nidanihidiyoo'ish, áádóó kin yii' áłah nídaadleehí naaznilgóó ninihída'iiłtsxáas doo, 
40:10:018:0	áádóó shiniinaa naat'áanii índa aláahgo naat'áanii naazdáágóó bidááhdę́ę́' nidanihii'éeshgo, éí índa doo Jew dine'é danilíinii binááł shá nidahołne' doo. 
40:10:019:0	Nidi nidanihii'éeshgo, ha'át'éegoda índa ha'át'íida bee hadadoohdzihii t'áadoo biniinaa ádił nidahodołchiłí, háálá bee hadadoohdzihii áadi índa nihił béédahodoozįįł, 
40:10:020:0	háálá nihí doo hadoohdzih da, nidi nihiTaa' biNíłch'i Diyinii nihiyi'dóó yáłti'ígíí hadoodzih. 
40:10:021:0	Áádóó ashiiké t'áá ła' hajíí'áazhgo ła' bidi'yoolyéełjį' niná'ahidiit'aah doo, áádóó azhé'é nilíinii ba'áłchíní ninéidii'aah doo, índa áłchíní bishchíinii yich'į' nídahidiikáahgo nahodi'dootsiłjį' ninádahodii'aah dooleeł, 
40:10:022:0	áádóó shízhi' biniinaa diné t'áá ałtso nihik'ee dadiniih doo, nidi t'áá háiida t'áá nihoníyáajį' ha'ólnínígíí éí yisdádooltééł. 
40:10:023:0	Nidi kin haal'áagi ła' atídanihił'į́įgo, náánáłahdi kin hanáánáál'áajį' choda'iidooł'įįł, háálá t'áá aaníí ánihidishní, Diné Silį́į'ii níyáajį' Ízrel dine'é bikin hadaas'áágóó doo ałtso tádadoohkai da dooleeł. 
40:10:024:0	Íhooł'aahii éí nahonitinii doo biláahgo ájít'ée da, índa naalnishí éí hananit'a'í doo biláahgo ájít'ée da; 
40:10:004:1	Háishą' báhádzid doo?
40:10:025:0	íhooł'aahii nahonitinii bił ahijíłt'é jileehígíí hoł t'áá áko doo, áádóó naalnishí hananit'a'í bił ahijíłt'éhígíí hoł t'áá áko doo. Kin bee bóhólníihii éí Béíyalzííbab deiłníigo, kin bee bóhólníihii ba'áłchíní ałdó' t'ah yówehgo ákódeiłníi doo! 
40:10:026:0	Éí bąą kódaat'éhígíí t'áadoo béédaałdzidí, háálá t'óó bił ída'ít'éhígíí t'áá ałtso dadoo'nih, áádóó nidanil'inígíí t'áá ałtso béédahodoozįįł. 
40:10:027:0	Ha'át'íhída t'áá nant'inee bee nihił hashne'ii t'áadoo bahat'aadí baa dahołne', áádóó ha'át'íhída bee nihijeeh náníshniihígíí kin bighą́ą́'dóó baa dahołne'. 
