47:8:001:1	Diyin God bidiyį́į́' bá béeso anáhá'nił
47:8:001:0	Shik'isóó, Masedóniyagi da'oodlání áłah nídaadleehii Diyin God bibee ajooba' bee baa hojoosba'ígíí nihił béédahózin doo nihííníi'ní, 
47:8:002:0	háálá yéego atídabi'dil'į́įgo nabídahonitaah nidi t'áá íiyisí bił dahózhónígíí áádóó bitéda'a'į́'ígíí, éí t'ah aláhídi át'éego bił dahadlee'go ádabiilaa. 
47:8:003:0	Háálá t'áá bí ádeinízingo t'áá yídaneel'ánígo índa yídaneel'ánígíi nidi biláahgo ada'iiznilígíí bá baa hashne', 
47:8:004:0	áko Diyin God bidiyį́į́' bił ahił ídlį́įgo baa doolyéłígíí yee łahdóó yíká adoojahgo yídaneedlį́įgo yaa nídanihookąąh, 
47:8:005:0	áko díí, t'áadoo bee baa nitsídeiikees yę́ę nidi éí biláahjį' Diyin God íinízinígíí bik'ehgo Bóhólníihii átsé yaa ádadeest'ą́, índa nihí ałdó' kojí nihaa ádadeest'ą́. 
47:8:006:0	Táítas t'áá íídą́ą́' ajooba'go áká a'alyeedii baa nízdiidzáhígi át'éego aají nihitahgi ałdó' ałtso ła'jidoolíiłgo baa náhwiisiikan. 
47:8:007:0	Áko k'ad oodlą́, áádóó yáti', áádóó ił ééhózin, áádóó t'áá ałtsojį' haleebee áhát'į́, índa ayóó'ádanihíínóh'nínígíí díí t'áá ałtso bee danihidziilígi át'éego díí ajooba'go áká a'alyeedii bidziilgo ádeínóhsin le'. 
47:8:008:0	Díí doo bee nihá hooł'a'go ádíshníi da, nidi ła' t'áá íiyisí haleebee ádaat'į́įgo binahjį' nihe'ayóó'ó'ó'ni' t'áá aaníiniígíí ałdó' ííshjání ádoolnííł biniyé ádíshní. 
47:8:009:0	Háálá nihiBóhólníihii Jesus Christ bibee ajooba' nihił béédahózin, jó, éí azhą́ at'į́į nidi, bahojoobá'í silį́į́', háálá nihá bahojoobá'í silį́'ígíí binahjį' nihí da'dooht'įįł. 
47:8:010:0	Áko kwe'é t'áá shí baa nitséskeesígíí nihił ch'ínísh'aah; jó, k'ad ła' nááhaídą́ą́' doo t'óó baa nidiikah danoozį́'í t'éiyá da, nidi bídanoohdlį́įgo baa nídoohkai yę́ę k'ad ła'daahłéhígíí nihá yá'át'ééh, 
47:8:011:0	éí bąą ła'dadoohłííł. Baa nidiikah danoozį́į́' yę́ęgi át'éego t'áá bídanooł'ánígíí bik'ehgo ła'dadoohłííł. 
47:8:012:0	Jó, t'áá k'adę́ę áká ajoolwodgi, t'áá hwee hólónígi bee áká aníjílwo'go yá'át'ééh, doo bízhneel'áanii bik'ehgo éí dooda. 
47:8:013:0	Náánáła' haleedígi ádabi'dil'į́įgo, áko nihí t'éiyá nihits'áda'iideeł dooleeł, doo dishníigo ádíshníi da, 
47:8:014:0	nidi aheełt'éego ahaa nitsáhákees bąą, k'ad ha'át'íhída lą'ígo nihee dahólǫ́ǫgo éí bee ádaadinígíí bee bíká anáhjah, áko lą'í bee dahazlį́į'go nihíjí nihee ádaadingo áádę́ę́' ałdó' nihíká adoojah, aheełt'éego chodaoł'į́į doo biniyé ádíshní. 
47:8:002:1	Táítas áádóó yił naakaígíí
47:8:015:0	T'áá Diyin God bizaad bee ak'e'ashchínígi át'éego,Lą'ígo nídajiizlá'ígíí doo ła' há ch'ínííłna' da,índa t'áá áłch'į́į́dígo nídajiizlá'ígíí doo hats'ą́ą́' bi'oh silį́į' da.  
47:8:016:0	Shí nihaa hą́ą́h nisinígi át'éego Diyin God éí Táítas hajéí tł'ááhdę́ę́' nihaa hą́ą́s nízingo áhoolaaígíí bąą bich'į' baa ahééh nisin. 
47:8:017:0	Háálá Táítas doo t'óó baa néisiikaní t'éiyá da, nidi t'áá íiyisí nihíneedlį́įgo t'áá bí íinízingo akǫ́ǫ́ nihich'į' dah diighááh. 
47:8:018:0	Nihik'is nilíinii ła' éí da'oodlání áłah nídaadleehii bitahgóó hane' yá'át'éehii yaa halne'go t'áá íiyisí béého'dílzinígíí bił akǫ́ǫ́ hodeel'a', 
47:8:019:0	áádóó doo t'áá éí t'éiyá bąą hodeel'a' da, nidi Bóhólníihii baa ha'niih doo biniyé, índa yá'át'éehgo bee íiniidzinii ííshjání dooleeł biniyé da'oodlání áłah nídaadleehii díí ajooba'go áká a'alyeedii baa neiit'aashgóó nihił nijikai doo biniyé nidahastį́. 
47:8:020:0	Díí ajooba'go áká a'alyeedii bineiilnishígíí ła'da doo yee nihik'íhodoo'ah da daniidzin, 
47:8:021:0	háálá doo Bóhólníihii binááł t'éiyá da, nidi diné ałdó' binááł ha'át'íhída ił nilį́ nilíinii bidadiilkaal. 
47:8:022:0	Áko nihik'is náánáła' bił akǫ́ǫ́ dahodeel'a', jó, éí t'óó nahwiilkaahgo t'áá íiyisí lą'íjį' nihízhneedlį́įgo nihił bééhoozin, nidi k'ad éiyá aají t'áá íiyisí nihaa dzólíhígíí binahjį' t'ah aláhídi át'éego haleebee nihá ájít'į́. 
47:8:023:0	Jó, Táítas éí shich'ooní nilį́ índa shił naalnishii nilį́įgo nihinaashnishígi k'ad áájí nihinaalnish, áádóó náánáła' nihik'is nidilt'éego éí da'oodlání áłah nídaadleehii yá yil'aadii nilį́, éí hanahjį' Christ baa ha'niih. 
47:8:024:0	Áko díí diné tált'éhígíí dabinááł áádóó da'oodlání áłah nídaadleehii dabinááł ayóó'áda'íínóh'nínígíí índa nihaa dahwii'niihígíí yit'íní ádaahłééh.
