47:3:001:1	Bee aha'deet'áanii ániidíii yee nidaal'a'ii
47:3:001:0	T'áá nihí yá'át'éehgo ádaa hane'ésh baa nínáádiit'áázh? Da' yá'át'éehgo nihaa hane'go nihich'į' naaltsoos ádoolníłígíísh ádá bídin niidlį́? Éí doodaii' naaltsoos ákót'éii aají nihits'ą́ą́dóó deezna'iísh ałdó' ádá bídin niidlį́? 
47:3:002:0	T'áá nihí naaltsoos yá'át'éehgo nihaa halne'ii danohłį́įgo, shí índa Timothy nihijéí biyi'di bee ak'e'ashchíinii danohłį́, áko éí ak'e'ashchínígíí diné t'áá ałtso dayółta'go bił béédahózin, 
47:3:003:0	áko éí Christ bits'ą́ą́dę́ę́' hane'ii bee nihił hwiilne'ígíí danohłį́. Bee ak'e'alchíhí éí doo bee ak'e'ashchį́į da, nidi Diyin God hináanii biNíłch'i Diyinii bee ak'e'ashchį́, tsé dilkǫǫhgo hasht'eelyaaígíí bikáa'gi doo bee bik'eda'ashchį́į da, nidi ajéí biyi'di bee bik'eda'ashchį́.  
47:3:004:0	Ákót'éego Christ binahjį' Diyin God baa dzííníidlí. 
47:3:005:0	T'áá nihí ániit'éhígíí bee bíniil'ą́ éí doo dii'níi da, nidi Diyin God éí bee bíniil'ą́, 
47:3:006:0	éí bee aha'deet'ą́ ániidíii baa dahodiilnihgi bohónéedzą́ągo bíniil'ą́ągo nihá áyiilaa, éí doo bee haz'áanii bee ak'eda'ashchíinii át'ée da, nidi Níłch'i Diyinii yaa halne'. Háálá bee haz'áanii bee ak'eda'ashchíinii doo bik'eh hól'ínígíí biniinaa ó'oołdįįł, nidi Níłch'i Diyinii éí iiná aa yiilé. 
47:3:007:0	Áko ałk'idą́ą́' bee haz'áanii bik'ehgo aniné yee inaalnish yę́ę, éí tsé bik'i na'ashk'aazhgo bik'e'ashchíinii bits'ą́ą́dóó bee haz'áanii ayóó át'éii bits'ádi'nílííd deezt'i' silį́'ígíí biniinaa, azhą́ Mózes binii' bits'ádi'nílídígíí doo wózhǫ́ bits'ádi'nílííd náádleeł da nidi, Ízrel dine'é doo deinóoł'į́į́' át'ée da. 
47:3:008:0	Díí ákót'éego ałk'idą́ą́' bee haz'áanii ayóó át'éii yee inaashnishgo, jó'áko Níłch'i Diyinii t'ah aláhídi ayóó át'éii yee inaalnish. 
47:3:009:0	Háálá ałk'idą́ą́' bee haz'áanii bee na'atseedgo ánihwiit'aah yee inaalnishii éí ayóó át'éego, jó'áko ts'ídá t'áá ákogi é'ét'é Níłch'i Diyinii yee inaalnishii éí t'áá íiyisí aláahdi át'éego ayóó át'éii ánáánát'é. 
47:3:010:0	Kwe'é ałdó' t'áá aaníí kónáánát'é, łah ayóó át'é ats'ádi'nílííd nít'éé' yę́ę éí k'ad ánás'zįįdígíí t'ah aláhídi át'éego ats'ádi'nílídígíí k'ad ákóne' inaalnish. 
47:3:011:0	Ákohgo ayóó át'é ats'ádi'nílídígíí ánás'zįįdgo, ats'ádi'nílííd doo bił yóó'ahodoogáłígíí éí ts'ídá aláahdi át'éego inaalnish. 
47:3:012:0	Jó, kót'éego nihił chohoo'į́įgo bąą, t'áá íiyisí doo dasiiti'góó dahwiilne', 
47:3:013:0	nihí doo Mózes át'į́ yę́ęgi ádeiit'į́į da, jó, éí hanii' bits'ádi'nílíidgo, doo bits'ádi'nílíid da yileełígíí ádin silį́į'jį' Ízrel dine'é doo yik'i dadooghał da jinízingo bik'íníjíłtih nít'éé'. 
47:3:014:0	Nidi éí bíni' bił ch'aa daashchį́, háálá díí jį́įjį', bee aha'deet'ą́ áłtséhígíí dayółta'go, t'áá shiidą́ą'dii bintsíkees bik'ída'asti' yę́ę doo nahgóó iiltsóos da, háálá éí Christ bee t'éiyá nahgóó adooltsos. 
47:3:015:0	T'áá aaníí, azhą́ t'áá Mózes binaaltsoos díí jį́į́góó nídayółtah nidi t'ahdii bijéí biyi'di bintsíkees t'áá bik'ída'asti'go át'é, 
47:3:016:0	nidi Bóhólníihii yich'į' dah nídiikaigo dabintsíkees bik'ésti' yę́ę nahgóó iiltsos. 
47:3:017:0	Bóhólníihii éí Níłch'i Diyinii nilį́, áko Bóhólníihii biNíłch'i Diyinii hólǫ́ǫgi ákwe'é áhonídlee'. 
47:3:018:0	Áko nihí t'áá áníiltso t'áadoo nihinii'jį' bik'ída'asti'í bii' adéest'į́į́' biyi'jį' adéest'į́'ígi át'éego Bóhólníihii bee bits'ádi'nílíidii daníil'į́, áádóó Bóhólníihii éí Níłch'i Diyinii nilį́įgo nihiyi' naalnishgo Bóhólníihii bits'ádi'nílídígi át'éego t'áá ałkéé' honí'ą́ągo nihí ałdó' nihits'ádi'nílííd dadiidleeł.
