47:1:001:1	K'é ha'níinii
47:1:001:0	Shí Paul, Diyin God íinízinii binahjį' Jesus Christ yá yil'aadii nishłíinii, áádóó Timothy nihik'is, éí Kórinthdi Diyin God dayoodláanii áłah nádleehígíí bich'į' naaltsoos íilnééh. Akéya hoolyéedi t'áá át'éé nít'éé' Diyin God bidiyį́į́' danilíinii t'áá bił bich'į' naaltsoos íilnééh: 
47:1:002:1	Diyin God bich'į' ahééh hwiindzin
47:1:002:0	Diyin God nihiTaa' áádóó Bóhólníihii Jesus Christ bibee ajooba' índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo. 
47:1:003:0	Diyin God, nihiBóhólníihii Jesus Christ biTaa' nilíinii t'áá éí aTaa' aa a'ááh nízinii índa diné t'áá ałtsojį' hayi'iyoołníihii, éí baa ha'niih, 
47:1:004:0	éí t'áá ałtsojį' atínihi'dil'į́įgo hanihi'iyoołnííh, áko atídabi'dil'íinii t'áá ałtso nihí ałdó' éí hadabi'iyiilníih doo, Diyin God bee ha'ahóní yee hanihi'iyoosnii'ígíí t'áá éí bee diné hadabi'iyiilníih doogo bídaniil'ą́. 
47:1:005:0	Háálá Christ yik'ee ti'hooznii'ígíí nihí ałdó' lą'ígóó éí bik'ee ti'dahwii'nííh, t'áá ákót'éego ałdó' Christ bee lą'íjį' hada'ííníilní. 
47:1:006:0	Nihí atínihi'dil'į́įgo éí bee hada'íínółní índa yisdáhóhkááh biniyé át'é, índa hanihidi'yoolniihgo éí bee hada'íídóołniił biniyé át'é, jó, éí bee bik'ee ti'hwii'níihii t'áá éí bik'ee ti'dahoohníihgo hada'íínółní índa yisdáhóhkáah doo. 
47:1:007:0	Bee nihá nihił chohoo'íinii éí t'áá íiyisí niłdzil, háálá nihił bééhózingo bik'ee ti'hwii'níhígi át'éego nihí ałdó' bik'ee ti'dahoohnííh, áko bee ha'ííníilnínígi át'éego ałdó' bee hada'íínółníi doo. 
47:1:008:0	Shik'isóó, Éízhadi atínihi'dool'įįdígíí nihił béédahózin doo nihííníi'ní, éí ts'ídá t'áadoo beełt'éhígóó, doo biká'ágóó ti'hwiisii'nii', áko t'áá hinii'náa dooleeł yę́ęgi nidi doo chohóó'įįd da. 
47:1:009:0	Jó'áko, nanihidi'niitseedgo ga' nihá nihoot'ą́ą́ lá niidzį́į́', nidi díí doo t'áá nihí áda'ííníidlíi da doo biniyé ákódzaa, Diyin God éí daneeznáanii néidiyiiłjeehii t'éí ba'ííníidlíi doo biniyé. 
47:1:010:0	Díí báhádzidgo adiyoołhéełii yits'ą́ąjį' háánihíínil, áko díí bits'ą́ąjį' háánihiiníiłii t'áá éí hanáánihidoo'niłgo baa náádadzííníidlí, 
47:1:003:1	Paul éí Kórinthgóó deeshááł niizį́į́' nít'éé' t'óó ánáhoost'įįd
47:1:011:0	nihí ałdó' nihisodizin bee nihíká anáhjahgo, áko lą'í bisodizin binahjį' ak'ihojidlí bee nihik'ihodzisdlí'ígíí lą'í nihá yaa ahééh dadínóozįįł. 
