47:11:001:1	Paul índa daal'aadii ádahodil'íinii
47:11:001:0	T'áá yíní ádinígi át'éego t'áá áłts'íísígo hadeesdzihígíí bich'į' hada'íínółníi doo nisin. T'áá shǫǫdí shich'į' hada'íínółní! 
47:11:002:0	Ch'ikę́ę́h t'ah doo diné bee haleehii éí bahastiin t'ááłá'í dooleełígi át'éego Christ baa danihidiyé'ą́ągo Diyin God k'ehgo łe'hasin bee nihaa łe'nisin. 
47:11:003:0	Nidi níłch'i bida'iiníziinii binanit'a'í binahagiz yee átsé asdzą́ą́ Íiv yi'deezlo' yę́ęgi át'éego nihintsíkees t'ááłá'íígíí bee Christ nihił danilíinii bits'ą́ąjį' t'áá ádzaagóó anihidiyoo'ishii éí nihá binásdzid. 
47:11:004:0	Háálá ła'da náánáádáałii éí Jesus baa hwiilne'ii bits'ą́ą́jí Jesus łahgo ánáánát'éii yaa nááhálne'go, doodaléi' Níłch'i Diyinii nihee dahazlį́į'ii bits'ą́ą́jí níłch'i łahgo át'éii nihee náádahadleehgo, náádoodaléi' hane' yá'át'éehii nídadooláhígíí bits'ą́ą́jí łahgo át'éii nínáádadoołéego, jó, éí t'áá chaałída baa ádadiyoht'aah. 
47:11:005:0	Daal'aadii aláahdi ádaat'éii doo t'áá bi'ohgo ánísht'éego ádaa nitséskees da. 
47:11:006:0	Azhą́ yáti' daats'í doo yiishchįįh da nidi, baa yáshti'ígíí éí ts'ídá shił bééhózin; díidíígíí t'áá ałtsoní binahjį' t'áá ałtsojį' nihił ííshjání íishłaa. 
47:11:007:0	Diyin k'ehgo ayóó át'éii ádanihididoolníłígíí biniyé a'ohgo í'diishyaago t'áadoo bideenánígóó Diyin God baa hane' yá'át'éehii bee nihił hweeshne'ígíísh bee ádił asisziih? 
47:11:008:0	Náánáła' da'oodlání áłah nídaadleehii béeso yee shíká anájah nít'éé' yę́ę bee nihinishishnish. 
47:11:009:0	Áádóó nihitahgi naasháago t'áadoo le'é bídin nishłį́ yę́ędą́ą́' t'áadoo ła'da naanish biih yíłt'e' da. Háálá Masedóniyadę́ę́' ałk'isóó danilíinii nidahaaskaígíí bídin nishłíinii éí yee shíká ííjéé'. Áko ła'da t'áá ha'át'éegoda naanish biih hodeesht'eełjį' bił t'ą́ą́' sétį́ áádóó bił t'ą́ą́' sétį́į doo. 
47:11:010:0	Christ binahjį' t'áá aaníígóó yáshti'go ádíshní, Akéya hoolyéegi, díí bee aa ha'niihígíí ts'ídá doo didoolyił da. 
47:11:011:0	Ha'át'éegoshą'? Da' doo ayóó'ánihíínísh'níi daígíí daats'í biniinaa? Jó, ayóó'ánihíínísh'nínígíí Diyin God shá bił bééhózin! 
47:11:012:0	Áko k'ad baa naasháhígíí ts'ídá t'áá éí baa naasháa doo, áko ła' ádeinízingo, Paul éí Diyin God bá joolnishígíí t'áá bił aheełt'éego nideiilnish, danízingo ádaa daha'niihígíí dabiyooch'íidgo béédahodoozįįł. 
47:11:013:0	Háálá t'áá ádzaagóó nidazh' nitinígíí éí t'óó ádahozhdil'į́įgo daal'aadii dajílį́, naalnishí binda'adlo'ii dajílį́, éí Christ yá daal'aadii t'óó béé'ádahozhdil'į́. 
47:11:014:0	Áyaanída Séítan t'áá bí níłch'i bida'iiníziinii binanit'a'í nilíinii nidi, łahgo át'éego diyingo naal'a'í bits'ádi'nídínígi át'éego yí'ínídiil'įįh. 
47:11:002:1	Paul yil'aadii nilį́įgo ti'hooznii'ii
