47:13:001:1	Akée'di i'ílnii' áádóó k'é bee ha'oodzíi'ii
47:13:001:0	Díí k'ad táadi nihaa nishááh, áko bee ak'ihodiit'áanii éí oo'íinii naakida, doodaii' táa'da t'áá aaníígóó dahalne'go t'éí ílį́į doo. 
47:13:002:0	Átséédą́ą́' bąąhági ádaat'į́ nít'é'ígíí índa náádaała'ígíí t'áá ałtso bił hazhó'ó nihi'níłnii' ni', naakidi nihaa níyáá góne' nihitaashá yę́ędą́ą́' nihi'níłnii'ígi át'éego, t'áá ákót'éego k'ad doo nihitaasháa da nidi ałdó' nihináá'níshnííh, áko nihaa náánísdzáago doo nihaa hą́ą́h dínéesįįł da. 
47:13:003:0	Jó, Christ t'áá aaníí shiyi'dę́ę́' yáłti'go nihił béédahodoozįįł. Háálá Christ doo adziil yee doo nihich'į' ááníił da, nidi nihitahgóó bibee adziilii yit'íní áyoolííł. 
47:13:004:0	Azhą́ doo hadziilgóó tsin ałnáoszid bikáa'jį' hoł o'oolkaal nidi, Diyin God bibee adziilii bee jiiná. Háálá hoł doo nihidziil da, nidi Diyin God bibee adziilii binahjį' hoł łá'í niidlį́įgo habee adziilii bee hoł hinii'náa doo. 
47:13:005:0	T'áá daats'í aaníí oodlą́ bee nisoozínígíí bee nida'ádółkaah. Hazhó'ó nida'ádínóhtaah. Da' Jesus Christ nihiyi'di hólónígíísh doo baa ákodanohsin da? Doodaii' nida'ádínóhtaahígíísh ch'ééh ádaał'į́? 
47:13:006:0	T'ah nít'éé' lá nihí na'ádíniitaahígíí doo ch'ééh íil'įįdgóó nihił béédahoozin łeh nisin. 
47:13:007:0	Nidi doo bąąhági ádadoohníił daígíí biniyé Diyin God bich'į' sodiszin; bee na'íhonitaah bíniil'ąąd nahoniidlingo ádíshníigo éí dooda, nidi t'áá ákǫ́ǫ́ ádadoohníłígíí biniyé ádíshní, azháánee' nihí t'óó ch'ééh íil'įįd nahoniidlin nidi. 
47:13:008:0	Háálá t'áá aaníinii doo bik'ijį' woodle' át'ée da, nidi t'áá aaníinii t'éiyá bá íi'nííł. 
47:13:009:0	Háálá nihí doo nihidziil da nidi, aají nihí éí danihidziilígíí baa nihił hózhǫ́. Ts'ídá yá'át'éehgo dahinohnáa dooleeł danihííníi'ní. 
47:13:010:0	Nihaa níyáago éí doo t'áá hashkée choideesh'įįł da biniyé t'ahdii nihits'ą́ądi naasháago kót'éego nihich'į' ak'e'ashchí. Háálá Bóhólníihii éí óhólnííh bee dadínóoséełgo danihidziil ádanihideeshłííł biniyé sheidiní'ą́, danihideeshchǫǫł biniyé éí dooda. 
47:13:011:0	Shik'isóó, bee ninisht'éehii éí díí, Diyin God nihił hólǫ́ǫ doo. Hadanołt'éego, ałk'i dahołta'go, t'áá aheełt'éego nitsídaahkees, ałch'į' k'é danohdzingo hazhó'ó kéédahoht'į́, áko Diyin God ayóó'ó'ó'níinii índa t'áá éí ach'į' hózhǫ́ eidii'aahii nihił hólǫ́ǫ doo. 
47:13:012:0	Ahíláłk'e dadołniihgo k'é béé'áhohjih, 
47:13:013:0	Diyin God bidiyį́į́' t'áá ałtso k'é danihiłní. 
47:13:014:0	Bóhólníihii Jesus Christ bibee ajooba', áádóó Diyin God bibee ayóó'ó'ó'ni', índa Níłch'i Diyinii bee ahił ídlíinii t'áá ánółtso bee nihik'ihojidlíi doo. T'áá ákót'ée doo.
