9:7:001:1	Sámuel éí Ízrel dine'é yá nihodiyii'aah
9:7:001:0	Áko Kírjath-jíyarimdóó dine'é yíkaigo Bóhólníihii bitsits'aa' dílzinii nídeidii'ą́, índa yanáalk'idgi Abínadab bighanjį' deiz'ą́; éí biye' Eliyéízar wolyéii jidiyingo ádahoolaago Bóhólníihii bitsits'aa' dílzinii baa áhojilyą́ą doo.  
9:7:002:0	Kírjath-jíyarimgi tsits'aa' dílzinii niit'ą́ bijį́į́dóó nízaad nihoolzhiizh, naadiin nááhai, áádóó Ízrel dine'é t'áá ałtso Bóhólníihii yich'į' atínídadindleeh. 
9:7:003:0	Ákohgo Sámuel éí Ízrel dine'é t'áá ałtso ábizhdííniid, Danihijéí t'áá át'é bee Bóhólníihii bich'į' nináhóhkááh, áko diyin dabidi'níinii áádóó Áshtarath diyin dabidi'níinii yóó'adahidoh'aah; danihijéí Bóhólníihii baa dahidoh'aah, áádóó t'áá bí t'éiyá bá nidaał'a'; ákódaaht'į́įgo t'éiyá Filístiya dine'é bits'ą́ąjį' yisdánihidoonił. 
9:7:004:0	Ákohgo Ízrel dine'é éí Béíyalim áádóó Áshtarath yóó'adeideez'ą́ągo Bóhólníihii t'éiyá yich'į' nidahałá. 
9:7:005:0	Áko Sámuel ádííniid, Ízrel dine'é t'áá ánółtso Mízpeh kin shijaa'di áłah áńdooh'nííł, áádóó Bóhólníihii bich'į' nihá sodideeszįįł. 
9:7:006:0	Áko Mízpehgi áłah daazlį́į́' áádóó tó hadajiileehgo Bóhólníihii binááł yadajiyiiziid, áádóó éí bijį́ hodílzingo doo adą́ baa nidziskai, índa ákwe'é ádazhdííniid, Bóhólníihii bich'į' ádił nida'ayeelzíí'. Áádóó Mízpeh kin shijaa'di Sámuel éí Ízrel dine'é bá nihozhdiyii'aah nít'éé'. 
9:7:007:0	Áko íídą́ą́' Filístiya dine'é éí Mízpehgi Ízrel dine'é áłah daazlį́į'go yaa dahodiizts'ą́ą́', áko Filístiya dine'é binanit'a'í danilíinii éí Ízrel dine'é danilíinii yaa heekai, áádóó Ízrel dine'é díí yaa dahodiizts'ą́ą'go Filístiya dine'é yéédaasdzííd. 
9:7:008:0	Áko Ízrel dine'é éí Sámuel ádeidííniid, T'áadoo áhodiilzéhí Bóhólníihii nihiDiyin God nihá néinikąąhgo Filístiya dine'é bits'ą́ąjį' yisdánihidoonił. 
9:7:009:0	Ákohgo Sámuel éí dibé yázhí t'ahdii ałt'o'ii didlidgo nááhániihii t'áá át'é Bóhólníihii yich'į' nááyiisnii', áádóó Sámuel éí Ízrel dine'é bá níjookąąhgo Bóhólníihii hodiizts'ą́ą́'. 
9:7:010:0	Áko Sámuel éí t'ahdii didlidgo nááhániihii náájiiłniihgo baa nijighá, nít'éé' Filístiya dine'é t'áá áyídíjį' hak'iidoojah biniyé Ízrel dine'é yaa heekai, nidi t'áá éí bijį́ ayóó át'éego ii'ni' nahalingo Bóhólníihii biinéé' diists'ą́ą'go yik'ee Filístiya dine'é t'óó bił dahóóląąd, áádóó Ízrel dine'é yilą́ąjį' niníjée'go nidabistseed. 
9:7:011:0	Áko Mízpeh kin shijaa'dóó Ízrel dine'é ch'íheezhjéé', áádóó Filístiya dine'é yikéé' nídiijée'go Béthkar haz'ánígíí biyaagóó deiníłtseed. 
9:7:012:0	Áko Sámuel éí tsé néidii'ą́ągo Mízpeh kin shijaa' áádóó Shen tsé yadiit'ąhí bita'gi ayíítsigo Ében-íízer hoolyée doo, dííniid, háálá ájíní, Kónízahjį' Bóhólníihii nihíká eelwod. 
9:7:013:0	Áko Filístiya dine'é baa honeezná áádóó Ízrel dine'é bikéyahjį' t'áadoo yah anáádaaskai da. Áádóó Bóhólníihii éí Filístiya dine'é yik'ijį' nilį́įgo Sámuel bíiníłką́. 
9:7:014:0	Ékran kin haal'áádóó Gath kin haal'áajį' Ízrel dine'é bikin hadaas'áago Filístiya dine'é bighadeideest'ánígíí éí Ízrel dine'é baa nídeet'ą́, áádóó Ízrel dine'é danilíinii dabikéyah Filístiya dine'é yigháádeideest'ą́. Áko Ízrel dine'é áádóó Ámor dine'é bita'gi hodéezyéél. 
9:7:015:0	Sámuel ni'níłdįįd bijį́įjį' Ízrel dine'é yá nihodiyii'aah nít'éé'. 
9:7:016:0	Áádóó t'áá nináháhááh bik'eh Béthel haz'ánígi áádóó Gílgal kin shijaa'gi índa Mízpeh kin shijaa'gi Sámuel tázhdígháahgo éí Ízrel dine'é bá nihozhdiyii'aah nít'éé'. 
9:7:017:0	Ákohgo Réímah kin shijaa'gi ninájiidááh nít'éé', háálá ákwe'é haghan, áádóó ákwe'é ałdó' Ízrel dine'é bá nihozhdiyii'aah nít'éé'. Áádóó ákwe'é Bóhólníihii bá bikáá' náá'iiniihí ájiilaa.
