9:31:001:1	Saul áádóó biye'ké nabi'diztseed
9:31:001:0	Áko Filístiya dine'é éí Ízrel dine'é yik'iijéé' áádóó Ízrel dine'é bisiláo éí Filístiya dine'é yik'ee dadínéezhchą́ą'go Gilbówa dziłghą́ą'gi nidabi'diztseed. 
9:31:002:0	Nít'éé' Saul áádóó haye'ké éí Filístiya dine'é t'áá íiyisí haatįįh yikaigo Jánathan áádóó Abínadab índa Malkishúwa éí Saul yiye'ké danilíinii nidabi'diztseed. 
9:31:003:0	Áko Saul hak'ijį' t'áá íiyisí anaa' hazlį́į'go da'diłt'ohii dahaskahgo bik'ee tízhdiilyaa. 
9:31:004:0	Nít'éé' Saul éí bee na'abaahí há neijaahii ábijiní, Nidiltłish handzį́įsgo shighá níłgééd. Áko díí doo bąąh nídahineeshgizhii t'ááká ákódashóle'go shá nidahółt'i' lágo. Nidi bee na'abaahí há neijaahii doo íinízin da, háálá t'áá íiyisí yináldzid. Éí bąą Saul t'áá hó hadiltłish hadzíídzį́įzgo bik'ijį' tsé'yaa ízh'doolgo'go haghá níjilgo dadzistsą́. 
9:31:005:0	Áko bee na'abaahí há neijaahii Saul dadziztsą́ągo yaa ákoniizį́į'go bí ałdó' bidiltłish bik'ijį' tsé'yaa í'doolgo'go bighá níjilgo daaztsą́. 
9:31:006:0	Kót'éego Saul daaztsą́, áádóó haye'ké tált'éego ałdó' naaztseed; habee na'abaahí há neijaahii áádóó diné hoł naakai yę́ę t'áá ałtso ałdó' t'áá éí bijį́ t'áá łahjį' nidabi'diztseed. 
9:31:007:0	Áko náyónaaníjí Jórdan tooh biláahdi Ízrel dine'é kéédahat'íinii éí Ízrel dine'é bisiláo yóó'adahineezhchą́'ígíí índa Saul ałdó' biye'ké bił nidabi'diztseedígíí yaa dahodiizts'ą́ą'go bikin hadaas'áii yóó'adeideez'ą́ągo bí ałdó' yóó'aheezhjéé', áko Filístiya dine'é nidahaaznáago ákwii kéédahat'į́į́ nít'éé'. 
9:31:008:0	Ákódzaadóó biiskání Filístiya dine'é éí nidabi'diztseedígíí bindaalye'é yąąh dayídóobeeł yiniyé yíkaigo Gilbówa dziłghą́ą'gi Saul áádóó biye'ké tált'éego nidabi'diztseed lá. 
9:31:009:0	Áko bitsiits'iin k'ídeisne' índa béésh éé' yee naabaah yę́ę yaa deidiinil, áádóó Filístiya dine'é bikéyahgóó ida'iis'a'go eda'alyaii bich'į' nidahadláagi índa diné bitahgóó ałdó' yaa nidahodeesdláád. 
9:31:010:0	Áko Áshtarath diyin bidi'níinii bikin yiyi' nidahałáhá góne' habéésh éé' nideiznil áádóó hats'íís éí Béthshan kin haal'áagi binaa ahéé'ítł'inígíí biyi'dę́ę'go bąąhjį' dah deistį́. 
9:31:011:0	Nidi Jéíbesh-gíliyad dine'é éí Filístiya dine'é danilíinii Saul ádayííł'įįdígíí yaa dahodiizts'ą́ą'go 
9:31:012:0	t'áá éí bitł'éé' diné doo nídanilyéesii t'áá ałtso dah diikaigo, Saul bits'íís índa biye'ké dabits'íís ałdó' Béthshangi binaa ahéé'ítł'inígíí bąąhdóó nidei'diinil, áko índa Jéíbesh kin haal'áagi yíkaigo áadi deidííłid. 
9:31:013:0	Áko dabits'in nídeidiinilgo Jéíbeshgi tsin sikaad léi' biyaajį' yóó'ádayiilaa, áádóó t'áadoo da'ayání tsosts'id jį́ azlį́į́'.
