9:17:001:1	David éí Goláíyath yiyiisxį́
9:17:001:0	Filístiya dine'é bisiláo anaa' ádeidoolííł biniyé Shóko kin haal'áadi Júdah kéyahgi áłah daazlį́į́', áko Shóko áádóó Azííkah kin shijaa' bita'gi éí Iifesdámim haz'ánígi nidahaazná. 
9:17:002:0	Áko Saul áádóó Ízrel dine'é yił áłah silį́į'go Filístiya dine'é bich'į' anaa' ádeidoolííł biniyé Íílah yíldzis bíighahgi nidahaazná. 
9:17:003:0	Áko Filístiya dine'é éí dziłghą́ą́'dę́ę'go ninádahaakah índa Ízrel dine'é ałdó' łahdę́ę'go dziłghą́ą́'dę́ę́' ninádahaakah, áko dah oonéłígíí bita'gi hóteelgo yíldzis. 
9:17:004:0	Nít'éé' naabaahii doo bik'eh hodidleehii léi' Filístiya dine'é dah yinéłídóó ch'íníyá; éí Goláíyath wolyé; Gath kin haal'áádóó naaghá; náhást'éí ké siláádóó yílá deests'ǫ́ǫ́d áníłnééz. 
9:17:005:0	Na'abaahjí béésh łitsoii ch'ahígíí bik'i dí'ą́, áádóó béésh éé' bee na'abaahígíí yee hadít'é, áko éí éé' béésh łitsoii bee ályaaígíí ashdladi mííl shékel wolyéii bíighahgo áníłdáás. 
9:17:006:0	Áádóó bijátisgi béésh łitsoii bik'ésti', áádóó béésh łitsoii tsiidétáán anáhálghą́hígíí bine'dę́ę́' dah sitą́. 
9:17:007:0	Áko tsiidétáán neitinígíí éí da'atł'óii bi'áah sitánígi áníldííl, áádóó tsiidétáán bílátahjį' deení dah si'ánígíí éí béésh dootł'izh bee ályaii hastą́ądi neeznádiin shékel wolyéii bíighahgo áníłdáás, índa binaage' neiłjidígíí bich'ą́ą́h naaghá. 
9:17:008:0	Áko Goláíyath sizį́įgo Ízrel dine'é bisiláo dah yinéłígíí yich'į' hadoolghaazhgo ání, Ha'át'éegoshą' anaa' biniyé ch'ínooná? Da' shíísh doo Filístiya dine'é nishł į́į da? Áádóó nihíísh doo Saul binaal'a'í danohłį́į da? Diné ła' nídadoołteehgo bíni'dii shich'į' hididááh. 
9:17:009:0	Bízhneel'ą́ągo shił ahijoogą́ą'go shijiisxį́į́ ládą́ą́' nihinaalte' daniidlį́į doo, nidi hak'eh díshdlį́į'go hoyéłhį́į́ ládą́ą́' nihinaalte' danohłį́įgo nihá nidaał'a' doo. 
9:17:010:0	Áko Filístiya dine'é ání, Ízrel dine'é bisiláo nabé'ésh'įįhgo díí jį́ ła' shich'į' doł'áago bił ahideeshgą́ą́ł. 
9:17:011:0	Áko Saul áádóó Ízrel dine'é t'áá ałtso éí Filístiya dine'é bizaad deidiizts'ą́ą'go yik'ee nisidaaskai áádóó ayóó át'éego nídaasdzííd. 
9:17:012:0	Áko David éí Éfrata dine'é nilíinii biye' jílį́; éí Júdah kéyahgi Béthlehem kin shijaa'dóó naagháii Jésii wolyé; biye'ké tseebílt'é. Saul nant'áago hoolzhish yę́ędą́ą́' Jésii éí diné bitahgi łą́ binááhaigo t'áá hazhó'ó hadzistih. 
9:17:013:0	Áko Jésii biye'ké táá' alą́ąjį' naakaígíí anaa'góó Saul yikéé' aheeskai; alą́ąjį'ígíí éí Iiláíyab wolyé, ákóne'ígíí éí Abínadab; táá' góne'ígíí éí Shámmah. 
9:17:014:0	Áádóó David akéé'dóó nijighá, áko táa'go alą́ąjį'ígíí éí Saul yikéé' naakai. 
9:17:015:0	Nidi David éí hazhé'é bidibé baa áhojilyą́ągo Béthlehem kin shijaa'dóó Saul bich'į' ałnáájídááh. 
9:17:016:0	Filístiya dine'é éí abínídóó e'e'áahjį' hach'į' náhididáahgo dízdiin jį́ azlį́į́'. 
9:17:017:0	Áko Jésii éí haye' David ábizhdííniid, Nik'isóó bich'į' dah oonéłígóó díí tł'oh naadą́ą́' sit'éhígíí íífa bee yikááł bíighahgo áádóó bááh neeznáá bíighahgo ákǫ́ǫ́ díjáahgo dah oonéłídi nik'isóó baa díílwoł. 
9:17:018:0	Áádóó ałdó' géeso neeznáá hasht'eelyaaígíí éí siláo miil yilt'éego yinanit'a'í nilíinii bich'į' dííjih. Áádóó nínaaíké haa lá daat'éé lá baa nidíníítaał, índa ha'át'íí lá yaa naakai lá bee nihił hodíílnih. 
9:17:019:0	Áko nít'éé' Saul áádóó David bínaaíké índa Ízrel dine'é t'áá ałtso Íílah yíldzisdi Filístiya dine'é yił da' ahigą́. 
9:17:020:0	Áko David t'ah abínídą́ą́' nízhdii'na'go dibé índa na'niłkaadii t'áá ákǫ́ǫgo bidookįįłii nízhdiinilgo dashdiiyá; Jésii áhodííniidígi át'éego dah da'ínéehgi jiníyáago ayóó át'éego anaa' baa ní'diildee'go hahóó'áá lá. 
9:17:021:0	Áko Ízrel dine'é índa Filístiya dine'é ałk'iidoojah biniyé ałch'į' ałkéé' ni'ahí'nil. 
9:17:022:0	Áko David joojihígíí hééł yaa ádahalyáanii baazhnínilgo siláo nidaabaahii bitah góne' ajoolwodgo hánaaíké baazhníyáago k'é bizhdííniid. 
9:17:023:0	Áádóó bił ahił dahojilne'; nít'éé' jó, Gath kin haal'áádóó Filístiya dine'é naabaahii nilíinii, Goláíyath wolyéii éí Filístiya dine'é bisiláo yitahdę́ę́' ch'ínáánádzáago saad t'áá yee hanádzihígíí yee hanáánáádzíi'go David adiizts'ą́ą́'. 
9:17:024:0	Áko Ízrel dine'é t'áá ałtso éí Goláíyath dayiiłtsą́ągo yik'ee dadínéezhchą́ą'go t'áá íiyisí yéédaasdzííd. 
9:17:025:0	Áko Ízrel dine'é ádadííniid, Da' díí diné ch'íníyáhígíísh daah'į́? T'áá aaníí Ízrel dine'é nayé'é'įįh yiniyé ch'íníyá. Áko diné t'áá háiida éí jiisxį́įgo aláahgo naat'áanii éí ayóó át'éego ajit'į́įgo áhodoolííł, áádóó bitsi' haidoołtééł, índa Ízrelgi hazhé'é bighandóó danilíinii doo bidahodiit'i' da doo. 
9:17:026:0	Áko David éí diné hwíighahgóó naazínígíí ábizhdííniid, Díí Filístiya dine'é dziisxį́įgo Ízrel dine'é bee nabé'ét'įįhii nahjį' kójiilaaígíí ha'át'íí bee bik'ihojidlíi doo? Filístiya diné doo bąąh náhineeshgizhii jílíinii ha'át'íísh jílį́įgo Diyin God hináanii bisiláo nabé'ésh'įįhgo bohónéedzą́ jinízin? 
9:17:027:0	Áádóó diné t'áá ákót'éego hadaasdzíi'go ádaaní, T'áá háiida díí diné jiisxíinii éí ákót'éego hach'ohodoo'niił. 
9:17:028:0	Hánaaí alą́ąjį'ígíí Iiláíyab éí diné bich'į' yájíłti'go hodiizts'ą́ą́', áko Iiláíyab éí David bich'į' háhóóchįįdgo ábijiní, Ha'át'íí biniyé yíníyá? Háísh honoojíidi dibé t'áá díkwíígíí ná neiniłkaad? Ayóogo ádaa dzíínídlíigo áádóó t'áá ádíláahgo t'éí nitsíníkeesgo shił bééhózin, háálá anaa' baa na'aldeehígíí dínííł'įįł biniyé yíníyá. 
9:17:029:0	Áko David ádííniid, Haash yisdzaa? Doósh t'óó ná'ídíshkid da? 
9:17:030:0	Áádóó éí bits'ą́ąjigo dashdiiyáii', náánáła' bich'į' t'áá ákót'éego hanáádzoodzíí', áko t'áá átséedi hach'į' hadaasdzí'ígi át'éego hach'į' hanáádaasdzíí'. 
9:17:031:0	Áko índa David éí saad bee hadziisdzíi'ii deidiizts'ą́ą'go t'áá éí yee Saul yił dahoolne'go t'áá áko háká i'ííł'a'. 
9:17:032:0	Áko David éí Saul áyidííniid, T'áadoo honiinaa diné nídaaldzidí le'; ná naal'a'í ákǫ́ǫ́ hidoodáałgo éí Filístiya dine'é yił ahidoogą́ą́ł. 
9:17:033:0	Áko Saul éí David áyidííniid, Filístiya dine'é bich'į' hidíídáałgo bił ahidíígą́łígíí doo bíninil'ą́ą da, háálá t'ahdii ashkii nílį́; bí éí t'áá ániid naagháádą́ą́' ana'ał'íinii nilį́. 
9:17:034:0	Nidi David éí Saul áyidííniid, Ná naal'a'í bizhé'é bidibé yaa áhályą́ągo náshdóítsoh bitsiijį' ditł'oii áádóó shash ałdó' dibé yázhí yił dah diilwodgo 
9:17:035:0	bich'į' nídiishwodgo bił dzidíłhaalgo bizéé' hááhííłhan áádóó shich'į' nídiidzáago éí bidághaa' sésxił áádóó náníshxałgo séłhį́. 
9:17:036:0	Ná naal'a'í éí náshdóítsoh bitsiijį' ditł'oii yiyiisxį́ áádóó shash ałdó' yiyiisxį́, áko díí Filístiya dine'é doo bąąh náhineeshgizhii ałdó' ákwíidoolííł, háálá Diyin God hináanii bisiláo yódziih. 
