9:21:001:1	David éí Saul yits'ąą yóó'anííchą́ą́'
9:21:001:0	Áádóó Nob kin shijaa'gi David éí Ahímelek náá'iiłniihii yaa níyá, áádóó Ahímelek éí hatah hoditłidgo David bidááshníyáago ábizhdííniid, Ha'át'éegoshą' t'áá sáhí naniná? Dinéésh doo ła' bił nani'aash da? 
9:21:002:0	Áádóó David éí náá'iiłniihii Ahímelek ábizhdííniid, Aláahgo naat'áanii t'áadoo le'é yee shich'į' haadzíí' áádóó t'áadoo le'é bich'į' nidéł'a'ígíí índa bee nich'į' haasdzí'ígíí diné t'áadoo ła' bił bééhóziní doo, áádóó shá nidaal'a'í łahgo bił ahándahonisht'ą́. 
9:21:003:0	Éí bąą k'adshą' ha'át'íí nee hólǫ́? Bááh ashdla'go, doodaii' t'áá ha'át'íhída nee hólónígíí shaa díínił. 
9:21:004:0	Áko náá'iiłniihii éí David áyidííniid, T'áá ákwíí jį́ bááh daadánígíí shee ádin, nidi bááh dílyinii t'éí hólǫ́; t'áá hazhó'ó tsíłkéí éí asdzání yits'ąą ádaa ádahalyáanii t'éiyá bá át'é. 
9:21:005:0	Áko David éí náá'iiłniihii áyidííniid, T'áá aaníí táá' yiskánídą́ą́' ch'íníyá yę́ędóó wóshdę́ę́' asdzání nihits'ąą báháná, áádóó t'óó nideikaigo tsíłkéí bits'íís dílzin, áko díí jį́ baa neiikaígíí biniinaa ts'ídá agháago dílzin. 
9:21:006:0	Áko náá'iiłniihii éí bááh nááhániihii hainínil, háálá bááh daadánígíí doo ła' hólǫ́ǫ da, nidi bááh nááhániihii t'éiyá hólǫ́; éí Bóhólníihii binááł nahjį' ahe'níłígíí bitsásk'eh góne' bááh t'ah sidogo anáhá'nííł nít'éé'. 
9:21:007:0	Éí bijį́ diné léi' Saul bá naal'a'í nilį́įgo ákwii naagháá lá, Bóhólníihii binááł t'óó na'áhodidlá; éí Dóweg wolyéego Íídam dine'é nilį́įgo, Saul bilį́į́' yaa ádahalyáanii yinanit'a'í nilį́. 
9:21:008:0	Áádóó David éí Ahímelek áyidííniid, Da' tsiidétáán, doodaii' diltłishísh ła' nee hólǫ́? Jó, shidiltłish, doodaii' shibee na'abaahí t'áadoo ła' níláa da, háálá aláahgo naat'áanii binaanish tsxį́įłgo ła'doonííł. 
9:21:009:0	Áko náá'iiłniihii áhodííniid, Íílah yíldzisdi Filístiya diné Goláíyath síníłhínígíí bidiltłish t'éiyá hólǫ́; jó, na'at'ą́hí bił yisdisgo íífad wolyéii bine'jí sitą́; nínízingo éí nídiitįįh; t'áá éí t'éí hólǫ́. Áádóó David ádííniid, Jó, łahgo ánáánát'éhígíí ádin lá; t'áá éí shaa nítįįh. 
9:21:010:0	David nízhdii'na' áádóó yóó'ajoolwod; Saul béédzíldzidgo t'áá éí bijį́ Gath kin haal'áagi aláahgo naat'áanii Éíkish bich'į' yóó'ajoolwod. 
9:21:011:0	Áko Éíkish bá nidaal'a'í ádahodííniid, Da' díísh doo kéyahdóó David aláahgo naat'áanii át'į́į da? Da' díísh doo haniinaa Ízrel dine'é dahataałgo da'alzhishgo ahidiníłnáago kóda'ahidoo'niid da, Saul éí damíilgo neistseed, índa David éí neeznáá damííl biláahgo neistseed? 
9:21:012:0	Áko David díí saadígíí hajéí bii' baa ákozniizį́į'go Gath kin haal'áagi aláahgo naat'áanii Éíkish t'áá íiyisí béédzísdzííd. 
9:21:013:0	Áádóó dabinááł hasht'ezhdít'éé nít'éé' yę́ę łahgo ájiilaago diigisgi át'éego ízh'diilyaago ch'é'étiingi dáń'dítį́hí bik'ini'dzizoh áádóó hazhéé' éí hadághaa' bąąh náálį́įgo ájiilaa. 
9:21:014:0	Nít'éé' Éíkish éí bá nidaal'a'í áyidííniid, Shoo, díí diné diigis nilį́į́ lá! Áko ha'át'íísh biniyé bił shaa noohkai? 
9:21:015:0	Da' diné diigis nilíiniísh bídin jílį́ dashíínóh'níigo díí diné diigis nilíinii shá nidooneeł biniyé bił shaa noohkai? Da' díísh shighan góne' yah adoogááł lá?
