25:4:001:1	Záíyan atílyaii ła'idzaa
25:4:001:0	Dooládó' óola doo bik'izdiidíin da silį́į́' índa óola bąąh hadoolyį́į'ii łahgo ádzaa ! Diyingo haz'ánídóó tséhígíí kintahgi dah da'diitiingóó nidadeeztąąd .
25:4:002:0	Záíyan biyáázhké ílíinii , óola ąąh hadoolyį́į'ii bíighahgo da'jílíinii dooládó' k'ad hashtł'ish ásaa' ádeił'íinii ádabiilaago baa nitsáhákees da !
25:4:003:0	Mą'ii nidi biyázhí yida'iiłt'o' , nidi shidine'é bich'é'é éí honoojíidi tsídii ástrich wolyéii doo ts'ííd át'éégóó atí'éł'ínígi át'éego atí'éł'į́ silį́į́' .
25:4:004:0	Awéé' da'ałt'o'ii dibáá' bi'niighánígíí biniinaa bitsoo' bizaat'áajį' bídaashjah ; áłchíní éí bááh dayókeed nidi , doo ba'íłtsódí da .
25:4:005:0	Ałtaaskąądí deiyą́ą́ nít'éé' yę́ę kintah da'nítiingóó dichin bi'niighą́ą́' ; éé' tsídídééh nahalingo łichí'ígíí dabi'ée'go dabidi'neesą́ yę́ę ts'iilzéí nehegeehígi naazhjéé' .
25:4:006:0	Shidine'é bich'é'é éí Sádam kin haal'áagi diné kéédahat'į́į́ nít'éé' yę́ę yiláahgo ádił asiih . Éí diné yę́ę jishgishígíí nahalingo t'áadoo hodeelnii'ígóó áho'disdįįd .
25:4:007:0	Ízrel bitahdóó Názarait wolyéii éí yas bilááh át'éego doo bąąh daachiní da índa abe' biláahgo daalgai nít'éé' ; dabits'íís éí tséłchí'í biláahgo t'óó daalchíí' nít'éé' ; tsé sáfair wolyéii nahalingo bídazdilid .
25:4:008:0	K'ad dabinii' éí jeełid ts'ídá biláahgo dadiłhił áádóó kintaa da'aztiingóó nidaakaigo doo béédahózin da ; dabikágí éí ahandaayáago bits'in bídadiiłgango tsin nidahalin .
25:4:009:0	Dichin nidabistseedígíí biláahgo diltłish bee nidabi'diztseedjígo yá'át'ééh , háálá éí dá'ák'ehdi nidant'ą'ii yíká dichin dabííghą́ą́' .
25:4:010:0	Sáanii aa a'ááh danízinii éí t'áá bí bada'áłchíní deishbéézh , áko shidine'é bich'é'é atíbi'diilyaa yę́ędą́ą́' éí bich'iyą' daazlį́į́' .
25:4:011:0	Bóhólníihii báhóóchįįdgo yee atí'éł'íinii yee ła'hoolaa ; t'óó báhádzidgo báhóóchįįdígíí yee atíhoolaago Záíyan kin haal'áagi deidííłjée'go atł'ááh nástł'inii yę́ę iidííłk'ą́ą́' .
25:4:012:0	Jerúsalem bił yah ada'iiztiindę́ę́' Ízrel dine'é yik'ijį' nilíinii áádóó bi'ana'í nilíinii yah adahidoonéłígíí éí nihokáá'góó aláahgo naat'áanii danilíinii índa nihokáá' dine'é t'áá ałtso ákóhodooníiłgo ts'ídá doo dayoodlą́ą da nít'éé' .
25:4:013:0	Ákondi ákódzaa , háálá áhodooníiłii yaa dahalne'ii índa nááda'iiłniihii éí hatahgóó t'áá ákogi ádaat'éii nideistseedgo bidił dadeezna'go éí yee ádił nida'iisíí' áádóó doo ákwii ádáát'įįd da .
25:4:014:0	Bi'éé' dił bee dááchǫ'go diné bidadidoolchiłgi béédaaldzidgo kintahgi da'nítiingóó doo da'oo'į́į da nidahalingo tádadookai .
25:4:015:0	Éí diné ádei łní , T'óó nihadaa'ih ; yówehdi nidaohkai ; nihidadoołchííd lágo ; yówehdi nidaohkai , áko yóó'aheezhjée'go ał'ąą dine'é yitahgóó tádadikáahgo diné ádaaní , Kǫ́ǫ́ doo nináádajikai da doo .
25:4:016:0	Bóhólníihii báhóóchįįdgo tahonooskaadgo doo haa ná'áhodílt'į́į da ; dadine' é éí nááda'iiłniihii índa hastóí á naazíinii doo bił dáálįįd da .
25:4:017:0	Nihíká a'doolwoł biniyé ch'ééh dadíit'į́į'go nihináá' ch'ééh dadeeskai . Hada'iilzíidgo dine'é ła' yisdádanihidooniłgo yídaneel'áanii ádin .
25:4:018:0	Nihikintaa da'aztiingóó dadiikah yę́ęgóó doo nihá yá'át'éeh da , háálá nihaa héeshjéé' . Nihá nidahwiizt'i'jį' áhą́dí hadziih ; beiníłką́ lą́ą , háálá nihá nidahwiizt'i'jį' ahoolzhiizh .
25:4:019:0	Nidanihiniłchéii éí wót'áahdi yá biyi' atsá nidaat'a'ii biláahgo doo nidadilna'góó dziłghą́ą'di nidanihiniłché , índa honoojíidi nihaa dahéeshjéé' .
25:4:020:0	Bóhólníihii ak'ah yik'i yayiiziidgo yiyíísį́į'ii biniit'aa dahinii'náá nít'éé' yę́ę éí atídanihił'íinii bida'a'áán góyaa íítłizh . Éí bee ał'ąą dine'é bitahgóó dahinii'náa doo , dadii'níí nít'éé' .
25:4:021:0	Nił nihoozhǫǫh áádóó nił hózhǫ́ , Íídam bich'é'é nílíinii , Uz kéyahgi kééhót'íinii ; ni ałdó' bee adlání naa hodoołeełgo nídí'níídlį́į́ł áádóó ni'éé' t'áágééd nanináago ídi'díílnííł .
25:4:022:0	Záíyan bich'é'é nílíinii , nibąąhági át'éii biniinaa atíni'dil'ínígíí ła'yidzaa ; doo as'ahgóó yisnááh nílį́į da doo . Nidi ni , Íídam bich'é'é nílíinii , doo yá'áshǫ́ǫ́góó ááníłígíí biniinaa atíndi'doolníiłgo doo ákwii íínít'įįdii bééhodoozįįł .
