25:5:001:1	Aa a'ááh hasin bíká sohodizin
25:5:001:0	Bóhólníihii nílíinii , ánihi'dool'įįdígíí béénílniihgo baa nitsíníkees , áádóó bee nihá nahat'i'ígíí níníł'į́ .
25:5:002:0	Nihíi'ii éí dé'éyóní bich'į' kólyaa , índa danihikin éí nízaadę́ę́' nidaakaii bíí' daazlį́į́' .
25:5:003:0	Áłchíní bizhé'é ádaadinii dasiidlį́į'go nihizhé'é ádaadin , danihimá éí bąąh ádahasdįįdii nidahalin .
25:5:004:0	Tó deiidlánígíí béeso bik'é nidahiilyé , índa chizh nihich'į' nidahaniih .
25:5:005:0	Nidanihiniłchéii nihik'os k'adę́ę dayiisił ; ch'ééh deekaigo doo háádeiilyį́įh da .
25:5:006:0	Ch'iyáán bee hwiih daniidlį́į doo biniyé Ííjip dine'é áádóó Asíriya dine'é biyaajį' ni'ádadee'nil .
25:5:007:0	Danihizhé'é yę́ę ádił nida'iiszíí' , áádóó bikéé' ádahasdįįdgo éí bik'ee ti'dahwii'nííh .
25:5:008:0	Naalte' danilíinii nihindant'áago doo ła' bílák'eedóó háánihó'níłí da .
25:5:009:0	Honoojíidi diltłish báhádzidígíí biniinaa ch'iyáán shódeidiilt'eełjį' nihe'iina' ninádahidiit'aah .
25:5:010:0	T'óó báhádzidgo hodííchįįdígíí biniinaa at'ees biniyé haz'ání góne' hodiłhiłígi át'éego danihikágí dadiłhił .
25:5:011:0	Záíyan kin haal'áádóó sáanii áádóó Júdah dine'é bikin hadaas'áádóó ch'ikéí bił nida'diisdéél .
25:5:012:0	Naat'áanii danilíinii bíla' bee dah dabi'diidlo' , áádóó hastóí danilíinii doo bił dáálįįd da .
25:5:013:0	Tsíłkéí éí da'jik'áago ádaho'diilyaa áádóó ashiiké yázhí éí chizh bił nidazhnit'igo nidajiiłjiid .
25:5:014:0	Hastóí danilíinii yah ada'iiztiingóó aa dahwiinít'į́įjį' ałnáádaakah yę́ę ni' kódaadzaa índa tsíłkéí nida'di'a' yę́ę doo nida'di'a' da daazlį́į́' .
25:5:015:0	Nihijéí bił dahózhóonii doo át'ée da silį́į́' índa da'azhish yę́ę t'óó cha násdlį́į́' .
25:5:016:0	Naat'á ch'ah nihik'eelts'id ; dooládó' hojooba' ániit'ée da ; ádił da'siilziih lą́ą !
25:5:017:0	Díí bąą nihijéí bąąh nidahwiizkaadgo nihiná'oh nídahoobah .
25:5:018:0	Háálá Dził Záíyan bąąh doo naagháhígóó biniinaa mą'ii t'éí yąąh nidaakai .
25:5:019:0	Ni , Bóhólníihii nílíinii , hool'áágóó nanít'á índa bikáá'dóó nahó'áii hool'áádę́ę́' áádóó ahóyéel'áágóó hólǫ́ .
25:5:020:0	Ha'át'íísh biniyé hool'áágóó nihaidiyíínahgo as'ahgóó nahjį' ninihididíí'ááł ?
25:5:021:0	Ách'į' kónanihídlééh , Bóhólníihii nílíinii , áko nich'į' dah nídidiikah ; ałk'idą́ą́' nihídayééłkaah yę́ęgi át'éego ániidí ánánihídlééh .
25:5:022:0	T'ahdiísh t'áá íiyisí doo nihinínízin da ? T'ahdiísh t'óó báhádzidgo nihich'į' náháchį' ?
