16:5:001:1	Ínáoltą'í nehelyé ninít'i'
16:5:001:0	Áádóó diné índa bida'asdzą́ą́ éí yił bik'isóó Jew dine'é danilíinii yik'ijį' danilį́įgo yéego saad dahasłį́į́' .
16:5:002:0	Jó , ła' ádadííniid , Nihí , nihiye'ké áádóó nihitsi'ké t'óó adahonii'yóí ; éí bąą tł'oh naadą́ą́' bá ninádahiijáah doo , áko da'iidą́ą'go dahinii'náa doo .
16:5:003:0	Náánáła' éí ádadííniid , Doo nahałtingóó biniinaa nihidáda'ak'eh índa nihich'il na'atł'o'ii deíl'áhígíí áádóó danihikin bik'é tł'oh naadą́ą́' nihaa dahidoojih biniyé ąąh nidahii'nííł .
16:5:004:0	Áádóó náánáła' ałdó' ádadííniid , Nihidáda'ak'eh índa nihich'il na'atł'o'ii deíl'áhígíí bik'é béeso éí aláahgo naat'áanii bich'į' nidahidiilyééł biniyé nihada'iisnil .
16:5:005:0	Áko la' nihik'isóó t'áá hoł t'áá ahideiilkágí ; niha'áłchíní ałdó' bada'áłchíní t'áá yił ahidaalkágí , áko la' nihiye'ké índa nihitsi'ké hanaalte' danilį́ biniyé haa dahii'níiłgo nihitsi'ké ła' t'áá íídą́ą́' hanaalte' danilį́ , áko t'ą́ą́' náádahidiilnihgi doo bídaniil'ą́ą da , háálá nihidáda'ak'eh yę́ę índa nihich'il na'atł'o'ii deíl'á nít'éé' yę́ę diné náánáła' bee bídahólnííh .
16:5:006:0	Áko hahóół'áhígíí índa díí saad diséts'ą́ą'go t'áá íiyisí bik'ee sháhóóchįįd .
16:5:007:0	Áádóó baa nitsísíkéezgo índa aląąjį' naazíinii áádóó naat'áanii danilíinii dadítehgo ábidishní , T'ááłá'í nootínígo nihik'isóó danilíinii ínáoltą'í nidayiilé biniyé bidadoołkaal . Áádóó diné t'óó ahayóí hach'į' ninínil .
16:5:008:0	Áko áhodííniid , Nihik'isóó Jew dine'é danilíinii ał'ąą dine'é bich'į' nidabi'diiznii' yę́ę t'áá bídaniil'ánígíí bik'ehgo t'ą́ą́' náádahiilnii' . Da' ákoósh nihik'isóó nihaa nidahidoonih ? Éí doodago nihich'į'go daats'í nidahidoonih ? Áko t'óó dadéesxéelgo t'áadoo yee hadaodziihí da .
16:5:009:0	Áádóó ałdó' ádííniid , Kódaoht'ínígíí doo yá'át'éeh da ; nihiDiyin God ts'ídá dadíínóhsingo deínóhkáah doo nít'éé' , háálá ał'ąą dine'é nihi'ana'í danilíinii nihá nidahałt'i' .
16:5:010:0	Shí áádóó shik'isóó índa shá nidaal'a'í daats'í ałdó' béeso áádóó tł'oh naadą́ą́' bik'é ínáoltą'í nihaa daha'níił doo nít'éé' ; baa nánihooshkąąh , haa'íshą' ínáoltą'í nahalyéhígíí nidadiilt'ih .
