16:12:001:1	Nááda'iiłniihii índa Líívai dine'é danilíinii
16:12:001:0	Ákohgo díí náá'iiłniihii áádóó Líívai dine'é danilį́įgo éí Shiyáltiyel biye' Zerábabel áádóó Jéshuwa yił ákóde yíkai : Siiréíyah , Jeremáíyah , Ézra ,
16:12:002:0	Amaráíyah , Málak , Hátash ,
16:12:003:0	Shekanáíyah , Rííham , Mériimath ,
16:12:004:0	Ído , Gíniitho , Abáíjah ,
16:12:005:0	Máíyamin , Meiyadáíyah , Bílgah ,
16:12:006:0	Shiiméíyah , Jóíyarib , Jedéíyah ,
16:12:007:0	Séílu , Éímak , Hilkáíyah índa Jedéíyah daolyé . Díí éí Jéshuwa bíyoołkááłdą́ą́' nááda'iiłniihii áádóó dabik'isóó yiláahgo bídahólnííh nít'éé' .
16:12:008:0	Líívai dine'é danilínígíí éí díí : Jéshuwa , Bínuwai , Kádmiyel , Sheriibáíyah , Júdah índa Matanáíyah ; éí bik'isóó yił ahééh hwiindzin bee bídahólnííh nít'éé' .
16:12:009:0	Náá'áłdó' Bakbakáíyah índa Ánai éí dabik'isóó binaashiijí naazį́įgo ahééh daznízingo nidahojiłáá nít'éé' .
16:12:010:0	Jéshuwa éí Jóíyakim há yizhchį́ , Jóíyakim éí Iiláíyashib há yizhchį́ , Iiláíyashib éí Jóíyada há yizhchį́ ,
16:12:011:0	Jóíyada éí Jánathan há yizhchį́ índa Jánathan éí Jeidúwa há yizhchį́ .
16:12:012:0	Jóíyakim bíyoołkááłdą́ą́' nááda'iiłniihii éí da'azhé'é aláahgo bídahólnííh nít'é'ígíí éí díí : Siiréíyah bits'ą́ą́dóó Miiráíyah , Jeremáíyah bits'ą́ą́dóó Hananáíyah ,
16:12:013:0	Ézra bits'ą́ą́dóó Miishálam , Amaráíyah bits'ą́ą́dóó Jiihohéínan ,
16:12:014:0	Málak bits'ą́ą́dóó Jánathan , Shebanáíyah bits'ą́ą́dóó Jóseph ,
16:12:015:0	Héírim bits'ą́ą́dóó Ádna , Miiréíyath bits'ą́ą́dóó Helkéíyai ,
16:12:016:0	Ído bits'ą́ą́dóó Zekaráíyah , Gíniithan bits'ą́ą́dóó Miishálam ,
16:12:017:0	Abáíjah bits'ą́ą́dóó Zíkrai , Mowadáíyah áádóó Mínyamin bits'ą́ą́dóó Píltai ,
16:12:018:0	Bílgah bits'ą́ą́dóó Shamúwa , Shiiméíyah bits'ą́ą́dóó Jiihánathan ,
16:12:019:0	Jóíyarib bits'ą́ą́dóó Matiinéíyai , Jedéíyah bits'ą́ą́dóó Ázai ,
16:12:020:0	Sáleiyai bits'ą́ą́dóó Káleiyai , Éímak bits'ą́ą́dóó Ííber ,
16:12:021:0	Hilkáíyah bits'ą́ą́dóó Hashabáíyah , Jedéíyah bits'ą́ą́dóó Niithániyel .
16:12:022:0	Iiláíyashib , Jóíyada , Johéínan índa Jeidúwa bídayééłkaahdą́ą́' Líívai dine'é éí dabizhé'é aláahgo bídahólníhígíí dabízhi' naaltsoos bikáá' ádaalyaa ; nááda'iiłniihii ałdó' , éí Pérzha dine'é aláahgo yinanit'a'í Daráíyas nant'á silį́į'jį' daházhi' ádaalyaa .
16:12:023:0	Líívai dine'é dabizhé'é aláahgo bídahólníhígíí éí Iiláíyashib binálí Johéínan bíyoołkááł nít'éé' yę́ęjį' naaltsoos Kránikals wolyéii bikáá' dabízhi' ádaalyaa .
16:12:024:0	Líívai dine'é aláahgo bídahólníhígíí éí díí : Hashabáíyah , Sheriibáíyah áádóó Kádmiyel biye' Jéshuwa éí Diyin God baa nídahoji'nih doo índa ahééh daznízin doo biniyé dabik'isóó yił ahidiníłnaashii nídeidzįįh ; éí yówehdę́ę́' David t'áá hó Diyin God bits'ą́ą́dóó diné jílíinii hadzoodzíi'ii bik'ehgo ałnaashii chodao'į́į́ nít'éé' .
16:12:025:0	Matanáíyah , Bakbakáíyah , Obadáíyah , Miishálam , Tálman índa Ákab díí éí dáńda'ditį́į́h bíighahgi yódí bá dahooghan baa ádahojilyą́ągo dáádílkał yaa áhályání dajílį́į́ nít'éé' .
16:12:002:1	Tsé nástł'inígíí diyingo nideideez'ą́
16:12:026:0	Díí éí Jázadak binálí éí Jéshuwa biye' Jóíyakim wolyéii bíyoołkááłdą́ą́' índa naat'áanii Niihemáíyah áádóó náá'iiłniihii Ézra , éí bee haz'áanii yína' niłtinii bíyoołkááłdą́ą́' kódahóót'įįd .
16:12:027:0	Jerúsalem kin haal'á ditą́ągo binaa ahéé'ítł'inígíí diyingo nidazhdidoo'áałgo Líívai dine'é bił nidahaz'ą́ą́dę́ę́' Jerúsalemjį' nihidoot'ish biniyé hadazneeztą́ą́' , áko baa dahózhǫ́ǫgo áádóó ahééh daznízingo áádóó dahojitaałgo áádóó béésh ahídí'niłgo diits'a'ígíí áádóó tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii índa tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii baa nizhdookah .
16:12:028:0	Sin yee dahataałii dabiye'ké t'áá bí ahíikaigo áłah daazlį́į́' ; Jerúsalem binaagi dadzígaidę́ę́' áádóó Niitófa dine'é bikin dah naazhjaa'dę́ę́' áłah daazlį́į́' .
16:12:029:0	Gílgal kin shijaa'dę́ę́' índa Gííba áádóó Azméíveth binaa kédaayahdę́ę́' ałdó' áłah daazlį́į́' , háálá sin yee dahataałii Jerúsalem binaagi kin dah naazhjaa'góó ádá ádayiilaa .
16:12:030:0	Nááda'iiłniihii índa Líívai dine'é t'áá ałtso t'áá bí áda'dooldee' áádóó diné ałdó' yida'deesdee' dáń'daditį́hígíí ałdó' índa kin haal'á ditą́ągo binaa ahéé'ítł'inígíí ałdó' ákódayiilaa .
16:12:031:0	Áádóó índa Júdah bits'ą́ą́dóó oochíiłii naat'áanii danilínígíí tsé ahénátł'inígíí bighą́ą'jį' hashí'eezh . Áadi ahééh danízingo doonéełii naakijį' aháínil ; éí ła' dah yinéłígíí nish'náajigo ts'iilzéí ch'éhégeeh bá ch'é'étiinígíí bich'į'go tsé ahénátł'in bighą́ą'jį' dah adiiná ;
16:12:032:0	éí bikéédę́ę́' Hoshéíyah áádóó Júdah bits'ą́ą́dóó naat'áanii danilíinii ałníí'dóó yinééł yił dah diiná ,
16:12:033:0	áádóó ałdó' Azaráíyah , Ézra , Miishálam ,
16:12:034:0	Júdah , Bénjamin , Shiiméíyah índa Jeremáíyah daolyéii akéé' yíkai ,
16:12:035:0	áádóó náá'iiłniihii danilíinii dabiye'ké ła' Éísaf biye' Záker , éí biye' Maikéíyah , éí biye' Matanáíyah , éí biye' Shiiméíyah , éí biye' Jánathan , éí biye' Zekaráíyah wolyéii béésh dilní bee í'dílzoołí yoojihgo akéé' yigááł ,
16:12:036:0	áádóó bik'isóó danilíinii : Shiiméíyah , Azéíriyel , Miyaléíyai , Gílalai , Meiyéíyai , Niithániyel , Júdah índa Hanéínai , éí Diyin God bits'ą́ą́dóó diné nilíinii David yę́ę bibee na'a'néhí sin yee nidaanéhígíí yił deíjáahgo bee haz'áanii yína'niłtinii Ézra halą́ąjį' yigááł .
16:12:037:0	Áko tó háálį́įdi dáń'dítį́hígíí binaashiijí David bikin si'ánígíí biláahdi ahéé'ítł'inígíí áádóó ákóde ałk'i hoo'nilí haaz'áhígíí ákóde hadziskaigo ha'a'aah bich'ijí tóogi dáń'dítį́įhjį' akéé' jíkai .
16:12:038:0	Áko ahééh danízinii łahjį' bił ałts'áá'nilii yidááh doonééł biniyé łahjigo yinaashiijí dah diiná , áádóó łahjį' diné ał níí'dóó bił yishnéłígíí éí bii' déédadiljahgo bá ch'íláyi' yaa'áhígíí biláahdi áádóó tsé ahénátł'inígíí bikáá'góó hóteelgo tsé ahénátł'injį' bikéé' niikai ,
16:12:039:0	áádóó Íífreiyim bidáń'dítį́į́h bideijígo índa dáń'dítį́į́h sání bideijígo áádóó łóó' nidahaniihgi dáń'dítį́į́h bideijígo índa Hanániyel ya'iitł'inígíí bideijígo áádóó Míyah ya'iitł'inígíí bideijígo dibé bá dáń'dítį́hí bideíjį' niniikai , áko awáalyaa bíighahgóó dáń'dítį́įhgi hasht'e'deizį' .
16:12:040:0	Áko naakidę́ę́' ahidiikaigo Diyin God bikin si'ánígi ahééh danízinii ákwii deizį' ; shí áádóó bídahólníihii ałníí'dóóígíí ákwii shił naazį́ ;
16:12:041:0	nááda'iiłniihii ałdó' éí : Iiláíyakim , Méíyasíyah , Mínyamin , Maikéíyah , Íílaiyowíínai , Zekaráíyah índa Hananáíyah béésh dilní bee í'dílzoołí dah deítįįhgo naazį́ ,
16:12:042:0	índa Méíyasíyah , Shiiméíyah , Eliyéízar , Ázai , Jiihohéínan , Malkáíyah , Íílam índa Íízer yił naazį́ . Áko sin yee dahataałii éí bibóhólníihii Jezraháíyah yił ts'ídá yéego dahóótáál .
16:12:003:1	Nááda'iiłniihii índa Líívai dine'é dayííłkiin dooígíí
16:12:043:0	Ákwii éí bijį́ ayóó ánéelą́ą́' náádadziisnii'go hoł nidahoozhǫǫh nít'éé' ; Diyin God ił hózhǫ́ ayóó át'éii bee hoł nidahoozhǫǫhgo áhoolaa ; asdzání ałdó' , bada'áłchíní t'áá yił bił nidahoozhǫǫh nít'éé' , áko Jerúsalem kin haal'áagi hoł dahózhónígíí ayóó ánízáádgóó adahideesdláád .
16:12:044:0	T'áá éí hoolzhish yę́ędą́ą́' kin bii' nooh nída'achíihgi naalye'é áádóó nidaneest'ánígíí áádóó átsé neest'áanii índa neeznáago ahádaashjaa'go t'ááłá'í bidadeeshjaa'ígíí yaa ádahalyą́ą dooleełgo ła' nibidee'nil ; diné éí bee haz'áanii bik'ehgo nááda'iiłniihii Líívai dine'é danilíinii baa dadeest'ánígíí kin hadaas'áago binaagóó dáda'ak'ehdę́ę́' neest'áanii áłah áńdajiil'įįh dooleełgo biniyé nihodee'nil , háálá éí Júdah dine'é bił nidahoozhǫǫhgo nááda'iiłniihii áádóó Líívai dine'é nidaal'a' .
16:12:045:0	Áádóó sin yee dahataałii áádóó dáń'daditį́hí yaa ádahalyáanii dabiDiyin God bich'į' nahaghá áádóó í'dídééh ałtso áńdaajiil'įįhgo nidajil'a' nít'éé' ; David yę́ę índa biye' Sálaman yę́ę éí t'áá yee haadzíi'ii bik'eh ádajít'éé nít'éé' .
16:12:046:0	Háálá ałk'idą́ą́' David áádóó Éísaf bíyoołkááłdą́ą́' sin yee dahataałii aláahgo bídahólníhígíí áádóó sin bee Diyin God baa ha'niihii índa bich'į' ahééh hwiindzin nít'éé' .
16:12:047:0	Índa Zerábabel áádóó Niihemáíyah bíyoołkááłdą́ą́' Ízrel dine'é t'áá ałtso éí sin yee dahataałii índa dáń'dítį́į́h yaa ádahalyáanii t'áá ákwíí jį́ baa nídadit'áahii bitaa nída'altso' nít'éé' , áádóó Líívai dine'é baa dahidit'aahígíí diyingo bá nidazhdii'aah nít'éé' , índa Líívai dine'é éí Éran ba'áłchíní ahoolchíiłii yaa deidii'aahígíí diyingo bá nidazhdii'aah nít'éé' .
