16:10:001:0	Áko bízhi' yik'ideizohígíí éí Hakaláíyah biye' Niihemáíyah , naat'áani nilíinii áádóó Zedekáiyah ,
16:10:002:0	Siiréíya , Azaráíyah , Jeremáíyah ,
16:10:003:0	Pásher , Amaráíyah , Malkáíyah ,
16:10:004:0	Hátash , Shebanáíyah , Málak ,
16:10:005:0	Héírim , Mériimath , Obadáíyah ,
16:10:006:0	Dániel , Gíniithan , Bérak ,
16:10:007:0	Miishálam , Abáíjah , Míjamin ,
16:10:008:0	Meiyazáíyah , Bilgéíyai , Shiimáíyah ; íídą́ą́' éí náá'iiłniihii danilį́į́ nít'éé' .
16:10:009:0	Áádóó Líívai dine'é éí ałdó' : Azanáíyah biye' Jéshuwa , Hénadad biye' ła' Bínuwai wolyéii áádóó Kádmiyel
16:10:010:0	índa bik'isóó danilínígíí ła' , Shebanáíyah , Hodáíjah , Kiiláíta , Piiláíyah , Héínan ,
16:10:011:0	Máíka , Rííhab , Hashabáíyah ,
16:10:012:0	Záker , Sheriibáíyah , Shebanáíyah ,
16:10:013:0	Hodáíjah , Béínai , Benáínu .
16:10:014:0	Diné aláahgo bídahólníihii éí díí : Péírash , Péíhath-mó'ab , Íílam , Zátu , Béínai ,
16:10:015:0	Bánai , Ázgad , Bííbeiyai ,
16:10:016:0	Adonáíjah , Bígveiyai , Éídin ,
16:10:017:0	Éíter , Hizkáíjah , Ázer ,
16:10:018:0	Hodáíjah , Héísham , Bíízeiyai ,
16:10:019:0	Héírif , Ánathath , Nííbai ,
16:10:020:0	Mágpiyash , Miishálam , Híízer ,
16:10:021:0	Miishézabiil , Zéídak , Jeidúwa ,
16:10:022:0	Pelatáíyah , Héínan , Anáíyah ,
16:10:023:0	Hoshíya , Hananáíyah , Háshab ,
16:10:024:0	Halóhesh , Píliiha , Shóbek ,
16:10:025:0	Rííham , Hashábnah , Méíyasíyah ,
16:10:026:0	Aháíjah , Héínan , Éínan ,
16:10:027:0	Málak , Héírim índa Béíyanah .
16:10:028:0	Áádóó dine'é łahjį'ígíí nááda'iiłniihii , Líívai dine'é danilíinii , dáádílkał yaa ádahalyáanii , sin yee dahataałii , Néthinim daolyéhígíí índa Diyin God bibee haz'áanii biniyé kéyah naaznilgóó dadine'é yits'ą́ąjį' yits'á'ádadees'nilii bida'asdzą́ą́ , dabiye'ké , dabitsi'ké , bił éédahózinígíí áádóó ak'idadi'yiitįįhígíí t'áá ałtso
16:10:029:0	éí dabik'isóó , naat'áanii danilíinii yihidiikaígíí , hóóyée'go há ha'doodzihgo , doodaii' ádee hadidoodzihgo Diyin God bibee haz'áanii bik'ehgo dajíkááh éí Diyin God bá naal'a'í Mózes yeidiní'áanii bik'ehgo áádóó Bóhólníihii , éí nihiBóhólníihii nilíinii , bibik'eh ó'oo'níiłii t'áá ałtso áádóó yee nihodiyii'aahii índa yee nihwiiz'áanii bída'jósin doo ,
16:10:030:0	áádóó danihitsi'ké éí kéyahdóó diné danilíinii doo bił ahaa dahidii'nił da índa dabitsi'ké éí danihiye'ké doo bił ahaa dahidii'nił da ,
16:10:031:0	áádóó kéyahdóó dine'é t'áá ha'át'íhída ádayiilaaígíí , doodaii' ch'iyáanda na'iini' biniyé ła' háá'áyį́į́h jį́į́ góne' , doodaii' hodílzin jį́ ná'ádleeh góne' yiníjaa'go doo ła' baa nidahidiilnih da , áádóó t'áá tsosts'id nináháhááh góne' doo k'ééda'diilyéeh da doo índa ahąąh hadasiil'áhígíí ahá yóó'adahidiit'aah doo , éí bee ádee hadazdeesdzíí' .
16:10:032:0	Áádóó ałdó' bik'eh hoogáałii ádá ádeiilyaa ; éí t'áá nináháhááh bik'eh nihiDiyin God bikin si'ą́ągi oonishígíí bá shékel wolyéii ałníí' bich'į'dóó anídahii'nił doo ,
