16:1:001:1	Niihemáíyah éí Jerúsalem kin haal'á yá sodoolzin
16:1:001:0	Hakaláíyah biye' Niihemáíyah díí saad yee hahaasdzíí' . Naadiin náhááh góne' Kízlev yiziłígíí binih Shúshan kin haal'áagi aláahgo naat'áanii bighan góne' sédáago
16:1:002:0	shik'is ła' Hanéínai wolyéii Júdah kéyahdę́ę́' diné ła' yił shaa yíkai , áádóó Jew dine'é bi'disnáádóó ła' bééda'iisnii'ígíí áádóó Jerúsalem kin haal'áadi áhoot'éhígíí bína'ídééłkid .
16:1:003:0	Áádóó ádashidííniid , Yisnááh danilį́į́ nít'éé' yę́ę daadziihígíí ninádahaas'náanii éí kéyah haz'ą́ądi ayóó át'éego bich'į' nidahwii'ná áádóó bá nidahat'i' ; Jerúsalem ditą́ągo binaa ahéé'ítł'inígíí naa'adahineezkaad áádóó bidáń'daditį́į́h yę́ę adahideezk'ą́ą́' .
16:1:004:0	Ákódzaadóó kót'éego shił hóóne'go nédá áádóó yícha áádóó baa yínííł nishłį́įgo t'áá díkwíhí yiską́ , áádóó hodíínísingo ch'iyáán ats'ádinisht'ą́ índa Diyin God yá'ąąshdi hólóonii bich'į' sodeeszingo
16:1:005:0	ádíshní , Bóhólníihii Diyin God yá'ąąshdi honílóonii , nánooshkąąh ; ayóó át'éii áádóó t'áá íiyisí bits'ąą hasti'ii nílíinii , Diyin God éí bee aha'deet'áanii áádóó aa a'ááh hasin ayóó'ádanó'níigo bibik'eh ó'oo'níiłii yik'eh dahół'íinii yá hasht'eyósinii nílíinii ,
16:1:006:0	k'ad hazhó'ó ííníłts'ą́ą'go díní'į́į́' , áko ná naal'a'í nishłíinii Ízrel dine'é bił nich'į' ádił nida'ayeelzíi'ii bee nił hashne'go Ízrel dine'é ná naal'a'í danilíinii k'ad t'áá ákwíí jį́ índa t'áá ákwíí tł'éé' bá nich'į' sonídíszįįhígíí yíísíníłts'ą́ą́' ; shí áádóó shizhé'é yę́ę ba'áłchíní da'ahílchíihii bił ádił nida'ayeelzíí' .
16:1:007:0	Nich'į' t'áá íiyisí t'óó baa'ihígi ádeiit'įįd ; nibik'eh ó'oo'níiłii áádóó bee nihodiyíní'áanii índa nibee nihodiit'aahii Mózes bich'į' bee hahíínídzíi'ii doo bik'eh dahoniil'į́į da nít'éé' .
16:1:008:0	Díí béénílniih doo , baa nánooshkąąh : ná naal'a'í Mózes bich'į' bee hahíínídzíí' , Doo ákǫ́ǫ́ ádaoht'į́į́góogo ał'ąą dine'é bitahgóó tanihidínéeshkał ,
16:1:009:0	nidi shaa nánoohkaigo áádóó shibik'eh ó'oo'níiłii bik'eh dahonoł'į́įgo áádóó bida'oł'į́įgo azhą́ nihí ła' yá k'áshbąąhgóó tanihidi'nooskaad nidi , áádę́ę́' áłah ánáhodeeshdlíiłgo ákwii shi'dójíigo ádeeshłíiłgo náhodii'áníjį' ahodeesh'ish .
16:1:010:0	K'ad díí ná naal'a'í áádóó nidine'é éí nibee adziilii bee áádóó nigaan bidziilii bee bik'é niná'íínídláii danilį́ .
16:1:002:1	Niihemáíyah éí Jerúsalemgóó bi'ílnii'
16:1:011:0	Bóhólníihii nílíinii , díí baa nánooshkąąh : ná naal'a'í nishłíinii áádóó ná naal'a'í danilíinii , nízhi' baa nihił dahózhǫ́ǫgo dadíníilzinii hazhó'ó nihisodizin nihá diits'į́į́h áádóó índa ná naal'a'í nishłíinii díí jį́ díí hastiin shaa a'áhí dínóozįįłgo shá yá'át'éehgo ádíílíłígíí biniyé nich'į' sodeeszin . Jó , aláahgo naat'áanii bibee adlání bee baná'áshkááh nít'éé' .
