16:9:001:1	Ízrel dine'é ádił da'asiihígíí Ézra yaa hoolne'
16:9:001:0	Áko íídą́ą́' díí yiziłígíí naadiin dį́į́'góó yoołkáałgo Ízrel dine'é dahodísingo doo da'ayą́ą́góó índa tł'oh azis dabi'ée'go áádóó łeezh yee daalbáago áłah nilį́ .
16:9:002:0	Áádóó Ízrel dine'é éí doo Ízrel dine'é danilíinii t'áá ałtso yits'áskai áádóó ádahodiilzee'go ádił nida'iiszí'ígíí yee ádaa ch'ídahwiist'ą́ , índa dabizhé'é yę́ę doo ákwii ádáát'įįdii baa nidahodzisne' .
16:9:003:0	Áko t'áá ákwii nidzizį́įgo abínídóó ałní'ní'ą́ąjį' naaltsoos biyi'dóó Bóhólníihii haDiyin God bibee haz'áanii dajííłta' , áádóó ałní'ní'ą́ą́dóó i'íí'ą́ąjį' ádił nida'dziisí'ígíí bee ádaa ch'ídahodziist'ą́ áádóó Bóhólníihii haDiyin God bich'į' nidahodzisá .
16:9:004:0	Ákohgo Líívai dine'é ła' Jéshuwa , Béínai , Kádmiyel , Shebanáíyah , Bánai , Sheriibáíyah , Béínai índa Kiinéínai éí ałk'i hoo'nilígi naazį́įgo Bóhólníihii haDiyin God chánahgo bich'į' sodazdoolzin .
16:9:005:0	Áko Líívai dine'é danilį́įgo Jéshuwa , Kádmiyel , Béínai , Hashabnáíyah , Sheriibáíyah , Hodáíjah , Shebanáíyah índa Pethaháíyah ádadííniid , Daohsįįhgo Bóhólníihii nihiDiyin God baa dahohniihgo hool'áágóó ahóyéel'áa doo ; nízhi' ayóó át'éii éí ak'ihojidlíii índa aa ha'niihii biláahgo ayóó át'éego baa ha'niih doo .
16:9:006:0	Ts'ídá t'áá ni t'éiyá t'áá sáhí Bóhólníihii nílį́ ; yádiłhił aghá ánízáadii índa biyi'di dahólóonii t'áá ałtso áádóó nahasdzáán índa bikáá' hólóonii t'áá ałtso , tónteel índa biyi'di dahólóonii t'áá ałtso íinilaa ; ákohgo t'áá ałtso baa áhólyą́ ; yá'ąąshdi diyingo naal'a'í dah deínéehii t'áá ałtso nich'į' nidahałá .
16:9:007:0	Bóhólníihii Diyin God nilíinii nílį́ . Ni lą́ą Éíbram ats'éíníłtį́įgo Kaldíya kéyah bikáa'di Er kin haal'áádóó bił ch'ííní'áazhgo Éíbraham bee yíínízhi' ,
16:9:008:0	áádóó níníł'į́įgo bijéí ba'ahódlíigo nił bééhoozin áádóó bił aha'díínít'ą́ągo Kéínan dine'é , Het dine'é , Ámor dine'é , Píírez dine'é , Jííbas dine'é áádóó Gérgash dine'é dabikéyah ha'áłchíní ahoolchíiłii baa didíí'áałgo bee hwiinił'a' índa ádííníniidígi át'éego íinidzaa , háálá t'áá ákogi áánííł .
16:9:009:0	Ákohgo danihizhé'é yę́ę Ííjip kéyahdi bich'į' nidahwii'náago yiniłtsą́ áádóó Tónteel Łichíi'ii bíighahgi nída'ookąąhgo disíníts'ą́ą́' ,
16:9:010:0	áádóó bee éédahózinii índa álílee ayóó ádaat'éii Féro bik'ijį' kwíinilaa , índa bá nidaal'a'í t'áá ałtso áádóó bikéyahgi diné kéédahat'ínígíí t'áá ałtso bik'ijį' ádeinilaa , háálá nił bééhózingo ádaa daha'niihgo doo ts'ííd ádahóół'įįd da . Áko nízhi' bééhózíní íinilaa , díí jį́ át'éhígi át'éego .
