16:4:001:1	Nidaalnishii éí ana'í yik'ijį' danilį́įgo hada'asííd
16:4:001:0	Nidi ákódzaadóó Sanbálat nihí tsé nídeiitł'inígíí yaa hodiizts'ą́ą'go yik'ee t'áá íiyisí báhóóchįįd áádóó t'áá íiyisí hashké niidzį́į'go Jew dine'é yá nahast'i' .
16:4:002:0	Áko bik'isóó áádóó Samériya dine'é bisiláo dah yinéełii áyidííniid , Díí lá ha'át'íí Jew dine'é t'óó nidanil'eełii yaa naakai ? Bee ohoníłdziliísh ádá ádeiilééh ? Nááda'iiłniihiísh doo ? T'áá ła'a jį́įjį'ísh ałtso ła'deidoolíiłgo ádaat'į́ ? Da' tsé ts'iilzéí bił dadíílidgo yáádaa'áhígíí bitahdóósh tsé háádeidiyoo'nił ?
16:4:003:0	Íídą́ą́' Áman dine'é Tobáíyah éí Sanbálat yíighahgóó sizį́įgo ádííniid , Azhą́ tsé nídadziztł'in nidi , mą'ii dootł'izhí éí yighą́ą́' haaswodgo hats'ą́ą́' tsé ninéidoołkał .
16:4:004:0	Áko Niihemáíyah ání , Shoo , nihiDiyin God nílíinii , nihidiits'į́į́h , háálá nihi'doot'įįd , áádóó yee nihá nidahałt'i'ii bik'ijį' nináhádleehgo ánílééh índa kéyah yisnááh hólǫ́ǫdi dabidilnééh .
16:4:005:0	Doo ákwii ádaat'ínígíí t'áadoo bits'ą́ą́' náhidíł'įįhí áádóó ádił da'iilzíhígíí t'áadoo t'óó k'éé'ííłchǫǫłí , háálá tsé deitł'inígíí dabinááł ná dahóółchįįd .
16:4:006:0	Áko tsé inástł'inígíí nídeiitł'in nít'éé' , áádóó ałníi'jį' ałtso ahééda'siitł'in , háálá bóhoneedlį́įgo diné nidaashnish .
16:4:007:0	Nidi ákódzaadóó Sanbálat áádóó Tobáíyah áádóó Aréíbiya kéyahdę́ę́' dine'é áádóó Áman dine'é índa Áshdad dine'é éí Jerúsalem kin haal'á binaa ahééda'astł'ingo hasht'enálnééh áádóó ná'ástł'inígíí nída'deeshgizhgóó háádahodilbingo dayíínii'go t'áá íiyisí yik'ee bádahazhchįįd ,
16:4:008:0	áko hondahaz'ą́ągo Jerúsalem yik'iidoojahgo deidínóołtł'ah biniyé t'áá ła' bizhi'ee ahíikai .
16:4:009:0	Ákót'ée nidi nihiDiyin God bich'į' sodadiilzingo t'áá ákwíí jį́ índa t'áá ákwíí tł'éé' honiyé ha'ídées'į́'í nidasii'nil .
16:4:010:0	Áko Júdah dine'é ádadííniid , Ts'iilzéí nideiyéhígíí dadínéesna' ; ts'iilzéí t'óó ahayóí yáádaa'áago biniinaa tsé nídadiitł'į́łígíí doo bídaniil'ą́ą da .
16:4:011:0	Áádóó nihi'ana'í ádadííniid , T'áadoo hoł béédahóziní índa t'áadoo dazdilyésí honídiijahgo nidahodiiltsił , áko nidajilnishígíí t'óó bik'izhdidookah .
16:4:012:0	Nít'éé' Jew dine'é éí ana'í bíighahgóó kéédahat'ínígíí nídaakahgo t'áá ahą́ą́h ádanihiłní , T'áá ałtsodę́ę́' ana'í nihaa nidahaakaigo nihá nahodít'é .
16:4:013:0	Éí bąą tsé inástł'inígíí bine'dę́ę'go t'áá íiyisí wóyahgo nahaz'ą́ą́góó t'áá éí náhoot'į́įgo nahaz'ą́ą́góó diné dabik'éí bik'ehgo diltłish índa tsiidétáán áádóó k'aayééł yee dahéeshjée'go íishłaa .
16:4:014:0	Áko déé'į́į'go yiizį'go aląąjį' naazíinii índa naat'áanii danilíinii áádóó diné t'áá ał tso ábidííniid , T'áadoo béédaałdzidí ; Bóhólníihii ayóó át'é áádóó bik'ee hóyéé' ; éí béédaałniihgo nihik'isóó áádóó nihiye'ké índa nihitsi'ké áádóó niheda'asdzą́ą́ índa danihighan bich'ą́ą́h nidaahbaah .
16:4:015:0	Ákódzaadóó nihi'ana'í danilíinii bindahat'a' nihił béédahoozinígíí áádóó t'áadoo násdlį́'ígóó Diyin God hats'ą́ą́' áyiilaaígíí yaa dahodiizts'ą́ą'go , áko nihí t'áá áníiltso t'ááłá'í niitínígo tsé ahénátł'iníjį' dah nídahidiikaigo nídadeelnish .
16:4:016:0	Áádóó bik'ijį' shá nidaal'a'ígíí ałníí'dóó nidaalnishgo łahjį' ałníí'dóóígíí éí tsiidétáán áádóó naagé áádóó k'aayééł índa béésh éé' dah deíjááh nít'éé' , índa naat'áanii danilíinii Júdah dine'é t'áá ałtso chánah ádayósin nít'éé' .
16:4:017:0	Tsé deitł'inii áádóó tsé nidayiijáhígíí éí t'ááłá'í nítínígo dabigaan t'ááłáhíjí yee nidaalnishgo łahjí éí bee na'abaahii dah deíjááh nít'éé' .
16:4:018:0	Áádóó tsé deitł'inii t'ááłá'í nítínígo boshk'iizh diltłish bitsiist'adadí'áago da'aztł'in . Shíighahdóó éí deenásts'aa' bidee' bee í'dílzoołí yee anídí'niihígíí sizį́į́ nít'éé' .
16:4:019:0	Áko aląąjį' naazíinii áádóó naat'áanii danilíinii índa diné t'áá ałtso ábidííniid , Naanish t'óó ahayóí áádóó ayóó ánízáágóó bi'oonish índa da'iitł'inígíí nízaadgóó t'áá ał'ąą dah nishiijaa'go tsé deiitł'in .
16:4:020:0	T'áá haa'ída deenásts'aa' bidee' bee í'dílzoołí dasidoots'ą́ą'go áajį' nihaa hidoohjah ; Diyin God éí nihá nidoobah .
16:4:021:0	Ákohgo deíníilníishgo diné ałníí'dóóígíí t'óó haiłkááhdą́ą́' hiłiijį́įhgo sǫ' haaldahjį' tsiidétáán dah deíjáah łeh .
16:4:022:0	T'áá ákwii nahalzhiishgo diné ábidííniid , T'ááłá'í jinítínígo há naal'a'í bił t'áá Jerúsalem kin haal'áagi dazhnijah doo ; éí tł'ée'go nihik'ihada'asíid doo , áádóó jį́įgo nidaalnish doo .
16:4:023:0	Áko shída , shik'isóóda , shá nidaal'a'ída , diné hada'asíidii shikéé' naakaígíida , t'áadoo nihi'éé' hadadii'nil da , t'áá hazhó'ó nidadiibeełgo t'éí háádadii'nił nít'éé' .
