4:22:001:1	Béílak éí Béílam yíká i'ííł'a'
4:22:001:0	Áádóó Ízrel dine'é dah náádii'náago Jériko kin haal'áii binaashiijí Jórdan tooh nílíní ha'a'aahjígo Mó'ab kéyah nidzisgaigi niníná .
4:22:002:0	Áko Zípor biye' Béílak wolyéii Ízrel dine'é éí Ámor dine'é ádayííł'įįdígíí t'áá át'é bił bééhózin .
4:22:003:0	Ákohgo Mó'ab dine'é éí t'óó báhádzidgo bił yéé' dahazlį́į́' , háálá Ízrel dine'é ayóó ánéelą́ą'go yinééł , áádóó Mó'ab dine'é éí Ízrel dine'é yik'ee yéé' bii' dahazlį́į'go niseekai .
4:22:004:0	Áko Mó'ab dine'é éí Mídiyan dine'é hastóí aląąjį' naazíinii ádeidííniid , K'ad díí diné t'óó ahayóí . Béégashii éí tł'oh ałtso yaa nahodikahígi át'éego yinéłígíí nihinaagóó kéédahat'ínígíí ałtso yił nidínóodah . Áko Zípor biye' Béílak wolyéii éí íídą́ą́' Mó'ab dine'é aláahgo yinanit'a'í nilį́į́ nít'éé' ;
4:22:005:0	éí bąą hane' nidei'áhí dah deidiyiił'a'go bidine'é ba'áłchíní dabikéyahgi tooh nílínígíí bíighahgi Pííthor hoolyéejį' Bíyor biye' Béílam wolyéii hágo deididooniił biniyé yíká i'ííł'a'go ání , Jó , Ííjip kéyahdę́ę́' dine'é léi' ch'ídahaazná ; jó , kwe'é kéyahgóó t'áá át'é yíl'á , áko shinaashiidę́ę́' nidahaazná .
4:22:006:0	Éí bąą k'ad nánooshkąąh , shaa díínááł ; díí dine'é shá bidíníídzįįł , háálá shilááh ádabóodziil ; t'áá shį́į́ bik'eh dideeshdleełgo bik'idiyaa dadiidleeł , áádóó kéyahdóó ch'íhodínéeshkał ; jó , t'áá háiida bik'idahojidliihígíí éí bik'idahojidliih , índa t'áá háiida hóyée'jį' bá handzihígíí éí hwíínídziih .
4:22:007:0	Áádóó Mó'ab dine'é índa Mídiyan dine'é hastóí aląąjį' naazíinii éí na'ídídóokił biniyé bee iidookąąłii dah deidiijaa'go Béílam yaa yíkaigo Béílak áníinii yee yił dahoolne' .
4:22:008:0	Áko Béílam áhodííniid , T'áá kǫ́ǫ́ danihiidoołkááł , áko Bóhólníihii shich'į' yee haadzí'ígíí éí bee nihił náhodeeshnih . Ákohgo Mó'ab dine'é aląąjį' naazíinii éí Béílam bighangi dabiiską́ .
4:22:009:0	Áádóó Diyin God éí Béílam yaa honíle'go ííłní , Diné nił naháaztánígíí lá háí ádaat'į́ ?
4:22:010:0	Áko Béílam éí Diyin God ííłní , Zípor biye' Béílak éí Mó'ab dine'é aláahgo binanit'a'í nilį́įgo shaa'níł'a'go ání ,
4:22:011:0	Shoo , Ííjip kéyahdę́ę́' dine'é léi' ch'ídahaaznáago éí kwe'é kéyahgi t'áá át'é yíl'á , áko k'ad shaa nínáahgo shá bidiníídzįįł ; t'áá daats'í bik'eh dideeshdleeł bíneesh'ą́ągo shaa ch'íhidoojah .
4:22:012:0	Áádóó Diyin God éí Béílam ííłní , Doo bił nihidííkah da ; díí dine'é doo bidíníídzįįł da , háálá éí bik'idahojisdli' .
4:22:013:0	Abínígo Béílam nídii'na'go Béílak bits'ą́ą́dę́ę́' naat'áanii yíkaígíí ííłní , Nihílááh , nihikéyahgóó nídóhkááh ; jó , nihił nihéédeeshkahgi t'áadoo Bóhólníihii shadi'ní'ą́ą da .
4:22:014:0	Ákót'éego Mó'ab dine'é binanit'a'í danilíinii dah nídiikaigo Béílak yaa nákaigo ádaaní , Béílam éí doo nihił nihideeshkah da , nihiłní .
4:22:015:0	Nít'éé' Béílak éí naat'áanii átséhígíí bilááh ánéelą́ą'go t'áá íiyisí aláahgo ił danilíinii anááyííł'a' .
4:22:016:0	Áko éí Béílam yaa yíkaigo ádeidííniid , Zípor biye' Béílak kóní , Baa nánooshkąąh , bíni' t'áadoo naniníłtł'aaígóó shaa nínááh ,
4:22:017:0	háálá t'áá íiyisí ayóó át'éego ił ídlį́ bee náás nideesht'eeł , áádóó t'áá áshidinínígi ádeeshnííł , áko t'áá shǫǫdí , shaa nínáahgo díí dine'é shá bidíníídzįįł .
4:22:018:0	Áádóó Béílam éí Béílak yá nidaal'a'ígíí áyidííniid , Azhą́ béésh łigaii áádóó óola Béílak bikin bii' hadeezbingo sheidee'aah nidi , Bóhólníihii shiDiyin God áníinii doo bi'oh , doodaii' doo bilááh ádeeshłíił da .
4:22:019:0	Éí bąą k'ad t'áá shǫǫdí , t'áá kǫ́ǫ́ danihiyółkááł , áko átsé shił bééhodoozįįł : Bóhólníihii ha'át'íí nááshididoo'niił .
4:22:002:1	Diyingo naal'a'í áádóó Béílam bitélii
4:22:020:0	Áko Diyin God éí tł'ée'go Béílam yaa honíle'go ííłní , Diné naa yíkaigo tį' dandííniidgo nídidíí'nahgo bił dah nídidííkah , nidi saad bee nich'į' hahasdziihígíí t'éiyá bi'íínísin doo .
4:22:021:0	Áádóó abínígo Béílam nídii'na'go bitélii yik'i dah aznil áádóó Mó'ab dine'é bindanit'a'í yił dah diikai .
4:22:022:0	Nidi dashdiiyáhígíí biniinaa Diyin God báhóóchįįd , áko Bóhólníihii bidiyingo naal'a'í hak'ijį' nilį́įgo hadáahgi yiizį' . Áko télii hoł yildlosh áádóó há naal'a'í nidilt'éego hoł yikah .
4:22:023:0	Áko télii éí Bóhólníihii bidiyingo naal'a'í diltłish dah yootį́įłgo atiingi sizį́įgo yiyiiłtsą́ , áko télii éí atiin k'ee'ąą haaldloozhgo t'áá áhoodzaajigo hoł niheeldloozh , nít'éé' Béílam éí atiinjį' télii bił anídooldloosh biniyé télii yijaat'ah adziisxaal .
4:22:024:0	Nidi ch'il na'atł'o'ii yíl'áhígíí bita'gi tsé ałts'ą́ą́hjí yítł'ingo atiinígi Bóhólníihii bidiyingo naal'a'í yiizį' .
4:22:025:0	Áko télii éí Bóhólníihii bidiyingo naal'a'í yiyiiłtsą́ągo tsé yítł'inígíí hoł yídeezgohgo tsé bik'ijį' Béílam bikee' yishjizh , áko Béílam éí télii yijaat'ah anáádziisxaal .
4:22:026:0	Áádóó Bóhólníihii bidiyingo naal'a'í náás náádeesdzáago t'áá íiyisí áhoołts'óózígo ahóót'i' léi' góne' yiizį'go nish'náajigo índa nishtł' ajigo doo dashdooya' át'éégóó dáádinízį́ .
4:22:027:0	Áko télii éí Bóhólníihii bidiyingo naal'a'í yiyiiłtsą́ągo Béílam yił neeztį́įgo Béílam báhóóchįįdgo bigish yee télii néineesxaal .
4:22:028:0	Áádóó Bóhólníihii éí télii hayiyííłdzíi'go Béílam ííłní , Haash niishłaago díí táadi náshiníníłhaal ?
4:22:029:0	Áko Béílam éí télii ííłní , Jó , t'óó shá nahółt'i' , éí bąą ; diltłish ła' dah naashtingo éí k'ad nidiyeeshxééł nít'éé' .
