4:31:001:1	Mídiyan dine'é k'éébi'diilyaa áádóó binaalye'é bąąh dahoołdee'
4:31:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
4:31:002:0	Ízrel dine'é bá Mídiyan dine'é k'éédidíídlííł áádóó bik'ijį' índa danik'éí yę́ę aheeskaigóó dííleeł .
4:31:003:0	Áko Mózes éí diné yich'į' haadzíi'go ání , Nihitahdóó ła' anaa' biniyé hasht'e'ádadidoołníiłgo bíni' Mídiyan dine'é yich'į' nídahididoobahgo Bóhólníihii yá k'éédeididoodlííł .
4:31:004:0	Ízrel dine'é danilíinii t'áá ałtso bitahdę́ę́' t'ááłáhídi mííl ádanéelą́ą'go anaa'góó bidadi'yoołnih .
4:31:005:0	Áko Ízrel dine'é t'óó ahayóí daamiilgo bits'ą́ą́dóó t'ááłáhídi míilgo bits'áhaas'nil ; t'áá ałtsogo naakits'áadadi míilgo anaa' yiniyé hasht'e'ádadiilyaa .
4:31:006:0	Ákohgo Mózes díí anaa'góó diné bida'dziis'nii' ; diné t'áá ałtso bitahdę́ę́' t'ááłáhídi mííl ádanéelą́ą'go náá'iiłniihii Eliyéízar biye' Fíniyas éí dadílyingo chodao'íinii áádóó béésh łigaii dilní bee áńdazhdi'niih dooígíí yoojihgo bizh'níłnii' .
4:31:007:0	Áko Mídiyan dine'é bich'į' anaa' dahodzisłį́į́' ; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo diné danilínígíí t'áá ałtso nideistseed .
4:31:008:0	Mídiyan dine'é aláahgo binanit'a'í danilíinii nideistseed ; diné nidabi'diztseedígíí bitahdóó aláahgo naat'áanii nideistseed ; éí Íívai , Rííkem , Zer , Her índa Rííba daolyé ; Bíyor biye' Béílam ałdó' diltłish yee dayiisxį́ .
4:31:009:0	Ízrel dine'é éí Mídiyan dine'é asdzání danilíinii t'áá ałtso áádóó ba'áłchíní t'áá bił yisnááh ádayiilaa ; bibéégashii áádóó bidibé índa binaalye'éda deisná .
4:31:010:0	Bikin hadaas'áhígi kéédahat'į́į́ nít'éé' yę́ęgóó áádóó bikin naazhjaa'ígíí t'áá át'é adeideesk'ą́ą́' .
4:31:011:0	Áko Mídiyan dine'é yę́ę dabinaalye'é t'áá át'é áádóó daasnánígíí t'áá ałtso éí diné danilínígíí áádóó da'alį́'ígíí t'áá bił dadzisná .
4:31:012:0	Áádóó deisnáanii áádóó yąąh da'ííghą́ą'ii índa dabinaalye'é éí Mózes áádóó náá'iiłniihii Eliyéízar índa Ízrel dine'é dah yinéełii éí Jériko kin haal'áádóó Jórdan tooh ha'naa Mó'ab kéyah dzígaigi dah yinéełgo áadi yaa áłah ádayiilaa .
4:31:013:0	Áko Mózes áádóó náá'iiłniihii Eliyéízar índa dah oonéełii binanit'a'í t'áá ałtso éí níbaal haal'á bits'áhwiiní'ą́ądi siláo bidááh jiiskai .
4:31:014:0	Ákohgo Mózes éí siláo dah deínéehii binanit'a'í danilíinii éí mííl daníjaa'go índa neeznádiin daníjaa'go yinanit'a'í danilíinii anaa'dę́ę́' ná'nánígíí yich'į' báhóóchįįd .
4:31:015:0	Áko Mózes áhodííniid , Asdzáníísh t'áá ałtso áá dah soohsįįd ?
4:31:016:0	Shą́ą́' , Píyor hoolyéedi Béílam bina'nitin bik'ehgo díí asdzání éí Ízrel dine'é danilíinii Bóhólníihii yich'į' doo ákǫ́ǫ́ ádaat'į́į́góó ádayiilaa , áko Bóhólníihii bidine'é naałniih bitah níłnii' .
4:31:017:0	Áko k'ad áłchíní bitahdóó ashiikéhígíí ałtso nidaałtseed áádóó asdzání éí diné hoł nídabiilkááh nít'é'ígíí ałtso nidahołtseed .
4:31:018:0	Nidi at'ééké t'ahdoo diné yeinít'įįhii t'áá ałtso dahinánígíí éí danihíí' doo .
4:31:019:0	Áádóó diné ła' soołhínígíí , doodaii' ats'íís daaztsą́ągo bíhidoohnáa'ii éí tsosts'id yiską́ąjį' níbaal haal'á bits'áhwiiní'ą́ądi nihighan doo , áko nihí áádóó yisnááh óołaaígíí biłgo táá' yiłkaah bijį́ áádóó tsosts'id yiłkaah bijį́ diyingo ádadidoołdah .
4:31:020:0	Áko danihi'éé' t'áá át'é áádóó akágí bee ádaalyaii t'áá át'é áádóó tł'ízí bighaa' bee ádaalyaii t'áá át'é índa ha'át'íhída tsin bee ádaalyaii t'áá át'é bąąh dahodoołdah .
4:31:021:0	Áádóó náá'iiłniihii Eliyéízar éí diné nidaazbaa'dę́ę́' nákaígíí ííłní , Díí bee haz'áanii bik'ehgo hoogáałii Bóhólníihii éí Mózes yich'į' yee haadzíí' ;
4:31:022:0	óola , béésh łigaii , béésh łitsoii , béésh nitł'izii , béésh kágí , béésh diłhį́įhii ,
4:31:023:0	índa t'áá ha'át'íhída kǫ' yídaníłdzilii t'éiyá kǫ' biih dadoohniłgo bida'didoodah . Ákót'ée nidi tó t'áá sahdii nideet'áanii bee i'didéehii bik'ídadoołtah . Áádóó t'áá ha'átíhída kǫ' doo yídaníłdzilii éí tó bee i'didéehii biih dadoohnił .
4:31:002:1	Naalye'é aháá'nil
4:31:024:0	Áko tsosts'id yiską́ą́ góne' nihi'éé' dadoohgis , áko nihida'deezdee'dóó bik'ijį' níbaal haal'áajį' yah áńdoohkah .
4:31:025:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
4:31:026:0	Ni áádóó náá'iiłniihii Eliyéízar índa dah oonéełgi azhé'é á naazíinii éí daasnánígíí t'áá ałtso diné danilínígíí áádóó da'alį́'ígíí t'áá bił deídóołtah .
4:31:027:0	Áko daasnánígíí ahádadoohniłgo nidaazbaa'ígíí éí ałníí'dóó baa dadoohnił áádóó łahjį'ígíí éí dah oonéłígíí baa dadoohnił .
