4:18:001:1	Nááda'iiłniihii áádóó Líívai dine'é bá bee haz'áanii
4:18:001:0	Áko Bóhólníihii éí Éran áyidííniid , Níbaal bii' hodílzingi nahadláhígíí bik'ijį' doo ákwii ádaał'į́į́góó éí ni áádóó niye'ké áádóó nizhé'é yę́ę bits'ą́ą́dóó náás ahoolchíiłii bił bá nináhinohdéeh doo , áádóó ni áádóó niye'ké biłgo éí náá'iiłniihii danohłį́įgo doo ákwii ádaaht'į́į́góó bá nináhinohdéeh doo .
4:18:002:0	Áádóó nik'isóó Líívai dine'é danilíinii éí nizhé'é yę́ę bidine'é bits'ą́ą́dóó danilį́įgo bił nídííkah , áko éí nihíká anájahgo ni áádóó niye'ké biłgo níbaal bii' hodílzinii bii' neeznáago bik'eh ó'oo'níi łii bee bééhániihii si'ání góne' nihá nidaal'a' doo .
4:18:003:0	Áko bee nihídahólníihii éí yaa ádahalyą́ą doo , índa níbaal bii' hodílzinii t'áá át'é yaa ádahalyą́ą doo , nidi łeets'aa' chodao'íinii dadílzinígíí áádóó bikáá' náá'iiniihí éí doo yit'áahjį' nidaakai da doo , ákót'éego éí bí índa nihí ałdó' doo bił dadínóohnéeł da .
4:18:004:0	Ákohgo nihíká anídaajahgo níbaal bii' dahozdísinii yaa ádahalyą́ą doo ; níbaal bii' hodílzinii bina'anishgi t'áá át'é yindaal'a' doo ; doo Líívai dine'é nilíinii doo ła' nihit'áahjį' nidaakai da doo .
4:18:005:0	Áádóó nihí éí hodiyingo haz'ánígi áádóó bikáá' náá'iiniihí baa ádahołyą́ą doo , ákohgo Ízrel dine'é t'óó báhádzidgo bee atí'él'íinii doo bik'i nááhwiidoodleeł da .
4:18:006:0	Shoo , shí éí Ízrel dine'é bitahdę́ę́' nihik'isóó Líívai dine'é nídiinil ; Bóhólníihii bá aa yílyáii át'éego nihaa diní'ą́ , áko níbaal bii' dahozdísinii yindaal'a' doo .
4:18:007:0	Éí bąą ni áádóó niye'ké bił náá'iiłniihii danohłį́į́jí nihindaanishígíí bikáá' náá'iiniihí binaagi t'áá át'é báhígíí índa dáádiníbaal bine'jíígíí baa ádahołyą́ą doo ; díí nihindaanish át'ée doo ; náá'iiłniihii dadoohłeeł biniyé naanish nihaa diní'ą́ , áko doo náá'iiłniihii nilíinii éí áajį' niníyáhígíí hodi'yoolyééł .
4:18:008:0	Áádóó Bóhólníihii éí Éran ííłní , Jó , Ízrel dine'é diyingo shaa nídeidiyii'aahígíí bits'ą́ą́dóó bił dah nídi'diilnihgo náádahaniihii t'áá át'é ałdó' níí' át'é ; éí ni'doolzį́'ígíí bąą naa diní'ą́ , áádóó hool'áágóó bik'eh hoogáałii át'éego niye'ké bił nihaa diní'ą́ .
4:18:009:0	Áko aláahgo diyingo náádahizhdoołnihii doo doodlidígíí éí ła' ni'ą́ą́hálzįįh : ak'áán náádahizhdoołnihii , ádił oodzíí'jí náádahizhdoołnihii áádóó doo ákǫ́ǫ́ ájíít'įįdjí náádahizhdoołnihii éí t'áá át'é shich'į' náádahizhdoołnihgo éí ni índa niye'ké bił aláahgo nihá dílzin doo .
4:18:010:0	Áádóó éí aláahgo hodiyingo haz'ą́ągi nídaahdį́įh doo ; diné nohłíinii t'áá ánółtso díí nídaahdį́įh doo ; éí nihá dílzingo át'ée doo .
4:18:011:0	Díí éí níí' dooleeł : Ízrel dine'é aa deidiyii'aahii , t'áá éí bił dah nídi'diilnihgo nááhániihii , niye'ké índa nitsi'ké bił nihaa diní'ą́ ; éí ahóyéel'áágóó bee nihoní'áanii át'é ; nighandóó t'áá ałtso ádąąh dah haldeehígíí t'éí deiyą́ą doo .
4:18:012:0	Áádóó ak'ah áádóó wáin índa tł'oh naadą́ą́' t'áá át'é agháago yá'át'éehii éí áłtsé daneest'áanii át'éego Bóhólníihii yaa nídeidiyii'aahígíí nihaa diní'ą́ .
4:18:013:0	Kéyah bikáa'gi t'áá ha'át'íhída átsé nídant'į́hígíí Bóhólníihii yaa nídeidiyii'aah dooígíí éí naa diní'ą́ ; nighandóó t'áá ałtso ádąąh dah haldéhígíí t'éí deiyą́ą doo .
4:18:014:0	Ízrel dine'é bitahgi dílzingo nidahideest'áanii t'áá ałtso níí' dooleeł .
4:18:015:0	Áádóó alą́ąjį' nidahachíhígíí t'áá ałtso éí diné , doodaii' naaldlooshii éí Bóhólníihii baa náhidit'aahígíí ni doo , nidi diné alą́ąjį' nidahachíhígíí t'ą́ą́' nááhidííłnih ; naaldlooshii doo daadáanii áłtsé nidahachíhígíí t'ą́ą́' nááhidííłnih .
4:18:016:0	Índa t'ą́ą́' náádahidoonihii éí t'ááłá'í bee nídeezidígíí t'ą́ą́' nááhidííłnih ; bą́ą́h aníłínígíí bik'ehgo béésh łigaii ashdla' shékel wolyéii hodiyingo haz'ą́ą́ góne' choo'íinii bik'ehgo t'ą́ą́' nááhidííłnih ; shékel wolyéii naadiin gíírah bą́ą́h ílį́ bíighah .
4:18:017:0	Nidi béégashii , doodaii' dibé , doodaii' tł'ízí áłtsé nidahachíhígíí éí doo t'ą́ą́' nááhidííłnih da , háálá éí dadílzin ; éí dabidiłígíí bikáá' náá'iiniihí bik'ídííłtah , índa dabik'ah didííłił ; éí Bóhólníihii bich'į' łikání halchinii didlidgo nááhániihii át'ée dooleeł .
4:18:018:0	Áko dabitsį'ígíí éí nihíí' nidahaleeh doo ; ajéíts'iin náásee bi ł nídi'dilnihígíí áádóó ajáád nish'náájíígíí nihíí' neheleehígi át'éego nihíí' doo .
4:18:019:0	Bił dah nídi'diilnihgo náádahaniihii dílzinígíí t'áá át'é éí Ízrel dine'é Bóhólníihii yaa deidiyii'aahígíí niye'ké índa nitsi'ké bił nihaa diní'ą́ ; éí ahóyéel'áágóó bee nihoní'áanii át'é ; áshįįh bee aha'deet'áanii ahóyéel'áágóó Bóhólníihii binááł ni áádóó na'áłchíní náás ahoolchíiłii nihich'į' bee nihodiní'ą́ .
4:18:020:0	Áko Bóhólníihii éí Éran ííłní , Dabikéyah doo ła' nihíí' da doo , doodaii' bitahdóóígíí doo ła' nihíí' da doo , Ízrel dine'é bitahgi shí nihíí' nishłį́ .
4:18:021:0	Áádóó Ízrel dine'é ninádeidiyii'aahii t'áá át'é neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Líívai dine'é daabíí' dooleełgo baa diní'ą́ ; jó , éí yikiin níbaal bii' dahozdísinii yindaal'a'go nidaalnish .
4:18:022:0	Áádóó Ízrel dine'é níbaal bii' dahozdísinii yíighahjį' ts'ídá doo nidaakai da doo , ákódaadzaago ádił da'doolzihgo dadínóonééł .
4:18:023:0	Nidi Líívai dine'é t'éiyá níbaal bii' dahozdísinii yindaal'a' doo , áádóó doo ákwii ádahat'íinii yá nandeeh doo ; díí nihá bee nihoní'ą́ągo ahóyéel'áago náás da'ahíínółchíih doo , áko Ízrel dine'é bitahdóó bíí' ninádahadleeh dooleełii ádin doo .
4:18:024:0	Nidi Ízrel dine'é éí neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Bóhólníihii yaa nídeidiyii'aahígíí Bóhólníihii bich'į' bił dah nídi'diilnihgo náádahaniihii Líívai dine'é daabíí' dooleełgo baa diní'ą́ ; éí bąą ábidííniid , Ízrel dine'é bitahdóó danihíí' dooleełii ádin doo .
4:18:025:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání ,
4:18:026:0	Kót'éego Líívai dine'é bich'į' handziihgo ábidiní , Ízrel dine'é éí Bóhólníihii yaa nídeidiyii'aahii danihíí' dooleełgo nihaa diní'ánígíí éí bits'ą́ą́dóó neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Bóhólníihii bich'į' bił dah nídi'diilnihgo nááhániihii Bóhólníihii baa dahidoh'aah doo .
4:18:027:0	Áko díí bił dah nídi'diilnihgo náádahoołnii'ígíí t'áá haná'ál'isídę́'ígi át'éego áádóó t'áá ch'il na'atł'o'ii bitoo' ál'į́į́dę́'ígi át'éego nihá bił ólta' doo .
4:18:028:0	Kót'éego Ízrel dine'é nihaa nídeidiyii'aahígíí éí nihí neheleehígíí t'áá át'é ła' át'éego Bóhólníihii bich'į' bił dah nídi'diilnihgo nááhániihii át'éego náá'iiłniihii Éran baa dahohjáah doo .
4:18:029:0	Nihaa dadeest'áanii t'áá át'é bits'ą́ą́dóó Bóhólníihii bich'į' bił dah nídi'diilnihgo náádahaniihii náádahołniih doo ; éí dadílyinii agháadi yá'ádaat'éehii t'áá át'é náádahołniih doo .
4:18:030:0	Éí bąą ábididííniił , Agháadi yá'ádaat'éehii bił dah nídi'diilnihgo náádahoołnii'go , áko índa nihí Líívai dine'é danohłíinii ch'ínííłna'ígíí nihíí' dooleełgo bee nihaa nitsáhákees doo ; éí t'áá haná'ál'isídę́ę́'ígi át'éego áádóó t'áá ch'il na'atł'o'ii bitoo' ál'į́į́dę́ę́'ígi át'éego bee nihaa nitsáhákees doo .
4:18:031:0	Áko nihí áádóó niha'áłchíní bił t'áá nihí danohsinígi nídaohdį́įh doo , háálá níbaal bii' dahozdísinii bindaał'a'ígíí bideená nihaa deet'áanii át'é .
4:18:032:0	Áádóó agháadi yá'ádaat'éehii bił dah nídi'diilnihgo náádahoołnii'go ádił oodzíí' doo bee ádidahodidoołt'ih da , nidi Ízrel dine'é bits'ą́ą́dóó dílzingo aa dahidit'aahígíí doo dadoołchxǫǫł da , doodaii' daołchxǫ'go dadínóohnééł .
