4:35:001:1	Líívai dine'é bikin hadaas'áii
4:35:001:0	Áádóó Mó'ab kéyah nidzisgaigi éí Jériko binaashiijí Jórdan tooh nílíní ha'a'aahjigo haz'ánígi Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
4:35:002:0	Ízrel dine'é díí bee bich'į' handziih ; Líívai dine'é bíí' dooleełii kin hadaas'áii yii' kéédahat'į́į doo biniyé yaa deididoo'ááł , áádóó kin hadaas'áii binaagóó dahootsooígíí ałdó' baa dadidooh'ááł .
4:35:003:0	Áko kin hadaas'áii bíí' dadooleełgo yii' kéédahat'į́į doo , áádóó binaagóó dahootsooígi bilį́į́' dah danéelkaadii t'áá át'é ákwii nidanilkaad doo .
4:35:004:0	Áádóó kin hadaas'á binaagóó dahootsooígi Líívai dine'é bá dahwiidooł'aał ; éí kin haal'á binaa ahéé'ítł'inídóó t'ááłáhídi mííldóó ba'aan ashdladi neeznádiin ké silá bíighahgo ahééhool'áa doo .
4:35:005:0	Áko kin haal'á binaagi ahééhool'áhídóó bínáádí'nííł'ąął ; ha'a'aahjigo táadi mííl ké silá áhonízahjį' ; shádi'áahjigo táadi mííl ké silá áhonízahjį' ; e'e'aahjigo táadi mííl ké silá áhonízahjį' ; náhookǫsjigo táadi mííl ké silá áhonízahjį' bídadí'nííł'ąął , áko éí ałníi'gi kin haal'áa dooleeł . Díí kin hadaas'áago binaagi dahootsooígíí daabíí' dooleeł .
4:35:006:0	Áádóó kin hadaas'áii Líívai dine'é baa dahodidooh'áłígíí éí hastą́ągo kin haal'áii bii'jį' yisdá'niichéeh dooleeł biniyé baa dahodidooh'ááł ; éí diné yiyiisxíinii áajį' yisdádahinichéeh doo ; éí bighą́ąhjį' dízdiindóó ba'aan naakigo kin haal'áii bá bídeidoohnił .
4:35:007:0	Áko kin hadaas'áhígíí t'áá át'é Líívai dine'é baa deet'aahgo dízdiindóó ba'aan tseebíí kin haal'á índa binaagóó dahootsooígíí ałdó' baa didoot'ááł .
4:35:002:1	Kin hadaas'áii bii'jį' yisdá'niichéehii
4:35:008:0	Kin hadaas'áii aa dahidoh'aah dooígíí éí Ízrel dine'é danilíinii kin hadaas'áii t'óó ahayóí bee dahólónígíí kin hadaas'áii lą'í nideidii'aah doo ; t'áá díkwíí bee dahólónígíí kin hadaas'áii t'áá díkwíí nideidii'aah doo ; dine'é t'áá ádzíłtso hakin hadaas'áii hóó' daazlį́į'ii bik' ehgo Líívai dine'é baa dahizhdidoo'ááł .
4:35:009:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
4:35:010:0	Ízrel dine'é bich'į' handziihgo ábidiní , Jórdan tooh nílíní ha' naa ninoonáago Kéínan kéyah biih doohnéełgo
4:35:011:0	kin hadaas'áii bii'jį' yisdá'niichéeh dooígíí t'áá nihí ádá ádahodoohłííł , áko doo t'áá ákójínééhgóó diné jiisxíinii áajį' yisdázhdínóochééł .
