4:10:001:1	Béésh łigaii dilní bee í'dílzoołí
4:10:001:0	Áádóó Bóhólníihii éí Mózes yich'į' hanáánáádzíi'go ání ,
4:10:002:0	Béésh łigaii bee dilní bee í'dílzoołí naakigo íidoolíiłgo íínísin ; hasht'e'nibí'dííłniił , áko éí choiníł'į́įgo Ízrel dine'é t'áá ałtso bá nídiiłts'į́įhgo áłah nádleeh doo áádóó dah nídii'néeh doo .
4:10:003:0	Áko t'áá áłah nídiiłts'į́įhgo níbaal bii' dahozdísinii bich'éédą́ą'gi t'áá ałtso naa áłah nádleeh doo .
4:10:004:0	Nidi t'ááłá'í nídiiłts'į́įhgo éí Ízrel dine'é bitahdę́ę́' aląąjį' naazíinii éí miilgo yinanit'a'í danilíinii naa áłah nádleeh doo .
4:10:005:0	Áko bee i'níłníihgo éí nízaadgóó nídiiłts'į́įhgo ha'a'aahjígo dah oonéłígíí dah nídii'néeh doo .
4:10:006:0	Áádóó bee i'níłníihgo éí naaki góne' nízaadgóó nídiiłts'į́įhgo shádi'ááhjígo dah oonéłígíí dah nídii'néeh doo , áko nihidoonéełgo nízaadgóó bá nídiiłts'į́įh doo .
4:10:007:0	Áádóó oonéłígíí áłah ádooníiłgo éí áłts'ísígo dilní nídiiłts'į́įh doo , nidi doo bee i'ílníhígi át'éego nízaadgóó nídiiłts'į́įh da doo .
4:10:008:0	Éran biye'ké náás ahoolchíiłii nááda'iiłniihii danilį́įgo éí dilní yee áńdadi'niih doo ; díí bik'ehgo hoogáałii hool'áágóó náás oochííłgóó nihá át'ée doo .
4:10:009:0	Áko nihikéyahgi ana'í nihich'į' nahwiiłnáago bik'ijį' anaa' ádaahłéehgo nízaadgóó éí dilní didííłts'į́įłgo bee i'dííłnih , áko Bóhólníihii nihiDiyin God binááł nihéédahodoonihgo nihi'ana'í bits' ą́ąjį' yisdádoohkah .
4:10:002:1	Sáínaidóó Ízrel dine'é dah diiná
4:10:010:0	Áko nihił dahózhǫ́ bijį́ áádóó dahodíínóhsingo áłah náhdleeh bá nídahoot'aah góne' índa dah néitį́į́h góne' didlidgo nááhidoonihii áádóó hózhǫ́ǫ́jí nááhániihii náádahołniihgo ałdó' éí dilní bá nídoołts'į́įh doo ; díí éí nihiDiyin God binááł bee nihééhániihii át'ée doo ; jó , shí Bóhólníihii nihiDiyin God nishłį́ .
4:10:011:0	Naaki nááhai góne' naaki nídízííd binih naadiin jį́į́ góne' níbaal bii' hodílzinii , éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii , bikáá'dóó k'os dah diilzhóód .
4:10:012:0	Áádóó Ízrel dine'é éí Sáínai honoojíídóó dah dadiiná , áko éí Péíran honoojíigi k'os niildoh .
4:10:013:0	Díí índída nihidadziiznáago Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí bik'ehgo dashdiiná .
4:10:014:0	Júdah dine'é daníjaa'go bidah na'at'a'í yik'ehgo alą́ąjį' dah diiná ; díí dah oonéłígíí éí Amínadab biye' Náshan á sizį́ .
4:10:015:0	Áádóó Ísakar dine'é dah yinéłígíí éí Zú'er biye' Niithániyel á sizį́ .
4:10:016:0	Áádóó Zébyulan dine'é dah yinéłígíí éí Híílan biye' Iiláíyab á sizį́ .
