4:2:001:1	Ízrel dine'é dah deínéehgi áádóó biląąjį' naazíinii
4:2:001:0	Bóhólníihii éí Mózes áádóó Éran yich'į' haadzíi'go ání ,
4:2:002:0	Diné t'ááłá'í jinítínígo Ízrel dine'é dajílínígíí t'áá hó hadah na'at'a'í bíighahgi dahazhé'é yę́ę ba'áłchíní bił bidah na'at'a'í bíighahgi ninádaji'néeh doo ; níbaal bii' dahozdísinii binaadi ninádaji'néeh doo .
4:2:003:0	Ha'a'aahjí háá'át'ááh bich'į'go éí Júdah bisiláo deínéehii bik'ehgo t'áá bí bidah na'at'a'í yíighahgi ninádaa'néeh doo ; Amínadab biye' Náshan éí Júdah dine'é yinanit'a'í nilį́ .
4:2:004:0	Júdah bisiláo dah yinéełii dayéélta'ígíí tsosts'idiindóó ba'aan dį́įdi mííldóó ba'aan hastą́ądi neeznádiingo ánéelą́ą́' .
4:2:005:0	Áádóó bíighah góne' Ísakar dine'é niná'néeh doo ; Zú'er biye' Niithániyel éí Ísakar dine'é yinanit'a'í nilį́ .
4:2:006:0	Ísakar bisiláo dah yinéełii dayéélta'ígíí ashdladiindóó ba'aan dį́įdi mííldóó ba'aan dį́įdi neeznádiingo ánéelą́ą́' .
4:2:007:0	Éí bíighah góne' Zébyulan dine'é niná'néeh doo ; Híílan biye' Iiláíyab éí Zébyulan dine'é yinanit'a'í nilį́ .
4:2:008:0	Zébyulan bisiláo dah yinéełii dayéélta'ígíí ashdladiindóó ba'aan tsosts'idi mííldóó ba'aan dį́įdi neeznádiingo ánéelą́ą́' .
4:2:009:0	Díí t'áá ałtso Júdah bisiláo deínéehii bik'ehgo dabi'déélta'ígíí t'ááłáhídi neeznádiindóó ba'aan tseebídiindóó ba'aan hastą́ądi mííldóó ba'aan dį́įdi neeznádiingo ánéelą́ą́' . Díí éí alą́ąjį' yinéeł doo .
4:2:010:0	Áádóó shádi'ááhjígo éí Rúben bisiláo deínéehii bik'ehgo t'áá bí bidah na'at'a'í yíighahgi ninádaa'néeh doo ; Shédiyer biye' Iiláízer éí Rúben dine'é yinanit'a'í nilį́ .
4:2:011:0	Rúben bisiláo dah yinéełii dayéélta'ígíí dízdiindóó ba'aan hastą́ądi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́' .
4:2:012:0	Éí bíighah góne' Símiyan dine'é niná'néeh doo ; Zúrishádai biye' Shiilúmiyel éí Símiyan dine'é yinanit'a'í nilį́ .
4:2:013:0	Símiyan bisiláo dah yinéełii dayéélta'ígíí ashdladiindóó ba'aan náhást' éidi mííldóó ba'aan táadi neeznádiingo ánéelą́ą́' .
4:2:014:0	Éí bíighah góne' Géed dine'é niná'néeh doo ; Rúwel biye' Iiláíyasaf éí Géed dine'é yinanit'a'í nilį́ .
4:2:015:0	Géed bisiláo dah yinéełii dayéélta'ígíí dízdiindóó ba'aan ashdladi mííldóó ba'aan hastą́ądi neeznádiindóó ba'aan ashdladiingo ánéelą́ą́' .
4:2:016:0	Díí t'áá ałtso Rúben bisiláo deínéehii bik'ehgo dabi'déélta'ígíí t'ááłáhídi neeznádiindóó ba'aan ashdladiindóó ba'aan t'ááłáhídi mííldóó ba'aan dį́įdi neeznádiindóó ba'aan ashdladiingo ánéelą́ą́' . Éí naaki góne' yinéeł doo .
4:2:017:0	Dah dajínéehgo joonéełii haníi'gi Líívai dine'é éí níbaal bii' dahozdísinii deíyeehgo hoł náás yinéeł doo . Ninádei'áahgo áádóó náádei'dii'áahgo kót'éego t'áá ałkéé' dah dajínéehii t'áá hó hadah na'at'a'í bik'ehgo dah nídazhdii'néeh doo .
4:2:018:0	E'e'aahjígo éí Íífreiyim bisiláo deínéehii bik'ehgo t'áá bí bidah na'at'a'í yíighahgi ninádaa'néeh doo ; Amáíhad biye' Iilíshama éí Íífreiyim dine'é yinanit'a'í nilį́ .
4:2:019:0	Íífreiyim bisiláo dah yinéełii dayéélta'ígíí dízdiindi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́' .
4:2:020:0	Éí bíighah góne' Manáseh dine'é niná'néeh doo ; Piidázer biye' Gaméíliyel éí Manáseh dine'é yinanit'a'í nilį́ .
4:2:021:0	Manáseh bisiláo dah yinéełii dayéélta'ígíí tádiindóó ba'aan naakidi mííldóó ba'aan naakidi neeznádiingo ánéelą́ą́' .
4:2:022:0	Éí bíighah góne' Bénjamin dine'é niná'néeh doo ; Gídiyónai biye' Abáídan éí Bénjamin dine'é yinanit'a'í nilį́ .
4:2:023:0	Bénjamin bisiláo dah yinéełii dayéélta'ígíí tádiindóó ba'aan ashdladi mííldóó ba'aan dį́įdi neeznádiingo ánéelą́ą́' .
4:2:024:0	Éí t'áá ałtso Íífreiyim bisiláo deínéehii bik'ehgo dabi'déélta'ígíí t'ááłáhídi neeznádiindóó ba'aan tseebíidi mííldóó ba'aan neeznádiingo ánéelą́ą́' . Éí táá' góne' yinéeł doo .
4:2:025:0	Náhookǫsjígo éí Dan bisiláo deínéehii bik'ehgo t'áá bí bidah na'at'a'í yíighahgi ninádaa'néeh doo ; Amishádai biye' Eihaiyíízer éí Dan dine'é yinanit'a'í nilį́ .
4:2:026:0	Dan bisiláo dah yinéełii dayéélta'ígíí hastą́diindóó ba'aan naakidi mííldóó ba'aan tsosts'idi neeznádiingo ánéelą́ą́' .
4:2:027:0	Éí bíighah góne' Ásher dine'é niná'néeh doo ; Ákran biye' Péígiyel éí Ásher dine'é yinanit'a'í nilį́ .
4:2:028:0	Ásher bisiláo dah yinéełii dayéélta'ígíí dízdiindóó ba'aan t'ááłáhídi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́' .
4:2:029:0	Éí bíighah góne' Náftalai dine'é niná'néeh doo ; Íínan biye' Aháíra éí Náftalai dine'é yinanit'a'í nilį́ .
4:2:030:0	Náftalai bisiláo dah yinéełii dayéélta'ígíí ashdladiindóó ba'aan táadi mííldóó ba'aan dį́įdi neeznádiingo ánéelą́ą́' .
4:2:031:0	Éí t'áá ałtso Dan bisiláo deínéehii bik'ehgo dabi'déélta'ígíí t'ááłáhídi neeznádiindóó ba'aan ashdladiindóó ba'aan tsosts'idi mííldóó ba'aan hastą́ądi neeznádiingo ánéelą́ą́' . Díí éí akéédę́ę́' t'áá bí bidah na'at'a'í bik'ehgo yinéeł doo .
4:2:032:0	Díí éí Ízrel dine'é dabizhé'é yę́ę bits'ą́ą́dóó da'ahílchíihii bik'ehgo dabi'déélta' ; siláo deínéehii t'áá ałtso dabi'déélta'ígíí hastą́ądi neeznádiindóó ba'aan táadi mííldóó ba'aan ashdladi neeznádiindóó ba'aan ashdladiingo ánéelą́ą́' .
4:2:033:0	Nidi Líívai dine'é éí Ízrel dine'é t'áadoo bił bi'déélta' da ; Bóhólníihii éí Mózes yich'į' haadzí'ígi ádaadzaa .
4:2:034:0	Ízrel dine'é t'áá ákǫ́ǫ́ ádaadzaago Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí t'áá ałtso yik'eh ádaadzaa ; bidah na'at'a'í yíighahgi ninádaa'nééh nít'éé' áádóó ahii' háá'ahiyoolchíiłii t'áá ałtso dabizhé'é yę́ę ba'áłchíní náás ahoolchíiłii bik'ehgo yił nee'ni'jį' dah nídadii'nééh .
