4:4:001:1	Líívai dine'é naanish baa dadeest'ą́
4:4:001:0	Áádóó Bóhólníihii éí Mózes áádóó Éran yich'į' haadzíi'go ání ,
4:4:002:0	Kóhath bada'áłchíní ahoolchíiłii Líívai dine'é bitahgóó ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę ya'áłchíní náás ahoolchíiłii danilį́įgo éí yíníłta' ;
4:4:003:0	tádiindóó ashdladiin béédááhaijį' éí níbaal bii' dahozdísinii yindadoolnishgo yaa daneesánígíí ałtso yíníłta' .
4:4:004:0	Díí Kóhath dine'é éí níbaal bii' dahozdísinii yindaalnishgo aláahgo dadiyinii yaa ádahalyą́ą doo .
4:4:005:0	Áko nihidoonéełjį' ahalzhishgo Éran áádóó biye'ké éí ata'naníbaalii náádeii'diiłtsos doo áádóó tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii yik'ínídeiłtih doo ,
4:4:006:0	áádóó bikáa'gi nahashch'id bikágí yik'ínídeiłtih doo áádóó náábíkáa'gi éí na'at'ą́hí t'áá át'é yá nahalingo dootł'izhígíí bik'ínáltihgo ádayósin doo índa tsin níyizii bee na'at'áhígíí éí tsits'aa' dílzinii bąąh hadaazhahígíí bii' nídítsih doo .
4:4:007:0	Índa bikáá' adání bikáa'gi bááh nááhániihii niná'niłígíí éí na'at'ą́hí t'áá át'é yá nahalingo dootł'izhgo bik'ínáltih doo áádóó łeets'aa't'ą́hída , béésh adee'da , łeets'aa' nímazída áádóó yanáadzi'go nááhániihii bee naakáhígíida bikáa'gi niná'nił doo . Bááh nááhániihii t'áá áłahjį' ákwii sinilgo óolzin doo .
4:4:008:0	Áko éí t'áá át'é na'at'ą́hí łichxí'ígíí yik'ínídeiłtih doo índa éí bikáa'gi nahashch'id bikágí bik'ínáltih doo áádóó tsin níyizii bee na'at'áhígíí éí bikáá' adání bąąh hadaazhahígíí bii' nídítsih doo .
4:4:009:0	Índa na'at'ą́hí yá nahalingo dootł'izhígíí nídeididoołtsosgo éí bee hool' iní bá yadaa'áii áádóó bílátahdóó bee dahool'iní , bee aniltsésída , łeeshch'iih bee naakáhída , łeets'aa' éí ak'ah yee nideikáago chodayooł'ínígíida t'áá ałtso éí t'áá át'é yik'ínídeiłtih doo ,
4:4:010:0	áko díí bee hool'iní bá yadaa'áhí áádóó łeets'aa' t'áá át'é éí nahashch'id bikágí yił ałch'į' áńdayiil'įįhgo tsin níyizii bee na'at'áhígíí yikáá' ninádeiłtsos doo .
