4:21:001:1	Kéínan dine'é éí Ízrel dine'é yik'iijéé'
4:21:001:0	Nít'éé' Kéínandóó aláahgo naat'áanii Éírad wolyéii Kéínan nahós'a'gi shádi'áahjigo kééhat'į́ . Ízrel dine'é éí naalchi'í yíkai yę́ędę́ę́' yinéełgo yaa hodiizts'ą́ą́' . Áko Ízrel dine'é yich'į' nídiibaa'go ła' deisná .
4:21:002:0	Áko Ízrel dine'é ádee hadaasdzíi'go Bóhólníihii yich'į' ádee hadaasdzí'ígíí ádaaní , Díí dine'é t'áá aaníí nihílák'ee dííní'ą́ągo bikin hadaas'áii ts'ídá ałtso atídadiilnííł .
4:21:002:1	Tł'iish báádahadzidii
4:21:003:0	Áádóó Bóhólníihii éí Ízrel dine'é yidiizts'ą́ą'go Kéínan dine'é hálák'ee yidíí'ą́ągo bikin hadaas'áii t'áá bił ts'ídá ałtso ádadzisdįįd , áko éí nahós'a'gi Hórmah hoolyée doo , jidííniid .
4:21:004:0	Áko Dził Hordóó dah náázhdii'náago Íídam kéyah bik'ee'ąą ahéézhdoo'nééł biniyé Tónteel Łichíí' bíighahjígo ch'ízhníná , áko diné yinéłígíí doo asht'é'égóó bąąh nidahwiizkaad .
4:21:005:0	Ákohgo diné éí Diyin God áádóó Mózes yik'ijį' hadahadziihgo ádaaní , Ha'át'éegoshą' honoojíigi danii'née dooleeł biniyé Ííjip kéyahdę́ę́' ch'ínihííní'eezh ? Jó , kwe'é bááh ádin , tó nidi ádin áádóó díí mána yilzhólíii deidą́ągo doo binádadiidzįįd da .
4:21:006:0	Nít'éé' Bóhólníihii éí tł'iish báádahadzidii diné yitahjį' yi'níłnii'go diné ahidayiishxazh , áko Ízrel dine'é t'óó ahayóí daneezná .
4:21:007:0	Áádóó diné éí Mózes yaa yíkaigo ádaaní , Ádił da'siilziihéi ; Bóhólníihii bik'ijį' áádóó ni nik'ijį' hadahaadzíí' lá ; Bóhólníihii nihá néinikąąh , áko díí tł'iish nihits'ą́ąjį' yéé'doołnih . Ákohgo Mózes éí diné yá sodoolzin .
4:21:008:0	Áko Bóhólníihii éí Mózes ííłní , Tł'iish bááhádzidii béé'díídlíiłgo tsin adíítsihgo bąąh dah hididííłt'eeł , áko tł'iish ahidahwiishxazhígíí t'áá ádzíłtso éí tł'iish béé'ályaago dah hidiilt'e'ígíí bik'i dadzizghalii éí dajiináa doo .
4:21:003:1	Ízrel dine'é éí Mó'ab yik'ee'ąą ahéná'ná
