4:16:001:1	Kórah , Déíthan áádóó Abáíram nidaalteeh
4:16:001:0	Nít'éé' Líívai biye' Kóhath , éí biye' Ízxar , éí biye' Kórah wolyéego Déíthan áádóó Abáíram índa Án ahíjii'eezh . ( Déíthan áádóó Abáíram éí Iiláíyab biye'ké nilį́ áádóó Án éí Pííleth biye' nilį́ ; éí t'áá ałtso Rúben dine'é danilį́ . )
4:16:002:0	Éí Mózes bidááhdóó Ízrel dine'é yił nídahidiikaigo naakidi neeznádiindóó ba'aan ashdladiingo naat'áanii ánéelą́ą́' ; dah deínéehii béédaho'dílzinii yił ałtah ahiisdláá' .
4:16:003:0	Áko áłah áda'diilyaago Mózes áádóó Éran yik'ijį' danilį́įgo ádeiłní , Nihí t'áá íiyisí ádíhwíínółnííh , háálá oonéłígíí t'áá ałtso dadiyin áádóó bitahgi Bóhólníihii hólǫ́ , ákoshą' ha'át'íí biniyé Bóhólníihii bidine'é dah yinéłígíí bilááh ánóht'éego í'doołyaa ?
4:16:004:0	Áko Mózes éí yidiizts'ą́ą'go ni'jį' tsé'yaa neeshjool ,
4:16:005:0	áádóó Kórah índa yił dah yikahígíí ábijiní , Yiską́ągo t'ah abínídą́ą́' Bóhólníihii háí bíí' jílį́įgo áádóó jidiyingo ííshjání áhodoolííł , índa ádíighahjį' nihodoolóós ; éí néidiiłtíinii ádíighahjį' niidoolóós .
4:16:006:0	Kót'éego áda'doohłííł ; Kórah áádóó nił dah yikahígíí t'áá ałtso éí tsin bijeeh dilidgo łikání halchinii bee naakáhí nídahididoohnił ;
4:16:007:0	éí kǫ' biih dahidoohkááł áádóó yiską́ągo Bóhólníihii binááł tsin bijeeh dilidgo łikání halchinii bik'i yadeidoohjih , áko Bóhólníihii náhodiiłtíinii bidiyį́į́' jílį́į doo ; Líívai dine'é nohłíinii , ayóogo ádídahwíínółnííh .
4:16:008:0	Áko Mózes éí Kórah ííłní , Da'íísółts'ą́ą́' , baa nánihooshkąąh , Líívai dine'é nohłíinii , da'íísółts'ą́ą́' .
4:16:009:0	Díísh doo ílį́įgo baa nitsídaahkees da ? Ízrel dine'é biDiyin God éí Ízrel dine'é dah yinéełgo yits'ánihinínilii t'áá bí áháníjį' ádích'į' ninihii'éshígíí Bóhólníihii biníbaal bii' hodílzin góne' nidaałnish doo índa dah oonéłígíí binááł nidaał'a' doo biniyé nánihidiinil .
4:16:010:0	Jó , nihí índa danihik'is Líívai dine'é danilíinii t'áá ałtso t'áá nihił áháníjį' ádích'į' kónihiilaa . Da' ákoósh nihí náá'iiłniihii ałdó' dadoohłeełgo hádaaht'į́ ?
4:16:011:0	Áko ni áádóó nił dah yikahígíí t'áá ałtso bił Bóhólníihii bik'ijį' danohłį́įgo áłah í'doołyaa . Áádóó Éranshą' éí ha'át'íí nilį́įgo bich'į' saad dahonohłǫ́ ?
4:16:012:0	Áko Mózes éí Iiláíyab biye'ké Déíthan áádóó Abáíram hágo yididooniił biniyé yíká i'ííł'a' ; nít'éé' ábi'doo'niid , Doo akǫ́ǫ́ diit'ash da .
4:16:013:0	Díísh t'įįhdígo át'é nínízin ? Kéyah yá'áhoot'éehgi abe' índa tsés'ná bitł'izh bee áda'azįįdgo haz'ą́ą́dę́ę́' ch'ínihííní'eezhgo honoojíidi nanihidííłtsiłgo ánít'į́ . T'áá hazhó'ó t'áá ni t'éí nihinanít'áago ádi'nilyaa .
4:16:014:0	Áádóó ałdó' kéyah yá'áhoot'éehgi abe' índa tsés'ná bitł'izh bee áda'azįįdgo haz'ą́ąjį' t'ah doo anihí'éesh da , doodaii' dá'ák'eh índa ch'il na'atł'o'ii nihíí' dadooleełígíí t'ah doo nihaa diní'aah da . Da' díísh diné bináá' hahidíínił ? Nihí doo akǫ́ǫ́ diit'ash da .
4:16:015:0	Áko Mózes t'áá íiyisí báhóóchįįdgo Bóhólníihii ííłní , Bináádahaniihii t'áadoo nił nilíní ; dabitélii t'ááłá'í nidi doo bighanishtį́į da , doo nidi ła'da atíhooshłaa da .
4:16:016:0	Áádóó Mózes éí Kórah ííłní , Ni áádóó nił dah yikahígíí t'áá ałtso Éran bił yiską́ągo Bóhólníihii bidááhdóó nidoohkah ;
4:16:017:0	bíni'dii diné łá'í nízínígo tsin bijeeh dilidgo łikání halchinii bee naakáhí nídeididooniłgo tsin bijeeh dilidgo łikání halchinii yiih deidoojih ; Bóhólníihii binááł łá'í nootínígo tsin bijeeh bee naakáhí nidahidoohjih ; naakidi neeznádiindóó ba'aan ashdladiingo bee nida'ohkáa doo ; ni áádóó Éran ałdó' nidinołt'éego t'áá ał'ąą tsin bijeeh dilidgo łikání halchinii bee naakáhí doohjih .
4:16:018:0	Áko diné łá'í nízínígo tsin bijeeh dilidgo łikání halchinii bee nidaakáhígíí nídeidiinilgo kǫ' yiih deizką́ągo bikáa'jį' tsin bijeeh dilidgo łikání halchinii yadayiijaa' , áádóó níbaal bii' dahozdísinii yah e'etiinídóó Mózes áádóó Éran yił deizį' .
4:16:019:0	Nít'éé' Kórah éí t'áá dah oonééł nít'éé' áłah áyiilaago níbaal bii' dahozdísinii yah e'etiiní bidááhdóó Kórah éí Mózes áádóó Éran yik'ijį' danilį́įgo nidaazį' ; Bóhólníihii bits'ádi'nílíidii éí dah oonéłígíí t'áá ałtso bich'į' yit'íní silį́į́' .
4:16:020:0	Áádóó Bóhólníihii éí Mózes áádóó Éran ííłní ,
4:16:021:0	Díí dah oonéłígíí bits'ánóh'aash , áko t'óó hodíínáá'ígo áhodeeshdįįł .
