48:1:001:1	K'é ha'níinii
48:1:001:0	Shí Paul yil'aadii nishłį́ . Doo diné shííł'aad da , doo nidi diné binahjį' yil'aadii nishłį́į da , nidi Jesus Christ áádóó Diyin God , aTaa' nilíinii , éí Jesus daaztsą́ą́dę́ę́' néidiisáii , t'áá bí binahjį' yil'aadii nishłį́ .
48:1:002:0	Christ bee ałk'isóó danilíinii bił neiikaígíí éí biłgo oodlání danilíinii Galéíshiyadi áłah nídaadleehii k'é dabidii'ní :
48:1:003:0	Diyin God aTaa' áádóó nihiBóhólníihii Jesus Christ bibee ajooba'ii índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo .
48:1:004:0	Diyin God nihiTaa' íinízinígíí bik'ehgo díí doo yá'át'ééhgóó hoogáłígíí biyi'dóó Christ yisdánánihizhdiyoo'niłgo bąą nihibąąhági át'éii biniyé nihá dadziztsą́ .
48:1:002:1	Náánáła' Christ baa hane' yá'át'éehii t'áá ádin
48:1:005:0	Diyin God hool'áágóó ahóyéel'áágóó baa ha'niih le' ! T'áá ákót'ée doo .
48:1:006:0	Ha'át'íí lá hąhí Diyin God éí Christ bibee ajooba' yee nihíká ádííniidii bits'ánáhóhjeehgo náánáła' hane' bikéé' naanánoohdahgo bik'ee t'óó shił ahayóí !
48:1:007:0	Jó , éí doo hane' yá'át'éehii át'ée da , náánáła' hane' yá'át'éehii t'áá ádin , nidi ła' nihíni' deiłąąhgo áádóó Christ baa hane' yá'át'éehii dadidiilgis danízin .
48:1:008:0	Azhą́ nihída , doodaléi' yá'ąąshdę́ę́' diyingo naal'a'ída átséédą́ą́' hane' yá'át'éehii bee nihił dahwiilne' yę́ę bits'ą́ą́jí hane' łahgo ánáánát'éii yee nihił náádahalne'go , háni'dii éí biniinaa ádahodi'dooldįįłgo há hada'doodzih !
48:1:009:0	T'áá ádadii'niid yę́ęgi át'éego k'ad ánáádísh'ní : Hane' yá'át'éehii daołtsood yę́ę bits'ą́ą́jí hane' łahgo ánáánát'éii bee nihił nááhojilne'ii háni'dii éí biniinaa áhodi'dooldįįłgo há ha'doodzih .
48:1:003:1	Haash yit'éego Paul éí Jesus yá naal'a'í silį́į́'
48:1:010:0	Da' diné shich'ijí danilį́į dooleeł jinízingo ájíníísh dashíínóhní ? Doodayéii ! Diyin God shich'ijí nilį́į dooleełgo yee' bíká ásht'į́ . Diné bił dahonishǫ́ǫ dooleełígíí ts'ídá doo bíká ásht'į́į da . Jó , t'ahdii t'óó diné bił honishǫ́ biniyé ásht'į́įgo éí doo Christ yá naal'a'í nishłį́į da doo .
48:1:011:0	Shik'isóó , t'áá aaníígóó ánihidishní : Hane' yá'át'éehii baa hweeshne'ii éí doo diné bits'ą́ą́dóó hane' át'ée da .
48:1:012:0	Háálá éí doo diné bits'ą́ą́dóó nídiiláii át'ée da , índa t'áadoo yínashineestą́'í da , nidi Jesus Christ shił ííshjání áyiilaago shee hazlį́į'ii át'é .
48:1:013:0	Átséédą́ą́' Jew dine'é binahagha' bik'ehgo hinishnáá nít'éé' yę́ę , áádóó t'áá ii' shíłjaa'ígi bee t'áá shizááká Diyin God dayoodlání áłah nádleehii atésh'į́įgo ádeeshdįįł nisin nít'é'ígíí baa dahosidoots'ą́ą́' .
48:1:014:0	Áádóó ałk'idą́ą́' dashizhé'é yę́ę bi'é'él'į' t'áá íiyisí bídin nishłį́įgo shidine'é t'áá bił ahąąh nidaashkai yę́ę biláahgo Jew dine'é binahagha' shił bééhoozin .
48:1:015:0	Nidi t'ah doo shi'dichí yę́ędą́ą́' Diyin God ats'áshiníłtį́ , áádóó bibee ajooba' yinahjį' shíká ádííniid . Éí t'áá bí íinízingo
48:1:016:0	doo Jew dine'é danilíinii bitahgóó baa nahodeeshnih biniyé biYe' shił yit'íní áyiilaa . Íídą́ą́' ats'íís áádóó bidił dahólóonii doo ła' bił baa nísíst'įįd da .
48:1:017:0	Shítséedi daal'aadii danilíinii Jerúsalemgóó doo bich'į' niséyáa da , nidi Aréíbiya kéyahgóó níyá , áádóó índa Damáskasgóó t'ą́ą́' nináánísdzá .
48:1:018:0	Áádóó táá' nááhaidóó bik'ijį' índa Jerúsalemdi Peter baa níyá , áko t'áá ákwii ba'ałk'ee sédáago ashdla'áadah shiiską́ .
48:1:019:0	Nidi náánáła' daal'aadii éí t'áadoo deiłtsą́ą da , t'áá hazhó'ó Bóhólníihii bitsilí James t'éiyá .
48:1:020:0	Diyin God shá bił bééhózingo doo shiyooch'íídgóó nihich'į' ak'e'ashchí !
48:1:021:0	Áádóó índa Síriya índa Silíshiya kéyah nahós'a'di níyá .
48:1:022:0	Íídą́ą́' Judíyagi Christ dayoodlání áłah nídaadleehii t'ah doo dashiiłtsééhgóó doo shéédahósin da nít'éé' ;
48:1:023:0	nidi , Łah atínihił'į́įgo Jesus baa hane' doo t'áá aaníi da , níí nít'éé' yę́ę k'ad índa yoodlą́ągo yaa nahalne' , ha'níigo shaa dahodiits'a' .
48:1:024:0	Áko shinahjį' Diyin God yaa dahaniih .
