54:1:001:1	Pen . j .
54:1:002:1	Y mae ef yn anoc Timotheus y wilio ar ei swyð , yn enwedic ar yddo edrych na ddyscer dim ir popul anyd gair Duw . Gan ðeclaro pan yw i ffydd , y gyd a ohydwybot dda , cariat ac adailadeth yw dywedd y peth . Ac ’yn rhybyddio am Hemenaius ac Alexander .
54:1:001:0	PAwl apostol Iesu Christ , trwy ordinhaad Dyw eyn keidwad , ar arglwydd , Iessu Christ eyn gobaith ,
54:1:002:0	At Tymotheus fy mab naturiol yn y ffydd : Gras , trugaredd , a heddwch can Ddyw eyn tad , a’ chan Christ Iessu eyn Arglwydd .
54:1:003:0	Megis i dysyfais arnat aros yn Ephesus , pan aethym i ymaith i Vacedonia , gvvna velly , mal i gellych rybuddio rrai , na ddyscont amryw ddyskeidiaeth .
54:1:004:0	Ag nad ystyriant chwedlay , ag achay anorffen , rrain kynt yddynt fagu questiwnay , nag edeiladaeth dywiol sy drwy ffydd .
54:1:005:0	Can ys diwedd y gorchymyn ydiw cariad o galon bur , a chydwybod dda , a ffyð ðiau .
54:1:006:0	O ddiwrth y rrain i kiliasont rrai , ag a droysont at oferson ,
54:1:007:0	hwy a fynnen fod yn ddoctoriaid y gyfraith , heb na dyall yr hyn a ddoytont , nar pethau i boont yn i sikerhau .
54:1:008:0	Nyni a wyddom , eisus taw da y gyfraith , os erfyr dyn hi yn gyfreithlon ,
54:1:009:0	can wybod hynn , na ddodwyd y gyfraith ir kyfion , eithr ir rrai afreolus ac ir anostyngedigion , ir hai andywiol , ar pechaduriaid , ir rrai enwir , a’ rrai anlan , i lawruddogion tad a’ llawruddogion mam , i lawruddogion‐dynion ,
54:1:010:0	ir putteniwyr , ir bwggeryddion , i ladron dynion , i rrai celwyddog , ir anudonwyr , ag od oys dim arall , rrwn sy wrthwyneb i athrawaeth iachus .
54:1:011:0	Y sydd ar ol ’gogoneddus efengil y bengidedig ddyw , a ymddiriedwyd i myfi .
54:1:012:0	Am hynny diolch i ddwy ir hwn , a roes ym allu ’sef Christ Iesu eyn Arglwyð : can ys ef am barnoð yn ffyðlon , ac am dodes yn eu wasanaeth :
54:1:013:0	a’ mine or blaen yn cablwr , ag yn emlidiwr , ag yn draws : eithr trugarhau wrthyf a wnaeth ef : cans yn anwybodus i gwneuthym trwy angrredinieth .
54:1:014:0	Eithyr tragorddigonawdd rrad eyn Arglwydd gida ffydd a chariad , hwn ’sydd yn‐Christ Iesu .
54:1:015:0	Gair gwir yvv hvvnn , ag ym pob modd yn heuddu cymeriad , mai Christ Iesu a ddoeth ir byd i gadw pechaduriaid , o rrain pennaf ydwyfi .
54:1:016:0	Eithr achos hyn i trugarhaodd wrthyf , mal i bai i Iesu Christ ðangos ynof yn gyntaf pob hir‐oddeu , ir syampl yddyntwy , rrain rrag llaw a grettont ynthaw herwyð y bowyd tragwyddol .
54:1:017:0	Weithian ir brenin tragwyðol , difarwol , anweledigol , vnig synhwyrol Ddyw , i bo vrddas , a gogoniant yn oysoedd oesau , Amen .
54:1:018:0	Y gorchymyn hwn i ddwyf yn y roddi attatti , fy mab Timotheus , mal ar ol y proffodolaethay , a gerddasout or blaen am danat , i gellech trwyddynt wy ymdrechu yr ymdrechiad ta ,
54:1:019:0	trwy gadw ffyð a’ chydwybod dda , rron a ddodasont rrai heibio , ac a wnaythont longgyfergoll am y ffydd .
54:1:020:0	O rrai hyn i may Hymeneus , ac Alexander , rrain a ddyroddais i Satan , i ddyscu vddynt na chablont .
