54:3:001:1	Pen iij .
54:3:002:1	Datcan y mae ef pa yw swydd gwenidogion yr Eccles . Ac am y
54:3:003:1	*
54:3:004:1	tulwyth ty
54:3:005:1	tuyluoedd hwy ,
54:3:006:1	‡
54:3:007:1	vrddas
54:3:008:1	Teilyngdawt yr Eccles , Ar poynt pennaf o’r athraweth nefawl .
54:3:001:0	YMadrodd gwir yw hwn , o bydd neb yn wollysy swydd escob , ysda waith a chwennych .
54:3:002:0	Rraid ir escob fod yn ddifaiedic gwr vn wraig , gwiliadwr , pwyllog , cymwys , lleteuwr , athrawys ,
54:3:003:0	nid gwingar , nid ymfustwr , nid chwānoc i fudr elw , eithr rrywiog , nid yn ymladdgar , nid cybydd ,
54:3:004:0	vn a wyr reoli y dy i hun yn dda , yn cymal i blant tan vfuddtra , ynghyd a phob honestrwydd :
54:3:005:0	Can ys oni wyr dyn reoli i dy i hun , pa fodd i gofala ef tros eglwys Duw ?
54:3:006:0	Nid yscolhaig‐ieuanc , rrac iddo wedy ymchwyddaw gwympo mewn enllib diawl .
54:3:007:0	A’ rraid iddaw ef hefyt gaffael gair da can ðieithred , rrag digwyð mewn gwarth , a magl diawl .
54:3:008:0	Velly hefyd bot y deconiaid yn honest , nid a thafodau dau ðyblig , nid trachwannog i win , nid chwānog budr elw ,
54:3:009:0	yn dala cyfrinach y ffydd , mewn cydwybod pur .
54:3:010:0	Arhain profer hwynt yn gynta : ac yno gwasnaythant , os byddant difeius .
54:3:011:0	Velly hefyd bot eu gwragedd yn honest , nid a thafodau drwc , eithr sobyr , a ffyddlon ym pop peth .
54:3:012:0	Bot deconiaid yn wyr vn wraig , ac yn gwybod rreoli i plant yn dda , ay teye i hunain .
54:3:013:0	Can ys yr hai a wasanaytho yn iawn , a ynillan yddyn i hunein gradd dda , a rrydit mawr twy’r ffydd , sy yn Christ Iesu .
54:3:014:0	Hynn i ddwy yn i scrivennu attat , dan ’obeithio i dauaf attat ar fyrder .
54:3:015:0	Ac o tariafi yn hir , fod i ti wybod , pa fodd i byð rraid iti ymðwyn yn‐ty Dduw . rron ydiw Eglwys Duw byw , piler , a sylfayn y gwirionedd .
54:3:016:0	Ac yn ddiddadyl , mawr ydyw cyfrinach dywyoliaeth ’sef Duw a wnaethpwyt yn weledig mewn cnawt , a gyfiownwyd yn yr yspryd , a welwyd can angylion , a bregethwyd ir Cenedloeð , a gredwyd iddaw yn y byd , ac a gymerwyd i fynydd i ogoniāt .
