54:2:001:1	Pen ij .
54:2:002:1	Y mae ef yn annoc gweddiaw dros pop dyn , Paam , A’ pha wedd . Yn-cylch trwsiat a’ chymmesurwydd merchet .
54:2:001:0	CYnghori ddwy am hynn , ymlaen pob peth fod ytolygon , gweddiau , erfyniadau , a’ thalu diolch dros pob rryw ddynion ,
54:2:002:0	tros Brenhinoedd , a’ ffawb or a osoded mewn audurdod , fal i gallom ðwyn buchedd lonyddaidd ac heddychawl , drwy bob gwaredd ac honestrwydd .
54:2:003:0	Canys hyn sy dda a chymradwy gar bron Dyw eyn ceidwad ,
54:2:004:0	rrwn a fynn vod pob rryw ddynion yn cadwedig , ac dyfod i wybodaeth y gwirionedd .
54:2:005:0	Can ys vn Duw sydd , ac vn Canolydd rrvvng Duw a’ dynion , sef y dyn Christ Iesu ,
54:2:006:0	Rrwn ai rroddes i hunan yn pridwerth tros pawb , sef testioleth yn i amseray i hunain .
54:2:007:0	Ar yr hyn im dodwyd yn pregethwr ac yn abostol ( y gwir a ddoydaf yn‐Christ , heb gelwydd ) sef athro y cenedloedd mewn ffydd a gwirionedd .
54:2:008:0	Am hynny mi a fynnaf ir gwyr weddio ym‐pob man gan ddyrcha dwylo purion heb ddicter , na darammau .
54:2:009:0	Velly hefyd y gwrageð , bod yddynt ymdrwsiaw mewn dillad gweddus , gida lledneisrwydd a chymesurwydd , nid a gwallt plethedig , neu aur , neu gemau , neu ddillad gwerthfawr .
54:2:010:0	Eithr ( megis i gweddai i wragedd yn yn‐addaw duwiolaeth ) a gweithredoedd da .
54:2:011:0	Gwraig discet mewn distawrwydd ynghyd a ffob gostingedigrwydd .
54:2:012:0	Ond ni oddefa fi i wraic trauthu dyst , nac arfer awdurdod ar wyr , eithr bod mewn distawrwydd .
54:2:013:0	Can ys Adda yn gynta a ffurfawyd , ac yno Efa .
54:2:014:0	Ac nid Adda a dwyllwyd , eithyr y wraig wedy i thwyllaw aeth yn euoc or cam‐wedd .
54:2:015:0	Etto hi a fydd cadwedig can ddwyn plant , os hwy a drigant yn y ffydd , a chariad , a sancteidrwydd ynghyd a cymesurwydd .
