54:5:001:1	Pen . v .
54:5:002:1	Y mae yn y ddyscu ef pa wedd y dirper yddo ymddwyn wrth argyweddu pop gradd . Trefn o bleit gwrageð‐gweðwō .
54:5:003:1	*
54:5:004:1	Gosot
54:5:005:1	Goystatau gwenidogion‐Ecclesic . Llywodraeth y gorph ef , A’ barn am pechoteu .
54:5:001:0	NA cheryda henafgwr , eithr cynghora megis tad , yr hai ievainc megis brodyr :
54:5:002:0	Yr hen wragedd , mal mammay , yr rei iefainc mal chwioredd , ynghyd a phob diweirdeb .
54:5:003:0	Anrrydedda’r gwrageð gweðwon rrain sy wir weddwon .
54:5:004:0	Ac o bydd vn weddw ac iddi plant neu wyrion , dyscant yn gyntaf ddangos gwaredd tuagat at dy hun , a’ thalu’r pwyth yw henafieid : can ys hynny ’sy honest a chymradwy gar bron Duw .
54:5:005:0	Eithr hon ’sy wir weddw ac vnic , a obeitha yn‐Duw , ac a parhaa mewn gofynnion a gweddion nos a dyð .
54:5:006:0	Ond hon syn byw , mewn mursendod , marw ydiw cyd bo yn byw .
54:5:007:0	Gorchymyn y petheu hyn , mal i gallont fod yn ddifeius .
54:5:008:0	Ac o byð neb nid ymgeleddo yr eiddo , ac yn enwedic eu teulu , e wadawð y ffydd , a’ gwaeth yw nag vn diffydd .
54:5:009:0	Na ddycer‐ir‐cyfri wraig‐weðw tann trugain blvvydd oed , rron fu wraic vn gwr ,
54:5:010:0	ac yn dda i gair am weithredoedd da : os magawdd hi i phlant , o lletteuodd hi y pellenig , o golchawð hi traed y saint , o cymhorthwyawdd hi y rrai fyddent mewn adfyd , o bu perhaus yn wastad ym pob gorchwyl da .
54:5:011:0	Eithyr gwrthod y gweddwon iefainc : can ys pan ddechreuōt ymdrythyllu yn erbyn Christ , priodi a fynnant ,
54:5:012:0	yn cael colledigaeth , am vddynt torri y ffyð gyntaf .
54:5:013:0	Ac velly hefyd hvvy yn segur dyscu a wnāt rodio oddamgylch o ty i dy , ac nid yn vnic segur : eithr hefyd yn ofeiriaithus , ac yn rrodresgar , yn adrodd yr hyn ny weddei .
54:5:014:0	Mi a fynna am hyny irrei iefeinc priodi , a phlanta , gwarchadvv y tuy ac na roðont ddim achos ir gwrthnebwr i oganu .
54:5:015:0	Can ys rrei eusus a ymchwelasont ar ol Satan .
54:5:016:0	Ac o byð na gwr ffyddlon , na gwraig ffyðlon a’ gvvragedd gweddwon ganthynt , cynhorthwyent hwynt , ac na ’ormeser ar yr eglwys , mal i bo digoneð i rrei ’sy wir weddwon .
54:5:017:0	Yr Henaduriaid syn rreoli yn dda , dauddyblig vrddas hayddant , yn enwedig y rrei sy yn poyni yn y gair , ac mewn dysc .
54:5:018:0	Can ys yr yscrythyr lan a ddowaid , Na vwslia safn yr ych sy’n durnu r yd : hefyd , May’r gwethwr yn heuddu i gyflog .
54:5:019:0	Ar Henadur na ðerbyn achwyn , o ddieithr tann ddau neu tri o dystion .
54:5:020:0	Yr hei a bechant , cyrydda hvvy yn gyhoeddus , mal i gallo r lleill ofni .
54:5:021:0	Gorchymyn i ddwy yt gar bron Duw ar Arglwydd Iesu Christ , ar etholedig Angylion , gadw o hanot hynn heb ragori neb mwy noi gilidd , na gwneuthyr dim o gydpartieth .
54:5:022:0	Na ddod ddwylo yn ebrwydd ar neb , ac na fydd cyfranoc a phechodau rrei eryll : cadw di dyhun yn bur .
54:5:023:0	Nac yf ddwfr yn hwy , eithr arfer ychydic win , ir mwyn dy gylla , ath fynych wendide .
54:5:024:0	Pechodau rryw ray or blaen amlwg fyddant , yn rrag ymðwyn ir farn : ar yddo eraill yn dywod ar y ol .
54:5:025:0	Ac felly hefyd gweithredoedd da or blaen amlwc fyddant ar hei a font amgenach , i cuddio nis gellir .
