58:12:001:1	Pen . xij .
58:12:002:1	1 Annogeth y vot yn ddyoddefus ac yn ddianwadal mewn trwbl ac advyt , ar ’obaith cael gwobr tragybythawl . 25
58:12:003:1	*
58:12:004:1	Canmolieth
58:12:005:1	Cymendawt y Testament newydd uchlaw yr hen .
58:12:001:0	OBlegid hynny , ninay hevyd can fod kimaint kwmwl testion wedi yn amgylchu ni , bwriwn heibio bob trymfaych , ar pechawd sy barawd i hyny yn amgylch : rredwn yn oddefus yr yrfa a osoded y ni
58:12:002:0	Gan edrych ar Iesu pen twysog a gorphenwr yn ffyð ni , rwn yn l’e llywenyð a osodid yddo , a ddioddefodd y groes , heb prisio ar y dirmig , ac a eisteddawdd ar y llaw ddeau y eisteddfa Dyw .
58:12:003:0	Ystyriwch am hynny pwy ydiw r neb a ðioðefawdd gyfriw ddoydet yn eu erbyn can pechadurraid , rrag ych blino wedi deffygio yn ych meddyliay :
58:12:004:0	Ni wrthladdosochi etto hyd at waed , yn ymryson yn erbyn pechawd .
58:12:005:0	A gollwngesoch tros co y cyngor , y sy yn y ddoyded wrthych megis wrth plant , Vy mab , nac eskulusa cospedigaeth yr Arglwydd , ac na laysa pan gerydder di gantho .
58:12:006:0	Can ys y neb a garo yr arglwydd , ef ay cospa : ac a skwrsio a wna ef pop map a dderbynio .
58:12:007:0	Os goddefwchi gospedigaeth , megis y feibion y may Dyw yn ymgynig ywch : can ys pa fab fyð nas cospo eu dad ef ?
58:12:008:0	Eithr os heb gospedigaeth yddych , o’r hon y may pawb yn gyfrannog , gan hynny meibion aill ydych ac nid meibion o briod .
58:12:009:0	Heb law hynny taday yn kyrff ni , cael a wneym yn cospi canthynt wy , ay perchy a wnaythom : onid mwy o lawer y may y ni ymostwng i dad yr yspryday , a chael byw ?
58:12:010:0	Can ys hwyntw yn wir tros ychydig ddyðiau an cospay ni val y bay dda canthynt : eithr hwn an copai ir lles y ni , ir mwyn y ni cael cyfran oy santeidrwydd ef .
58:12:011:0	Nid chwaith hyfrydwch y gedir pob rryw cospedigaeth tros yr amser cydrychol , eithr anhyfrydwch : etto wedi hynny , heddychol ffrwyth cyfiownder a ddyry , ir rrai a font yn arferol a hi .
58:12:012:0	Or achos pam derchefwch eich dwylaw ys wedy llaysu , ar gliniay gwenion .
58:12:013:0	A gwnewch lwybray vnion ich traed , rrac mynd yr hyn ’sy glof , oðiar y ffordd , namyn yn hytrach iachaer ef .
58:12:014:0	Dilydwch heddwch gyd a phawb , a’ santeiddrwydd , heb yr hwn ni wyl neb yr Arglwydd .
58:12:015:0	Disgwilwch , rrag deffygio o neb oddiwrth gras Dyw : rrac braguro o ryw wreiddin chwerwder y beri aflonyðwch yvvch , a thrwy hwnw llygru llawer .
58:12:016:0	Na fid vn putteiniwr , neu anlan megis Esau , rrwn am ddryll o fwyd a werthodd fraint eu enedigaech .
58:12:017:0	Can ys chwi a wyddoch mal wedi hynny hevyd pan fynase ef gael y fendith trwy dretadawl gyfraith , y gwrthodwyd ef : o blegid ni chafos ef gyfle y edifeirwch , ir y fod trwy ddagre yn keisio yr fendith hono .
58:12:018:0	O blegid nid at y mynydd teimledig , y nesayasoch , ar tan poeth , ar cwmwl ar tywollwg , ar dymestl .
58:12:019:0	A’ sain y corn , a’ llef y geiriau , rrhon yr rai ay clowsant , a ymyscusodason , ir mwyn na ddoydid y gair wrthyntw mwy .
58:12:020:0	( O blegid ni ellyntwy odde yr hyn y roiddid yn y orchymyn , pe rron y ’nifail a chyfwrð ar mynyð , y labyðio a wneir , neu y frathu trwyðo a gwayw :
58:12:021:0	Ac mor aruthr ydoedd y golwg oedd yn ymðāgos , ac y dyvod Moses , Y ddwy yn ofni ac yn crynnu . )
58:12:022:0	Eithyr nesau a wnaythoch at fynydd Syon , a dinas y Dyw byw , Caerselem nefawl , a chwmpeini milfrydd o angylion ,
58:12:023:0	A’ chynilleidfa y blaen anedigolion , rrain a yscrifenwyd yn y nefoeð , a Dyw browdr pob peth , ac yspryday yr rrai cyfion perffeith ,
58:12:024:0	Ac at Aesu cyfrwngwr y Testament newydd , ac at waed y taynelliad , sy yn doydyt pethau gwell no gvvaed Abel .
58:12:025:0	Edrychwch nad eskeulusoch y neb sy yn doydyt : o blegid os hwyntw ni ddianghasōt rrain ay gwrthwynebasant ef , y doedd yn doydyt ar y ddayar : mwya oll nas diangvvn ni , os gwrthnebwn y neb sydd yn doydyd or nefoedd .
58:12:026:0	Llef yr hwn a yscydwodd y ddayar , yn awr hagen rrybuddio a wnaeth , gan ddoydyt , Etto vnwaith yr yscydwa , nid yn vnig y ddayar , eithyr y nefoedd hevyd .
58:12:027:0	Yr Etto vnwaith hynny , sy yn arwyðocau treiglad y pethau ansafadwy , megis gwaith llavv val y trico y pethau safadwy ,
58:12:028:0	Am hynny gan yn bod ni yn cymered attom tyrnas , ni ellir y scydwyd , ymaylwn yn y gras , drwyr hwn y gallom wasneuthy Dyw , yn y modd ac y bo bodlon cantho , trwy barch ac ofn‐crefyddus .
58:12:029:0	O blegid yn Dyw ni ys‐tan trauledig yw .
