58:11:001:1	Pen . xj .
58:11:002:1	1 Pa yw ffyð , a chanmolieth yr vnryw . 9 Eb ffyð ny allwn ni rengu bodd Dyw . 16 Dwys grediniaeth y tateu yn y cynvyt .
58:11:001:0	FFydd yn wir , yw ffyrfder y pethau a obeithir , ac egluriat ar y pethau nis gwelir .
58:11:002:0	O blegid trwyddi hi yr enillason yr henafiaid air da .
58:11:003:0	Wrth ffydd y ddym yn dyall wneuthyr y byd trwy ’air Dyw , ac nid o ddim ar oedd yn ymddangos y gwnaythbwyd y pethau y ddym yn y gweled .
58:11:004:0	Drwy ffydd ir offrymmoð Abel y Ddyw aberth vwy no Chayn , trwy’r hon yr enillodd dyst y fod yn gyfion , Dyw yn testlauthn am y roddion ef , a’ thrwyr ffydd hon wedi marw , y may etto yn ymddiddan .
58:11:005:0	Trwy ffydd y cymerwyt Enoch ymaith , rrag gweled ange : ac ni chad ef : am ðarfod y Ddyw y gymeryd ef ymaith : eithr cyn y gymeryd ef ymaith , ef a gowser gair , y fod yn bodloni Dyw .
58:11:006:0	Eithr heb ffydd ni ellir y fodloni ef : o blegid credu sydd rraid ir neb a ddel at Ddyw , y fod ef , ay fod yn ’obrwywr irrai a ymgais ac ef .
58:11:007:0	Noe wedi y Ddyw y rebuddio am y pethau nis gwelsid etto , yn llawn o referens , a ddarparhaoð long y achub eu deulu , trwy’r hon long y barnodd ef ar y byd , ac a wnaythbwyd yn ytifedd ir cyfiawnder sy o ffydd .
58:11:008:0	Drwy ffydd gwedi galw Abraham , yr vfyddhaodd y Ddyvv , y fyned ir man , a gay ef ryw amser yn tretad , ac ayth y ffordd , heb wybod y ble y roedd yn myned .
58:11:009:0	Trwy ffydd yr arosawdd ef yn tir yr addewid , megis yn lle dierth , ac y trigodd mewn lluestai gidag Isaac ac Iaco , cydytifeddion yr vn rryw addewid .
58:11:010:0	Can ys discwyl y rydoeð am ðinas ac iddi sail , Saer ac edyladwr yr hon , yvv Dyw .
58:11:011:0	Trwy ffydd Sara hithau a dderbyniodd nerth y ymddwyn had , ac a hiliodd wedi amser oedran , am y bod hi yn barnu yn ffyðlon yr hwn aðowsay .
58:11:012:0	Ac herwydd hynny o vn a hwnw yn awr wedi marweiddio y ganed epil , cynniuer a ser yr wybr mewn rrifedi , ac megis y tyvot aneirif ar ’lann y mor .
58:11:013:0	Mewn ffydd y bu farw y rrain oll , heb ðerbyn yr addaweidion , eithr o bell y gweled hwynt , ai credu , ay cymeryd hwynt yn ddiolchys , a chyfaddef y bod yn bererinion ac yn ddieithred ar y ðayar .
58:11:014:0	Can ys y rrai ’sy yn doydyt hyn , ysbys yw y bod hwynt yn keisio gwlad .
58:11:015:0	Pe biasentwy fyddylgar am vvlad y doythant y maes o hani , hwynt a gowson amser y ddymchwelyd .
58:11:016:0	Eithyr yn awr gvvlad ’sy well y mayntwy yn y chwenychu , sef yw nefawl : achos pam nid quilið can Ddyw y hun y alw y Dyw hwyntwy , o blegid paratoi a wnaeth ef ddinas yddynt .
58:11:017:0	Trwy ffydd yr offrymodd Abraham Isaac , pan fu braw arno , ay vn mab a offrymodd yr hwn a dderbyniase yr addaweidion .
58:11:018:0	( Wrth yr hwn y doydesid , Yn Isaac y gelwir y ti had )
