58:6:001:1	Pen . vj .
58:6:002:1	1 Y mae ef yn mynet rhacddaw yny argyweddu hwy , ac yn eiriol arnynt na ddefficiant , 12 Anyd bot dn ddianwadal ac yn ddioddefus , 18 Yn gymmeint a bot Dyw yn ddiogel yn ei addewit .
58:6:001:0	OR achos hwn , rrown heibio yr addysc sy yn dechrau Christ , a thynnwn at perffeithrwydd , ac na ’ossodwn eilwayth growndwal y difeirwch o ddiwrth gweithredoedd meirwon , a’ ffyð tu a Dyw .
58:6:002:0	O addysc y bedyddiadau a’ gosodiad dwylaw , a’ chyfodiad y meirw , a’r farn tragwyddawl .
58:6:003:0	A’ hynny a wnawn ni os Dyw ai Cannihata .
58:6:004:0	Can ys amhossybl ir rrai a ’oleuwyd vnwaith , ac a brofasont y rodd nefawl , ac a wnaythbwyt yn gyfrannawg or Yspryt glan ,
58:6:005:0	Ac a brofason o ddayonus air Dyw , a’ rrinweddau y byd a ddaw ,
58:6:006:0	Os llwyrgwympant , adnewyddy trwy edifeirwch , gan y bod hwynt drachefn yn rroi ar y groes vddynt y hunain fab Dyw , ac yn y ’osod ar watwar .
58:6:007:0	Can ys y ddaiar a ddaryfo y glaw a vo yn mynych ddyvot arnei , ac a ddyco lyssiau addas ir rai drwy bwy y ddys yn y llafurio , a gymer fendith can Ddyw .
58:6:008:0	Eithyr hon a ddyco ddrain ac yscall , amharchus fydd , a chyfagos y gael y melltigo , ai diweð fydd y llosci .
58:6:009:0	Eithyr fyngaredigion , coelio y ddydym am danoch i bethau sy wel’ no hyn , ac sy wedi y cydglymmu ac iechid , ir yn bod ni yn doydyd val hyn .
58:6:010:0	Can ys nid anghyfion Dyw , mal y gollyngo tros gof ych gwaith , a’r llafurus gariad , a ddangosasoch yn y enw ef , yn gwneuthyr ir saint wasaneth , ac eto yn y gwasneuthu .
58:6:011:0	A’ chwenychu ddydym ddangos o bob vn o honoch gyfriw ddiwdrwyd , ir mwyn sicerhau gobaith hyd y diwedd ,
58:6:012:0	Val na bythoch fuscrell , eythr yn ddilynwyr ir rrai , y sawl drwy ffydd ac ymyneð , sy yn meddiannu yr addaweidion .
58:6:013:0	Cans Dyw wrth wneuthyr yr addewid y Abraham , lle ni allai ef dyngu y neb a fai fwy , a dyngodd yddo y hun ,
58:6:014:0	Can ddoydyd , Yn wir mi ath fendithia yn helayth , ac yn ddiandlawd yr amylhaa dydi .
58:6:015:0	Ac velly pan ydoedd dda i emyneð , ef a feddiannodd yr addewid .
58:6:016:0	Can yn lle gwir dynion tyngu byddant ir neb a vo mwy nag ynhvvy hunain , a’ diwedd pob ymryson vddyntwy ydiw llw y gadarnhau .
58:6:017:0	Velly Dyw yn chwenychu yn helaethach ðangos y ytifeddion yr addewid ðianwadalwch y gyngor ef , a ymrwymodd trwy roi llw ,
58:6:018:0	Megis trwy ddau beth disymmut , yn yr rrai y may yn amhossibl y Ddyw fod yn gelwyðog , y gellem gael cysur cryf , rrain ydym yn daredec y ddala yn dynn y gobaith rag‐osodedic ,
58:6:019:0	Rrwn sy cenym i , megis angor yr enaid , diogel a’ chyfan , ac yn entrio hyd at y peth sy tu vewn ir llen ,
58:6:020:0	Ir man yr entriodd y rracflaynor trosomni , ’sef Iesu , a wnaythbwyd yn ben effeiriad yn tragwyddol ar ol ordr Melchi‐sedec .
