58:7:001:1	Pen . vij .
58:7:002:1	1 Y mae ef yn comparo Offeiriadeth Christ
58:7:003:1	*
58:7:004:1	i
58:7:005:1	a Melchi‐sedec . 11 Hefyt y mae ef yn cyffelypu Offeieriadeth Christ ir Leuitiet .
58:7:001:0	CAn ys y Melchisedec hwn brenin Salem ydoeð , effeiriat Dyw goruchaf , rrwn a ddoeth y gyfarfod ac Abraham , wrth yddo ddymchwelud o ddiwrth laddfa yr brenhinoeð , ac ay bēdigawð ef :
58:7:002:0	Ac yddo efe y cyfrannawð Abraham ddegwm o bob peth : yn gynta yn wir wrth y ddeongl yvv brenin y cyfiownder : wedi hynny hevyd brenin Salem , y dyvv sef yw hynny brenhin heddwch ,
58:7:003:0	Heb dad , heb vam , heb genedl , nid oes yddo na dechreu dyddiau , na diwedd einioes : eythr a gyfflybir y vab Dyw , ac a erys yn effeiriad yn dragwyddawl .
58:7:004:0	Edrychwch eusus faint oedd hwn oedd Abraham y pariarch yn rroi degwm iddo or yspail .
58:7:005:0	Ar rreini yn wir sy o feibion Levi , yn derbyn svvydd yr effeiriadaeth , may centhynt orchymyn y gymerud , degwn gan y bobl , ar ol y gyfraeth ( sef yw gan eu brodyr ) ir y bod gwedi dyfod o lwynay Abraham .
58:7:006:0	Eythr yr hwn ni hanoedd i genhedlayth o honyntwy , a gymerawdd ddegwn gan Abraham , ac a fendigawdd yr hwn y gwneithyd yr addewid yddo .
58:7:007:0	Ac yn ddiddadl y lleia , a gymer‐fendith can y mwyaf .
58:7:008:0	Ac yma dynion y rrai a fyddant feirw , a gymerant ddegwn : eythr yno y derbyn yr hwn y testaleithir am dano y fod ef yn vyw .
58:7:009:0	Ac o ddoydyt felly , yn Abraham y talodd Levi yntau hevyd ddegwm , rrwn ydoedd ar ol a chymeryd degwm .
58:7:010:0	O blegyt eto yn llwynau eu dad Abraham rydoedd ef , pan gyfarfu , Melchi‐sedec ac Abraham .
58:7:011:0	Os ydoedd gan hynny perffeithrwydd trwy offeiriadaeth Leui ( oblegid can honno y sikerhawdd y gyfraith ir bobl ) pam raid ymhellach no hynny , godi effeiriad arall , ar ol ordr Melchi‐sedec , nis gelwid ar ol ordr Aaron ?
58:7:012:0	O blegid yn wir wedi newidiaw yr effeiriadaeth , rraid oedd fod newidiad ar y gyfraith hevyd .
58:7:013:0	O blegid am yr hwn y doydir hyn , ef a berthyn y lwyth arall , or rrwn ni does neb yn gwasneuthu yr allor .
58:7:014:0	Can ys ysbys yw , may o Iuda y may yn harglwydd ni yn dyvot , am y llwyth hwnw ni ðyvod Moses ddim tu ac at yr effeiriadaeth .
58:7:015:0	Ac etto chwaneg o ysbysrwydd , gan godi effeiriad arall ar ol cyfflybrwydd Melchi‐sedec ,
58:7:016:0	Rrwn nid wrth gyfraith y gorchymyn knowdol y gwnaythbwyd yn offeiriad , eythr wrth power y bowyd didrancedic .
58:7:017:0	O blegid y may yn testlauthu val hyn , Tydi effeiriad vvyt yn dragwyddol , ar ol ordr Melchi‐sedec .
58:7:018:0	Can ys y gorchymyn oedd or blaen sy wedi y symudo , am y fod yn ddiffrwyth , ac yn ðibroffit ,
58:7:019:0	Can ny wnaeth y gyfraith ðim perffeithrwyð , namyn dyvodiad y gobaith gwell a berffeithiodd , drwy yr hwn y ddym yn nesau at Ddyw .
58:7:020:0	Ac yn gimaint nas byddid heb lw ( o blegid hwynt wy o ddieythyr llw y gwnaythbwyd yn effeiriaid :
58:7:021:0	A’ hwn , efe a vvnaethpvvyt a llw gan yr hwn a ðywod wrtho , Yr Arglwydd a dyngodd , ac ni bydd edifar cātho , Ti ydwyt effeiriad yn dragwydðol , ar ol ordr Melchi‐sedec )
58:7:022:0	Ar Destament gwell o aros hynny y gwnaythbwyt Iesu yn vachniaeth .
58:7:023:0	Ac wynt wy llawer o honyn a wnaid yn effeiriaid , achos nas goddefay marfolaeth vddynt aros .
58:7:024:0	Eithyr hwn , am y fod ef yn perhau yn dragowydd , may iddo ef effeiriadaeth tragwyddol .
58:7:025:0	Am hynny fe ddychin hefyt yn llwyr iachau yr rai a ddawant at Ddyw trwyddo ef , gan y fod ef yn byw fyth , y gyfrwng‐weddiaw trostynt .
58:7:026:0	O blegid cyfryw Archoffeiriad oedd weddus y ni y gael , ysy santaidd , diddrwg , dilwgr , wedi y neilltuo oddiwrth pechaduriaet , ac wedy i wneuthur yn uwch nor nefoedd :
58:7:027:0	Yr rrwn nid oedd rraid yddo beunydd , megis ir effeiriaid hyny : yn gynta trostynt y hunain offrymu aberthau tros pechodau , wedi hynny tros pechoteu y bobl : cans hynny a wuaeth ef vnwaith , pan offrymmodd ef y hun .
58:7:028:0	Can ys y gyfraith sy yn gosod dynion yn archoffeiriaid , ac anallu arnynt : eithyr gair y Llw yr hwn a vu gwedy y Gyfraith , a vvna y Map , yr hwn , a gyssecrwyt yn dragyvyth .
