58:1:001:1	Pen . j .
58:1:002:1	1 Dangos y mae ef ef rhagorvraint Christ , 4 Goruch yr Angelion , 7 Ac am y swydd hwy .
58:1:001:0	DUW lawer gwaith a llawer moð gynt a ymddiddanodd ar tadau trwy’r prophwydi :
58:1:002:0	Y dyddie diwaythaf hynn ef ymddiddanoð , a nyni trwy eu Vab , rrwn a wnaeth ef yn etyveð pop peth , trwyr hwn hefyd y gwnaeth ef y bydoedd ,
58:1:003:0	Rrwn am yfod yn llewyrch y gogoniant , a gvvir-lun y berson ef , ac yn cynnal pop peth trwy eu air galluawg ef , wedy golchi eyn pechodeu ni trwyddo ef eu hun , a eysteddavdd ar ddeau‐law y fowredd ef yn y goruchelion ,
58:1:004:0	Ac ef a wnaethbwyd o lawer yn well nor Angylion o gymyn ac y raeth ef ac enw sy yn dwyn rragor arnyntwy .
58:1:005:0	Can ys wrth pwy or angylion yrioed y dywod ef , Vy mab i ydwyt i , myvi heddiw ath enillais di ? ac eilwaith , Myfy a fydd yn tad iddo ef , ac yntau fydd yn vab y mineu ?
58:1:006:0	A’ thrachefn pan ydyw yn dwyn eu vab cyntaf ir byd hvvn , y dowaid , Ac ai addolasont ef holl angylion Duw .
58:1:007:0	Ac am yr angylion yn wir y dowaid , Rrwn a wna eu cenadau o yspridion , ay wasanaythwyr o fflam dan .
58:1:008:0	Wrth y mab hagen y dyvvait , Dy gadair di , Ddyw , yn oes oesoedd : teyrnwialen vnion teyrnwialen dy dyrnas di .
58:1:009:0	Ti a geraist wirionedd , ac a gasëist enwiredd ; am hyny Dyw , ysef dy Ddyw di ath enneyntioð ac olew llywenydd ytuhwnt ith cymedeithion .
58:1:010:0	A’c , Tydi yn y dechreuad , arglwydd , a growndwaleist y ddayar , ar nefoedd gwaith dy ddwylaw di ydynt .
58:1:011:0	Colli a wnant wy eythr tydi a erys : acy gyd oll heneiddio a wnant megis cadachay .
58:1:012:0	Ac megis gwisc y plygi di hwynt , ac a ymnewidiant : eythr tydi yr vn ydwyd , ath vlenyddoedd di ni ddeffygiant .
58:1:013:0	Wrth pwy or angylion erioed y dywod ef , Eisteð ar y llaw ddeau ym , hyd oni ddodwy dy elynion yn stol ith traed ?
58:1:014:0	Onid ysprydion gwasanaythgar y dynt wy oll , a ddanfonir y wasanaenthu , ir mwyn y rray a fyddont ytyveddion yr iechaid ?
