58:4:001:1	Pen . iiij .
58:4:002:1	2 Bot y gair eb ffyð yn anvuddiol . 3 Sabbath neu ’orphoysfa y Christianogion . 6 Poen yr ei ny chredant . 12
58:4:003:1	*
58:4:004:1	Natur
58:4:005:1	Anian gair Duw .
58:4:001:0	OFnwn am hynny , rrac vnrryw amser trwy wrthod addewid entrio yw orphwysfa ef , gael ar neb o honochi foddybygu eu ddiddymmu .
58:4:002:0	Can ys y ni pregethwyd yr Evengel mal vddyntwythe : eithr ni thykioð vddynt wy y gair a glowid , am nad oeð wedy eu gydwascu a ffydd yn y rrai ay clywsont .
58:4:003:0	Nine yn wir y rrai a gredasom , sy yn entrio ir orphoysfa , megis ac ydyvod ef wrth y llaill , Val hyn y tyngais yn fynniclloni , Os caffāt wy entrio ym gorsswyffa : cyd bayr gwaith wedi y berffeithio o amser gosodiad growndwal y byd .
58:4:004:0	Can ys am y saithvet dyð mewn man y dyvawd val hyn , Ac a orffwysawdd Dyw y seithfed tydd oddiwrth eu holl weith .
58:4:005:0	Ac yma drachefn , Os cant wy entrio i’m gorphwysfa .
58:4:006:0	Or achos hwn gan fod hyn wedi y adael yn ol , vod rrai yn cael entrio y mewn , a’ bod y rrai y pregethwyd yn gynta vddynt , heb entrio herwyð angrrediniaeth ,
58:4:007:0	Trachefn may yn rracderfynn rryw ðydd , gan ddoydyd trwy ddavydd Heddiw , ar ol cymaint o amser , megis y doytbwyd , Heðiw o gwrandewch y lais ef , na chaledwch ych caloneu .
58:4:008:0	Can ys pe Iosua fase wedi y dwyn hwyntw y ’orphoysfa ni sonniasai fe am ddydd arall ar ol hynny .
58:4:009:0	Ac am hynny may rryvv ’orphwysfa wedi eu adael yn ol y bobl Ddyw .
58:4:010:0	Can ys yr hwn a entrioð yw ’orphwysva , gorffwyso a wnaeth hwnw oddiwrth y weithredoedd eu hun , megis ac y gorphoy savvdd Dyw oddiwrth yr eiddo yntau .
58:4:011:0	Rown eyn bryd am hynny ar entrio ir vnrryw orffwysfa , rrac cwympo o neb ar ol yr vn siampl o anefyddtod .
58:4:012:0	Can ys bywiol yw gair Dyw , a’ nerthol ei waith , a’ llymach nac vnrryw gleddau‐daufiniog , ac a gyrydd hyd at wahaniad yr enaid , a’r ysbryd , ar cymalau , a’r mer , a’ barnwr yw y meddyliau a’ bwriadau yr galon .
58:4:013:0	Ac nid oes vn creadur anamlwg yn y olwc ef : eythr bot pob peth yn noeth ac egored yw lygaid ef , am y rrwn y ddym ni yn son .
58:4:014:0	Gan fod am hynny y ni Archeffeiriad mawr , a entriodd ir nefoedd ’sef Iesu mab Dyw , daliwn ein afel ar eyn proffes .
58:4:015:0	Can ys nid oes y ni archeffeiriad , rrwn nis dichon gydoddau an gwendid ni , namyn a tentiwyd ym hob peth yr vn moð , eithr yn ðibechawd .
58:4:016:0	Am hynny awn yn hyderus at dron y gras , val y dderbyniom trugaredd , ac y gael gras yn gymorth temhoraidd .
