58:8:001:1	Pen . viij .
58:8:002:1	6 Y mae ef yn
58:8:003:1	‡
58:8:004:1	pryfo
58:8:005:1	provi yn gystal ddarvot diley Offeiriadaeth y Leuiteit , a’r hen Ddygymbot y gan ysprytawl a’ thravythawl Offeiriadeth Christ , 8 Ac wrth y Dygymbot newydd .
58:8:001:0	EIthr swm yr hyn a ðoytbwyd yw hyn , fod y ni gyfriw archeffeiriad , rrwn a eisteðavvdd ar ðehan tron y mawredd yn y nefoedd ,
58:8:002:0	Gwasnaythwr y cyssegrfa , a’r gwir dabernacl a esodes yr Arglwydd , ac nid dyn .
58:8:003:0	Can ys pob archeffeiriad a osodir y offrymmu rrodion ac aberthau : ac am hyny y ðydoeð rraid , bod can hwn hefyt beth yw offrwmu .
58:8:004:0	O blegid petfai ef ar y ddayar , ni byðei yn effeiriad chwaith , gan fod effeiriad sy yn offrymu rroddion ar ol y Ddeddyf ,
58:8:005:0	Rrain sy yn gwasneuthu portryad , a chysgod pethau nefawl , megis or nefoedd yr attebwyd y Voyses , pan oeð yn amcanu gorphen y tabernacl . Edrych hagen , heb ef , ar wneuthyr o honoti bob peth ar ol y portryat a ddangoswyd yti yn y mynydd .
58:8:006:0	Eithr yn awr ir ayth yn archeffeiriad ni a swydd mwy rragorawl , o gimaint ac i may yn gyfryngwr Testament gwell , rrwn sy wedi y ’osod ar addaweidion gwell .
58:8:007:0	O blegid yn wir ped fiase y Testament cyntaf hwnw yn ddifai , ni cheisiesid lle ir ail .
58:8:008:0	Can ys yn beio arnūtwy y dowaid ef , Nycha y dawant y dyddieu , medd yr Arglwydd , pan ’orffennwy fi a thy Israel , ac a thy Iuda Destament newydd :
58:8:009:0	Nid ar ol y Testament a wneuthym i ay taday hwynt , yn y dydd yr ymeilais i yn y llaw hwynt , yw dwyn o dir ir Aipht : can ys ni thrigasont wy yn y Testament mau fi , a minau ay eskeulusais hwynt , medd yr Arglwydd .
58:8:010:0	O blegid hwn yw yr Testament a wnaf a thy Israel , ar ol y dyddiau hynny , medd yr Arglwydd , myvi a ddoda fyngyffreithiau yn eu meddwl , ac yn y calonau yr yscrivenaf , a’ mi a fydd y Dyw hwynt , ac wyntwthe fyddant fymhobl inau ,
58:8:011:0	Ac ni ddysc pop vn ei gymydawc , a’ phop vu ey frawd , gan ddoydet , Ednebydd yr Arglwydd , o blegid hwynt am ednabyddant i y gyd oll , or lleiaf o hanynt byd y mwyaf o honynt .
58:8:012:0	Can ys mi fydda drigaroc wrth y enwiredd hwynt , ac wrth eu pechodau ac ni wna coffa am eu enwiredd hwynt mwy .
58:8:013:0	Lle may ef yn doyded Testament newydd , may yn bwrw heibio yr hen , velly yr hyn a roir heibio ac a heneiddio , may yn agos y ddiflanu .
