58:5:001:1	Pen . v .
58:5:002:1	1 Y mae ef yn cyffelypu Iesu Christ
58:5:003:1	ac Offeiriait Leui , gan ðangos ym‐pa peth y maent yn cytuno neu yn ancytuno . 11 Yn ol hyny y mae ef yn
58:5:004:1	argyweddu yscaelustra yr Iuddaiou .
58:5:001:0	CAn ys pob Archeffeiriad o blith dynyon y cymerir ef , a’ thros dynion y gosodir ef , yn y pethau sy tu ac at Ddyw , y offrymmu a’rrodion ac aberthau tros pechodau ,
58:5:002:0	Rrwn a wyr yn gymesurol gydsynnio cyflwr yr ei anghyfarwydd , ar neb sy ar gam , am y fod yntau hevyd wedi y amgylchu a gwendid ,
58:5:003:0	Ac ir mwyn hynny y dyly trostaw y hun yr vn moð a’ thros yddo ’r bobl offrymmu tros pechodau .
58:5:004:0	Ac ni chymer neb yr vrddas hyn yðo y hun ond y neb a fo Dyw , yn y alw , mal Aaron .
58:5:005:0	Velly Christ hevyd ni chymerawdd yddo yhun hyn o vrddas , y fod yn archeffeiriad , namyn yr hwn a ddyvod wrtho , Tydi yw fy mab i , heddiw yr enillais i dydi , ei rhoes yddavv .
58:5:006:0	Megis y may ef heuyd mewn man arall yn doydyd , Tydi effeiriad wyt yn dragwddawl , ar ol ordr Melchisedec .
58:5:007:0	Rrwn yn y dyddiau y gnawd ef a offerymmoð trwy levain a dagre , weddiau ac ytolygon at yr hwn , ydoeð abl yw achub ef o ddiwrth farfolaeth , ac a wrandawyd y peth y roedd yn i ofni .
58:5:008:0	A chyd bay ef Vab , er hyny ef a ddyscawð vfyðdot , erwydd y pethau a ddioddefawdd .
58:5:009:0	A’ chwedi eu gysegru , ef a wnaythbwyd yn audur iechid tragwyðawl ir rrai a wrandewynt :
58:5:010:0	Wedi eu gyfenwi can Ddyw yn Archeffeiriad ar ol ordr Melchi‐sedec .
58:5:011:0	Am yr rwn may y ni lawer yw ddoydet , sy anhawdd y manegi , achos ych bod chwi yn fuscrell ych clustiau .
58:5:012:0	Can ys lle y dyleychi herwydd amser fod yn athrawon , rraid yw drachefn ddyscu i chwi beth ydiw deunyddiau dechreuad ymadroðion Dyw : ac aythoch yn rraid ywch wrth layth , ac nid bwyd ffyrf .
58:5:013:0	Achos pawb a ymarfero a llaeth , anghynefin yw a gair y cyfiownder : can ys maban yw yw .
58:5:014:0	Eythyr y bwyd ffyrf a berthyn irei oedrannus , sef yvv ir rrai herwydd cynefinder , sy a ysynhwyr wedi ymarver y ddosparthu rrvvng da a drwg .
