58:13:001:1	Pen . xiij .
58:13:002:1	1 Y mae ef yn ein anot i gariat , 2 I gadw tuy ir tlodion , 3 I veddwl am gyfryw rei ac a vont mewn advyt . 4 Ar ddal gyd a phriodas . 5 Ar ymogelyd ywrth cupyðdot . 7 Ar wneuthur yn vawr or ei vo yn precethu gair Dew . 9 Ymogelyd rrac dysceideth ddieithr . 13 Bot yn voðlon y ðyoðef cerydd y gyd a Christ . 15 Bot yn ðiolchgar y Ddew , 7 Ac yn uvydd in llywyawdwyr .
58:13:001:0	CAriad broduraidd triged .
58:13:002:0	Na ollyngwch tros gof roddi lletty‐i ddiethred : can ys trwy hynny ir erbyniodd rrai yn ddiarwybod Angylion yw tai .
58:13:003:0	Meðyliwch am y rrai sy mewn rrwymay , val pe baech yn rrwym gidag wynt : ar rai y ddydis yn y drygu , val pe ych drygid ych hunain yn y corph .
58:13:004:0	Vrddasawl yvv priodas ym hob dyn , ar gwely dilwgr : eithyr y putteinwyr ar ei godinabus Dyw ay barna .
58:13:005:0	Bid digybydd ych ymwreðiad , ac ymfodlonwch ac y sydd tan ych llaw , cans ef a ddyvod , ni phallaf yti , ac nis gadawa di chwaith :
58:13:006:0	Hyd val y gallō ðoydyt yn hy , Yr Arglwyð ysy yn gymhorth ym , ac nid ofna beth a wnel dyn ymy .
58:13:007:0	Meddyliwch am ych preladiaid , rrain a draythason i chwi air Dyw : calynwch y ffydd hwynt , trwy ystyr pa vn yw diweð y ymwreðiad hwynt .
58:13:008:0	Iesu Christ doy , a heddiw , yr vn hefyt ysydd yn dragwyddol .
58:13:009:0	Nedwch ych dwyn o amgylch ac amryw , ac a dieithyr ddysceidiaythay : can ys da ydiw cadarnhau yr galon a gras , ac nid a bwydydd , rain ni thyciasont ir rrai a fu yn ymarfer ac wynt .
58:13:010:0	May kenymi allor or hon ni does audurdod yddyntwy y fwytta rrai sy yn gwasneuthur yn y Tabernacl .
58:13:011:0	Can ys yr enifeilaid gwaed yr rrain a ddwg yr archeffeiriad ir santeiddle tros bechod , kyrff y y rrain a loskir y tu ollan ir lluestai .
58:13:012:0	Ac am hynny ac Iesu , ir yddo santeiddior bobl trwy y waed y hun , or tu allan ir porth y dioddefodd ef .
58:13:013:0	Am hynny awn atto ef or tu allan ir lluestai , gā ddwyn y ddirmig ef .
58:13:014:0	O blegid ni does i ni yma ddynas a bery , eithr hon a ddaw y ddym yn i cheisio .
58:13:015:0	Offrymmwn o blegid hynny yn estig trwyddo ef y Ddyw aberth moliant , hynny yw , ffrwyth gwefusay , yn cyfadday y Enw ef .
58:13:016:0	Nedwch tros gof fod yn gywaithas a chyfrannu : can ys a chyfryw aberthay y boddheir Dyw .
58:13:017:0	Vfyddhewch ych preladiaid , ac ymddarostyngwch : o blegid gwilio y maent tros ych eneidiau chwi , megis rrai a fydd rraid vddynt roi kyfri , mal i gallon wneuthyr hynny yn llawen , ac nid yn drist : can ys dibroffid yw hynny i chwi .
58:13:018:0	Gweddiwch trosom ni : can ys may yn siccr kenym , fod y ni gydwybod dda ym‐hob peth , yn chwenychu byw yn onest .
58:13:019:0	Y ddwy yn disif arnoch wneuthur hynny beth difrifach , ir mwyn cael yn ebrwyðach fyngollwng attoch .
58:13:020:0	Dyw yr heddwch rrwn a ddug trachefn o ddiwrth y meirw eyn harglwyð Iesu , y bigael mawr y defaid , trwy waed yr Amod tragwyddol ,
58:13:021:0	Ach gwnel yn berffaith ym hob gwaithred ða , y wneuthyr y wollys ef , drwy weithio ynochi yr hyn a fo cymradwy yn y olug ef trwy Iesu grist , ir hwn y bo gogoniant yn oes oesoedd , Amen .
58:13:022:0	Y Ddwy yn wir yn disif arnoch , ymrodyr , goðefwch y gair cyngor , o blegid ac ychydig eiriau ydd yscrifenais attoch .
58:13:023:0	Gwybyddwch fod ein brawd Tymotheus y ollwng yn rrydd , gidar hwn ( odaw e ar fyrder ) y do y ymweled a chwi .
58:13:024:0	Anherchwch ych preladiaid oll , ar sentiau y gyd . May gwyr Ital yn erchi ych annerch ,
58:13:025:0	Gras a fo gida chwi oll achlan , Amen : At yr Ebraiaid yr yscrifenwyd yr ebystl hon or Ital trwy Tymotheus . Xx . iiij .
