58:2:001:1	Pen . ij .
58:2:002:1	1 Eiriol arnam y mae ef vot yn uvydd ir Ddeddyf newydd ’rhon a roes Christ y ni , 9 Ac na rwystrer ni wrth wendit ac iselradd Christ , 10 Can vot yn angenreidiol yddo er ein mwyn ni gymeryd gyfryw ddiystadl gyflwr arnaw , val y byddei gynhebic yw vroder .
58:2:001:0	AM hynny rraid yni yn ddysceulus ystirieth y pethau a glowsom , mal na ollymgom ni hwynt vn amser y lithro .
58:2:002:0	Can ys o bydday gadarn y gair a ddoydid trwy Angelion , a derbyn o bob sarhaet , ac anufyddtod gyfion talu pwyth ,
58:2:003:0	Pa fodd y diangwn ni , od esceuluswn cyfryw vavvr gadwadigaeth ? rrwn pan ddechreuwyd y arddangos drwyr arglwydd y hun , a sickerhawyd y ni gan y rrai a fu yn y wrandaw ,
58:2:004:0	Duw yn cydtestlauthu , drwy arwyddion a rryveddodau , ac ymravael rinweddau , a’ rranniadau yr Yspryd glan , ar ol y wyllys y hun .
58:2:005:0	Can ys nid ir engylion y darestyngodd ef y byd a ddaw , rrwn y ddydym yn son am dano .
58:2:006:0	Eithr vn yn rryw fan a ddwg testioleth , gan ddoydyd , Beth yw dyn , mal y meddyliech am dano ? neu vab dyn mal y darbyddech o honaw ?
58:2:007:0	Ti ay gwnaythost ef ychydig yn is nor Angylion : a gogoniant ac vrddas y coronaist ef , ac ay gosodaist ef goruwch gweithredoedd dy ddwylaw .
58:2:008:0	Pob peih a ddarostyngaisti tan y draed ef . Am hyn , gan ddarostwng o hono bob peth yddo , ni adawodd ef ddim heb y ðarostwng iðo . Eythr etto nid ydym yn gweled pop peth yn ostyngedic yddo .
58:2:009:0	Eythr Iesu a welwn ni wedy y goroni a gogoniant ac vrddas , y neb a wnaythbwyd ychydic is nor angylion , herwydd dioddefaint marfolayth : mal y bay yddo ef trwy ras Duw brovi marfolayth dros bawb .
58:2:010:0	Can ys gweddus oedd yddo ef , herwydd pwy y may pob peth , a thrw yr hwn y may pob peth , wrth iddo ddwyn llawer o feibion y ogoniant , gysegru pennadur y cadwadigaeth hwynt trwy ’ovydiau .
58:2:011:0	Can ys y neb a santeiðio , ar sawl a santeiddier , or vn y maynt y gyd oll , or achos hwn ni vydd cwilyddus cantho y galw hwynt yn frodyr ,
58:2:012:0	Can ðoydyd , Myvi a ddangosaf dy enw di ym brodyr , ynghanol yr eglwys y canaf ymynnau yti .
58:2:013:0	A’ thrachefn , Mi a ddodaf vy ymddiriaid yntho . A’ thrachefn , Wele vi , a’r plant a roddes Duw y mi .
58:2:014:0	Am hynny gan fod y plant yn gyfrannog o gig a gwaed , yntau hevyd yr vn modd a wnaythbwyd yn gyframog or vnrryw , mal y gallai ef trwy farfolaeth ddistrowiaw , y neb y doedd a llyvodrayth marfolayth ar eu law , sef yw hwnw diawl .
58:2:015:0	Ac mal y gallay ef y ymwared hwynt y gyd oll , rrain rrac ofn marfolaeth gwbl oi bowyd oyðynt tann gaythiwed .
58:2:016:0	Nid angylion eusus a gymerawdd ef : eithyr epil Abraham a gymerawdd ef .
58:2:017:0	Wrth hynny y dylai ef ymhob peth fod yn gyffelib yw frodyr , mal y gallai fod yn drigaroc , ac yn Archoffeiriat ffyddlawn am y pethau a berthynāt y Dduw , y ddiffoddi pechodau y bobl trwy fodloni Duw .
58:2:018:0	Yn wir gan ddioddef o honaw , a’ bod profedigaeth arno : vo ddichon help yr rrai bo profedigaeth arnunt .
